year,member,tas_global,tas_ais,scenario
1850,r1i1p1f1,286.89577317278474,253.01161524407985,historical
1851,r1i1p1f1,286.70982385592055,252.83119399017892,historical
1852,r1i1p1f1,286.8328156630763,253.06677422353036,historical
1853,r1i1p1f1,286.77349741616075,252.55505241650792,historical
1854,r1i1p1f1,286.75457503325407,252.79802238435127,historical
1855,r1i1p1f1,286.91337633692865,253.03101688806797,historical
1856,r1i1p1f1,287.0014793160274,252.93801244028737,historical
1857,r1i1p1f1,286.9863207176044,252.78254504547124,historical
1858,r1i1p1f1,286.80420062384155,252.53853469208286,historical
1859,r1i1p1f1,286.9480600191998,253.23207626167036,historical
1860,r1i1p1f1,286.9344482457129,253.41386381245448,historical
1861,r1i1p1f1,286.7574361893224,253.2219618291871,historical
1862,r1i1p1f1,286.6779796302497,253.42474694262913,historical
1863,r1i1p1f1,286.7915994870061,253.4937950589403,historical
1864,r1i1p1f1,286.8614738989256,253.6897905517545,historical
1865,r1i1p1f1,286.9089984904446,253.66372288152766,historical
1866,r1i1p1f1,287.0845918784371,253.13987175520114,historical
1867,r1i1p1f1,287.08710866088586,252.58111752025408,historical
1868,r1i1p1f1,287.05760178861135,252.7273883733754,historical
1869,r1i1p1f1,286.87742872709975,253.13885538406694,historical
1870,r1i1p1f1,286.98593081407284,252.8102732479197,historical
1871,r1i1p1f1,287.036539197767,253.48642971195576,historical
1872,r1i1p1f1,286.8652872132894,252.81078325962244,historical
1873,r1i1p1f1,286.9546099361291,252.75205966350242,historical
1874,r1i1p1f1,287.01439139342966,254.01106768076454,historical
1875,r1i1p1f1,286.92922112555453,253.2365512699774,historical
1876,r1i1p1f1,286.89758124556715,253.08197325013168,historical
1877,r1i1p1f1,286.97092112779194,253.18346682347286,historical
1878,r1i1p1f1,287.1987370252171,253.48706050896354,historical
1879,r1i1p1f1,287.29572107362793,253.64930811258648,historical
1880,r1i1p1f1,287.0572812991901,253.36770145600528,historical
1881,r1i1p1f1,286.98444594190295,253.3403867401706,historical
1882,r1i1p1f1,287.1864193194974,252.87424039649102,historical
1883,r1i1p1f1,287.0634329094932,252.94873914733014,historical
1884,r1i1p1f1,286.8318052121556,253.8784752036942,historical
1885,r1i1p1f1,286.9348856771923,253.59950360322887,historical
1886,r1i1p1f1,286.9871238435316,253.52033060284478,historical
1887,r1i1p1f1,286.94613513276516,253.3765240868457,historical
1888,r1i1p1f1,286.8203324578619,253.4364808409111,historical
1889,r1i1p1f1,286.8158677242737,253.50441931440426,historical
1890,r1i1p1f1,286.8908368162849,253.41382955290314,historical
1891,r1i1p1f1,286.8977692151961,253.3259716511271,historical
1892,r1i1p1f1,286.8908294225099,253.32961445474743,historical
1893,r1i1p1f1,286.98245888885964,253.47036080869253,historical
1894,r1i1p1f1,286.979384563092,253.38121531777477,historical
1895,r1i1p1f1,286.91503877938,252.98730853165384,historical
1896,r1i1p1f1,286.97416533413394,253.21923373898196,historical
1897,r1i1p1f1,287.1288542819375,253.6053670726357,historical
1898,r1i1p1f1,287.3015042692805,253.86602738291768,historical
1899,r1i1p1f1,287.18760323902245,253.436153664111,historical
1900,r1i1p1f1,287.1238960104755,253.32255399615124,historical
1901,r1i1p1f1,287.0072713917653,253.50778651150313,historical
1902,r1i1p1f1,286.8185354095004,252.97318403266004,historical
1903,r1i1p1f1,286.96207608531745,253.35955754925672,historical
1904,r1i1p1f1,287.0849668339189,253.30940002510147,historical
1905,r1i1p1f1,287.07322271593694,253.5658554871024,historical
1906,r1i1p1f1,287.147166517634,253.79898015849054,historical
1907,r1i1p1f1,286.9547969704976,253.09821669511382,historical
1908,r1i1p1f1,286.79868115999403,253.33386597269012,historical
1909,r1i1p1f1,286.96689707798953,253.24496448623827,historical
1910,r1i1p1f1,286.9731395959897,253.54846347877168,historical
1911,r1i1p1f1,287.0510562784975,253.60780762968258,historical
1912,r1i1p1f1,286.9810440400933,253.54369526967764,historical
1913,r1i1p1f1,286.98403130283646,254.04586258683273,historical
1914,r1i1p1f1,286.97025687075813,253.51602238347064,historical
1915,r1i1p1f1,286.96018068645907,253.74603925812497,historical
1916,r1i1p1f1,287.06140522718954,253.58483746541373,historical
1917,r1i1p1f1,287.117069685979,254.26321423871104,historical
1918,r1i1p1f1,287.11817248354214,254.46596832137934,historical
1919,r1i1p1f1,287.0354703683588,254.27478299625932,historical
1920,r1i1p1f1,287.10150736467676,253.6586271627316,historical
1921,r1i1p1f1,287.2711330665018,253.50503452866926,historical
1922,r1i1p1f1,287.18094618040243,253.7201447657342,historical
1923,r1i1p1f1,287.2290097255556,253.63663339332632,historical
1924,r1i1p1f1,287.29546826574233,254.1591281056059,historical
1925,r1i1p1f1,287.0822124114873,253.45012748463222,historical
1926,r1i1p1f1,287.12910618684504,253.63647204922708,historical
1927,r1i1p1f1,287.2905153571677,254.4240797044311,historical
1928,r1i1p1f1,287.23174223881057,253.45621117261155,historical
1929,r1i1p1f1,287.07765623570305,253.55573202898174,historical
1930,r1i1p1f1,287.14413997963186,253.16958420559578,historical
1931,r1i1p1f1,287.2601702348249,253.46162921730894,historical
1932,r1i1p1f1,287.2620560211752,254.05571155892545,historical
1933,r1i1p1f1,287.1114579030629,253.4072660668729,historical
1934,r1i1p1f1,287.01335165058464,253.0613803091739,historical
1935,r1i1p1f1,287.36006928498375,253.78504404558768,historical
1936,r1i1p1f1,287.477812475347,253.59773456127706,historical
1937,r1i1p1f1,287.23783548712817,253.56308572245183,historical
1938,r1i1p1f1,287.3185352496693,253.87739054607587,historical
1939,r1i1p1f1,287.2628832869384,253.9296848029369,historical
1940,r1i1p1f1,287.13101308742864,253.65688567689753,historical
1941,r1i1p1f1,287.2300777269599,253.4399948837766,historical
1942,r1i1p1f1,287.3229539597521,254.14179318735066,historical
1943,r1i1p1f1,287.23650191358325,254.0064273266539,historical
1944,r1i1p1f1,287.31500522429974,254.04921499675146,historical
1945,r1i1p1f1,287.0525130920667,253.53515360365975,historical
1946,r1i1p1f1,287.01391511839097,253.22325391841696,historical
1947,r1i1p1f1,286.92783781065043,253.5402058046241,historical
1948,r1i1p1f1,287.02452714046706,253.60039091179442,historical
1949,r1i1p1f1,287.36116360222667,254.06913434663736,historical
1950,r1i1p1f1,287.25836938325284,254.2147232180795,historical
1951,r1i1p1f1,287.38571423445524,253.4348172674048,historical
1952,r1i1p1f1,287.48181061364284,253.67970262640927,historical
1953,r1i1p1f1,287.3136442578091,254.42391381098784,historical
1954,r1i1p1f1,287.24861799477515,253.87667213770337,historical
1955,r1i1p1f1,287.3387489833041,253.6953894626584,historical
1956,r1i1p1f1,287.29763297602847,253.64369072954239,historical
1957,r1i1p1f1,287.1515077770783,253.3701147029863,historical
1958,r1i1p1f1,287.02046663069075,253.32709272484854,historical
1959,r1i1p1f1,286.8490861022064,252.7472327073761,historical
1960,r1i1p1f1,286.9518726920242,253.60147330961246,historical
1961,r1i1p1f1,287.13421964605084,253.52312218034302,historical
1962,r1i1p1f1,287.2008154483217,253.97688090043027,historical
1963,r1i1p1f1,287.26766668105614,254.1909489499475,historical
1964,r1i1p1f1,287.26520522825876,254.0203420868902,historical
1965,r1i1p1f1,287.02003375623593,253.46709797232413,historical
1966,r1i1p1f1,287.0396462059972,253.554268019688,historical
1967,r1i1p1f1,287.111225196516,253.95188880016667,historical
1968,r1i1p1f1,287.1649820778346,253.96746589978179,historical
1969,r1i1p1f1,287.0903540886955,253.6499862328185,historical
1970,r1i1p1f1,287.0783162624475,253.98172625697185,historical
1971,r1i1p1f1,287.0361938327868,253.59382018038002,historical
1972,r1i1p1f1,287.26199000314426,253.43489949798914,historical
1973,r1i1p1f1,287.3940421215086,253.97255091080328,historical
1974,r1i1p1f1,287.19472561292724,254.02254196445955,historical
1975,r1i1p1f1,287.08310263772205,253.56856165489407,historical
1976,r1i1p1f1,287.2445031044811,254.141665857458,historical
1977,r1i1p1f1,287.35718290783785,254.05004518607709,historical
1978,r1i1p1f1,287.4309012557715,253.84354912650892,historical
1979,r1i1p1f1,287.25699926400506,253.85325703576842,historical
1980,r1i1p1f1,287.21503802507397,254.01497043861644,historical
1981,r1i1p1f1,287.49947678687016,253.51389581995844,historical
1982,r1i1p1f1,287.3248222850341,254.155992265531,historical
1983,r1i1p1f1,287.12266153622335,253.75310227223554,historical
1984,r1i1p1f1,287.2525081217877,253.88862676229456,historical
1985,r1i1p1f1,287.23963938340694,254.33861071625006,historical
1986,r1i1p1f1,287.1890257426471,254.15441051828117,historical
1987,r1i1p1f1,287.31103158018965,254.36489200805997,historical
1988,r1i1p1f1,287.5615209378241,254.75602885320936,historical
1989,r1i1p1f1,287.528035262657,254.07014991829948,historical
1990,r1i1p1f1,287.46818146886864,254.51129938713083,historical
1991,r1i1p1f1,287.3582925674129,253.57588051076027,historical
1992,r1i1p1f1,287.3447526337719,253.76288029807293,historical
1993,r1i1p1f1,287.4015825483314,254.00334617509836,historical
1994,r1i1p1f1,287.47442529469276,254.71942972300766,historical
1995,r1i1p1f1,287.46187726523397,254.11067884686955,historical
1996,r1i1p1f1,287.4886859026376,254.24799428737165,historical
1997,r1i1p1f1,287.5790399569352,254.2407269671524,historical
1998,r1i1p1f1,287.56823280664327,254.8001390636059,historical
1999,r1i1p1f1,287.6533272216401,254.58125494822153,historical
2000,r1i1p1f1,287.8554233295419,254.9343492477614,historical
2001,r1i1p1f1,288.05530279391843,255.01416150395139,historical
2002,r1i1p1f1,288.0367754307267,254.45484271118255,historical
2003,r1i1p1f1,288.0004386157863,254.689305077632,historical
2004,r1i1p1f1,287.9162026135297,254.48009382631375,historical
2005,r1i1p1f1,287.8330835050256,254.71157067900228,historical
2006,r1i1p1f1,287.80895056508507,254.42154092196245,historical
2007,r1i1p1f1,288.0062937817421,254.5905973308155,historical
2008,r1i1p1f1,288.01223108025783,255.20788937054235,historical
2009,r1i1p1f1,287.927585386883,254.72588945285486,historical
2010,r1i1p1f1,287.9889862325992,255.06876826119594,historical
2011,r1i1p1f1,288.20267231678616,255.02614843802408,historical
2012,r1i1p1f1,288.2233405403875,255.50543504585917,historical
2013,r1i1p1f1,288.0682792812984,254.91925856342482,historical
2014,r1i1p1f1,288.1116830790335,255.1906550749391,historical
2015,r1i1p1f1,288.37066921319763,255.4990464720072,ssp585
2016,r1i1p1f1,288.427995840885,255.6594235867415,ssp585
2017,r1i1p1f1,288.2158638772777,255.23742242251075,ssp585
2018,r1i1p1f1,288.27915262366537,255.84741793463613,ssp585
2019,r1i1p1f1,288.3464384841621,254.9160864193385,ssp585
2020,r1i1p1f1,288.42186704314736,255.0470447637594,ssp585
2021,r1i1p1f1,288.5952802879247,255.41752765524535,ssp585
2022,r1i1p1f1,288.498711003886,255.34689567435063,ssp585
2023,r1i1p1f1,288.46025359990824,255.37792790093798,ssp585
2024,r1i1p1f1,288.6828877912735,255.48210895428588,ssp585
2025,r1i1p1f1,288.8162185081479,255.0961349084072,ssp585
2026,r1i1p1f1,288.716344352664,255.85718180811736,ssp585
2027,r1i1p1f1,288.76911138942523,255.6525670120257,ssp585
2028,r1i1p1f1,288.77292991849305,255.57786851633787,ssp585
2029,r1i1p1f1,288.5647859996843,255.35088908263072,ssp585
2030,r1i1p1f1,288.62654932187377,255.8383135800871,ssp585
