year,member,tas_global,tas_ais,scenario
1850,r1i1p1f1,285.7658316112767,253.65229821193694,historical
1851,r1i1p1f1,285.9470046137095,252.88752940276066,historical
1852,r1i1p1f1,285.93192361022045,252.86217880914936,historical
1853,r1i1p1f1,286.010645779906,253.32655667572078,historical
1854,r1i1p1f1,286.1059200597361,254.6843693702296,historical
1855,r1i1p1f1,286.0163757901765,253.8892449526298,historical
1856,r1i1p1f1,286.13791667427427,254.02364804242285,historical
1857,r1i1p1f1,286.0973059584052,253.33159787230264,historical
1858,r1i1p1f1,286.0362107112514,253.22573219720928,historical
1859,r1i1p1f1,286.1548066420328,253.89301634013395,historical
1860,r1i1p1f1,285.9839097099515,253.56482038403502,historical
1861,r1i1p1f1,286.1669226155754,253.7904541421574,historical
1862,r1i1p1f1,285.7715175924624,252.94932483088692,historical
1863,r1i1p1f1,285.9017963210037,253.227915921663,historical
1864,r1i1p1f1,285.9948747910662,253.3630804953748,historical
1865,r1i1p1f1,286.1121023557256,253.47789955671226,historical
1866,r1i1p1f1,286.2425204392994,254.46331742541904,historical
1867,r1i1p1f1,286.09618775819956,254.25460171396463,historical
1868,r1i1p1f1,285.9504729611839,253.33235653826,historical
1869,r1i1p1f1,285.9003949964408,252.86493112662345,historical
1870,r1i1p1f1,286.0269469744084,253.0920506774795,historical
1871,r1i1p1f1,286.11235657080744,253.87114117320286,historical
1872,r1i1p1f1,286.2177692735622,253.74024195773455,historical
1873,r1i1p1f1,286.2222614664861,254.03956650804767,historical
1874,r1i1p1f1,286.1317556347542,254.36196058683817,historical
1875,r1i1p1f1,286.03906940816927,253.5409790827508,historical
1876,r1i1p1f1,286.15199373087813,253.41474232670242,historical
1877,r1i1p1f1,286.1663838896943,253.55602271998958,historical
1878,r1i1p1f1,286.05695288053744,254.6280218145602,historical
1879,r1i1p1f1,285.98452969839116,253.38638593185738,historical
1880,r1i1p1f1,286.0615777550097,253.64589149490428,historical
1881,r1i1p1f1,285.9695358121662,253.4763832908537,historical
1882,r1i1p1f1,285.8149969190819,252.97703135196483,historical
1883,r1i1p1f1,285.7254892386986,252.41957697336105,historical
1884,r1i1p1f1,285.57178800958405,252.8395270788612,historical
1885,r1i1p1f1,285.6530753733297,253.15966399577383,historical
1886,r1i1p1f1,285.79315307415027,252.96636003765244,historical
1887,r1i1p1f1,285.73257080906274,253.05481115176744,historical
1888,r1i1p1f1,285.73044843293377,253.023676098126,historical
1889,r1i1p1f1,285.7267905250524,252.69155749679797,historical
1890,r1i1p1f1,285.94523367368896,253.38446116215277,historical
1891,r1i1p1f1,285.80431784656565,253.33875635919503,historical
1892,r1i1p1f1,286.0116450234038,253.49236264216276,historical
1893,r1i1p1f1,285.819521228602,252.8109054508661,historical
1894,r1i1p1f1,285.97887188699076,253.08332493976326,historical
1895,r1i1p1f1,286.1037910258755,253.5313696059986,historical
1896,r1i1p1f1,285.89120421116394,253.09366225051087,historical
1897,r1i1p1f1,285.96391057230454,253.15217232964218,historical
1898,r1i1p1f1,285.9652056098306,253.00730952142885,historical
1899,r1i1p1f1,286.1113495287202,253.72724979338915,historical
1900,r1i1p1f1,286.1554168338211,254.31950755533867,historical
1901,r1i1p1f1,286.00961376970207,253.89112080807683,historical
1902,r1i1p1f1,285.9938239289784,253.5991083080188,historical
1903,r1i1p1f1,285.99187341650827,253.86380913172817,historical
1904,r1i1p1f1,285.9438221339438,253.90526402234084,historical
1905,r1i1p1f1,285.8931500433991,253.60139521964544,historical
1906,r1i1p1f1,285.8873991765201,253.74120661959736,historical
1907,r1i1p1f1,285.87761432551923,253.57736496263624,historical
