year,member,tas_global,tas_gis_south,tas_gis_all,scenario
1851,r1i1p1f1,286.83155830695654,258.1783863451196,253.58271397701617,historical
1852,r1i1p1f1,286.8347126647929,258.11882893499984,253.4132273020198,historical
1853,r1i1p1f1,286.899830506814,257.65697575846383,252.9302326266091,historical
1854,r1i1p1f1,287.0792014513215,258.33509332786997,254.05454035423392,historical
1855,r1i1p1f1,287.0829646017955,259.06076709643133,254.6640735772333,historical
1856,r1i1p1f1,286.90729145716506,258.6547950144459,254.1136456502475,historical
1857,r1i1p1f1,286.77961558129755,258.1996651596038,253.84481779121617,historical
1858,r1i1p1f1,286.8959051022782,257.9958899730407,253.62356656768475,historical
1859,r1i1p1f1,286.913385921605,257.91226562113064,253.36228425499365,historical
1860,r1i1p1f1,286.859238581177,258.09438950474623,253.27151940721075,historical
1861,r1i1p1f1,287.1042664835987,258.0853378624388,253.6404090857802,historical
1862,r1i1p1f1,286.7560642910017,259.393674240854,254.57754694365582,historical
1863,r1i1p1f1,286.8521990747077,258.1509350862529,253.75941302277533,historical
1864,r1i1p1f1,286.9145629946358,258.2178863420124,253.45418578568632,historical
1865,r1i1p1f1,286.8647608489223,258.8749903664299,253.92590404340785,historical
1866,r1i1p1f1,286.9614168488685,257.31749196354343,252.8403476317975,historical
1867,r1i1p1f1,286.8870808813071,258.9544264064195,254.07677295718744,historical
1868,r1i1p1f1,286.88564170650335,256.62845877103194,252.07709291053908,historical
1869,r1i1p1f1,287.0613489595078,258.3765353182661,253.91241369772177,historical
1870,r1i1p1f1,287.0152479606531,259.5048060908708,254.84553288547184,historical
1871,r1i1p1f1,286.7608580774324,257.6894026196616,252.96989227602035,historical
1872,r1i1p1f1,286.7728833016213,258.15352236743314,253.31180087302718,historical
1873,r1i1p1f1,286.8529383389195,257.15538974680453,252.60787431271012,historical
1874,r1i1p1f1,286.823046070732,257.87041558155096,253.32762449560332,historical
1875,r1i1p1f1,286.89391442082393,257.82918671859585,253.07569374170728,historical
1876,r1i1p1f1,286.9528247001985,258.0466291218145,253.48650142721422,historical
1877,r1i1p1f1,286.75801817455147,257.9823783311089,253.01187061165683,historical
1878,r1i1p1f1,286.6489233066265,255.8547431714726,252.00008784552952,historical
1879,r1i1p1f1,286.74476523184484,258.60161789198213,253.86844203984805,historical
1880,r1i1p1f1,286.95415432540466,257.12272563194426,252.92490266927035,historical
1881,r1i1p1f1,286.85543790000037,257.2819130025574,252.58400681726857,historical
1882,r1i1p1f1,286.74811278762826,257.95342242194806,253.30490509455527,historical
1883,r1i1p1f1,286.7883532978141,256.91144159002994,252.51701673467662,historical
1884,r1i1p1f1,286.50655578283096,257.5532543755129,253.1053916502563,historical
1885,r1i1p1f1,286.6074061838122,257.56931553664793,253.3012739111782,historical
1886,r1i1p1f1,286.7698931488272,258.59086613471163,254.03318656633792,historical
1887,r1i1p1f1,286.7230303134465,258.67076940730925,253.97241908772824,historical
1888,r1i1p1f1,286.80193540385955,257.1716127705227,252.71696375102837,historical
1889,r1i1p1f1,286.96062402530964,258.1877904734147,253.80039580075186,historical
1890,r1i1p1f1,286.9049847671413,258.6180520299023,253.393509550194,historical
1891,r1i1p1f1,286.8181941586694,257.32663685712595,252.69006077645707,historical
1892,r1i1p1f1,286.8558192647493,258.5053813142543,253.87180797386958,historical
1893,r1i1p1f1,286.81076206198424,258.2254222932036,253.39768416811086,historical
1894,r1i1p1f1,286.8945920701411,259.6974926477603,255.23224936489368,historical
1895,r1i1p1f1,286.848117474059,256.38916451643496,252.11139478213772,historical
1896,r1i1p1f1,286.92114484094355,257.11334443857385,252.90430650103124,historical
1897,r1i1p1f1,286.99223631935456,257.88589826051674,253.1380850082845,historical
1898,r1i1p1f1,286.9170863684305,259.7215681035778,255.0895982097411,historical
1899,r1i1p1f1,286.9445768917257,257.3547316239668,252.48012078952712,historical
1900,r1i1p1f1,286.96737545857167,257.37328316598047,252.65688742263393,historical
1901,r1i1p1f1,287.0462071982439,257.81361573491694,253.71924650510965,historical
1902,r1i1p1f1,287.0438728746263,257.48189264552053,252.78024092746287,historical
1903,r1i1p1f1,286.82614557105444,257.5820015378389,252.68262389119565,historical
1904,r1i1p1f1,286.8468994147001,258.0270565212907,253.65045130280498,historical
1905,r1i1p1f1,286.7610640314398,258.71137650663144,254.06640408738207,historical
1906,r1i1p1f1,286.80574359002844,256.7628700136386,252.25575609598653,historical
1907,r1i1p1f1,286.92319680402625,258.3743120058326,253.8996141894102,historical
1908,r1i1p1f1,286.87602039158793,257.1126290360982,252.195828989226,historical
1909,r1i1p1f1,286.8470465855571,257.30212927058767,252.4589384259394,historical
1910,r1i1p1f1,287.0341420026888,257.9666271876356,253.61176086697262,historical
1911,r1i1p1f1,287.0503947115676,258.0063305371263,253.43308720245417,historical
1912,r1i1p1f1,286.67170347652103,258.1040994282491,253.81744501227524,historical
1913,r1i1p1f1,286.75154172538447,257.542417387231,252.65911774644783,historical
1914,r1i1p1f1,286.75506999796676,258.125187356749,253.14081548910383,historical
1915,r1i1p1f1,286.84282897968546,258.1732530556137,253.83374886793553,historical
1916,r1i1p1f1,286.92141703337836,257.4517785427714,253.37143800391712,historical
1917,r1i1p1f1,286.8763159065905,258.4826399611992,253.7177943615119,historical
1918,r1i1p1f1,286.95650953772474,257.6350190005583,252.9305204780093,historical
1919,r1i1p1f1,287.0213502219222,258.63601972875523,254.4226340553753,historical
1920,r1i1p1f1,287.0371051114067,258.55316149996423,254.49467630632753,historical
1921,r1i1p1f1,287.12071997300797,258.1403903258867,253.55319474757349,historical
1922,r1i1p1f1,286.9408382709643,259.07032003126125,254.36506142571878,historical
1923,r1i1p1f1,287.06093329065783,258.60172249028244,253.76015056057742,historical
1924,r1i1p1f1,287.28556357419075,260.2412707178014,255.373278694646,historical
1925,r1i1p1f1,287.21517001412843,258.4611377766193,253.9704525542549,historical
1926,r1i1p1f1,286.97282674717957,258.2058970861708,253.496044623263,historical
1927,r1i1p1f1,286.96887955456083,259.4234825115468,254.6605100952444,historical
1928,r1i1p1f1,286.9842978559392,258.33278855826006,253.65459825411597,historical
1929,r1i1p1f1,287.0563892545665,258.6966878481204,254.08405237334608,historical
1930,r1i1p1f1,287.100614236894,257.934499934132,253.39592359473374,historical
1931,r1i1p1f1,287.1272628358238,258.43039416616574,253.95330684573085,historical
1932,r1i1p1f1,287.0530901726161,257.9817024768732,253.66521343280053,historical
1933,r1i1p1f1,287.02641341163314,257.6990777860243,253.088877720181,historical
1934,r1i1p1f1,287.14154904281753,258.81288091281994,254.20838616452622,historical
