year,member,tas_global,tas_gis_south,tas_gis_all,tas_gis_central,tas_gis_north,scenario
1850,r1i1p1f1,287.5416189716215,257.54031115226434,253.40290840519756,250.8678277936083,252.27031672490153,historical
1851,r1i1p1f1,287.5901901929349,257.66540026000007,253.7180243128626,251.51627325693673,252.33341434231218,historical
1852,r1i1p1f1,287.75547968460626,257.05980965452545,252.79466024460945,250.47614308694068,251.2138066094815,historical
1853,r1i1p1f1,287.68284649869184,257.80873455862036,253.54275150534653,251.12074957816472,252.1060150447348,historical
1854,r1i1p1f1,287.73762765236637,256.914378171261,252.9719081277866,250.4929873715135,251.98138172474805,historical
1855,r1i1p1f1,287.6003687200643,256.1679085275942,252.46389254627667,250.03621308710973,251.67162004045795,historical
1856,r1i1p1f1,287.6524223021153,256.3053812038812,252.72657674470588,250.40390317424573,251.9289299513964,historical
1857,r1i1p1f1,287.8135007137883,256.3469406220982,252.79895048850875,250.5348851652722,251.95405015287272,historical
1858,r1i1p1f1,287.72858126020094,255.842551295933,252.3097529752774,250.05255804205376,251.4724287912124,historical
1859,r1i1p1f1,287.8927626108388,256.7629223783398,252.6270088227842,250.2057228476324,251.33659044999084,historical
1860,r1i1p1f1,287.8226390497671,257.0751196393066,253.03386304062067,250.62337843658926,251.835515764688,historical
1861,r1i1p1f1,287.91859848404425,258.4006363967826,254.46160041232278,252.2137235105406,253.15109422663653,historical
1862,r1i1p1f1,287.74141723567965,258.96477711625,254.92449691585736,252.78651316145752,253.34527322680938,historical
1863,r1i1p1f1,287.7486906063419,258.4187586382889,254.28397169793277,251.92574504672933,252.90643498100727,historical
1864,r1i1p1f1,288.01308320670415,256.8546830529904,253.07841415693028,250.8951119425146,251.8617456211056,historical
1865,r1i1p1f1,287.95254055783664,257.498901834594,253.92844053324075,251.63324744127007,253.1017223297446,historical
1866,r1i1p1f1,287.9833721202093,256.83295909343417,252.57327331700975,250.26038174576937,250.9907222484307,historical
1867,r1i1p1f1,288.0882538906148,257.776000615811,253.91112178260167,251.3598771881408,253.10985921907624,historical
1868,r1i1p1f1,287.9794084953569,258.0149439147566,253.87981377209658,251.44846917820627,252.6043825485042,historical
1869,r1i1p1f1,288.0358979115565,257.16503830411636,253.48159831442,251.00002149236994,252.78818243283285,historical
1870,r1i1p1f1,287.8658795749068,258.55226727720253,254.2391886094652,252.05923996776428,252.4098078849082,historical
1871,r1i1p1f1,287.95713011152117,258.1164748956565,254.40698058217268,252.0714726495197,253.4793002320474,historical
1872,r1i1p1f1,287.9454710974244,257.0655454915126,253.48560089220652,250.96106504382018,252.96962633133924,historical
1873,r1i1p1f1,287.9260102107341,257.1016020088972,253.29460640719307,250.7685672603118,252.52357247458642,historical
1874,r1i1p1f1,287.9200835294565,257.11172573745296,253.16854628553847,250.68679581765076,252.18118297180666,historical
1875,r1i1p1f1,287.91751082473843,257.2982110313767,253.42871760202584,250.9255927237686,252.5547758072898,historical
1876,r1i1p1f1,288.0350175062716,259.00667174507515,254.7681902919588,252.45467019229915,253.21053709997153,historical
1877,r1i1p1f1,288.0192797471774,257.361530417913,253.17628216269014,250.7009068002899,251.90580606613597,historical
1878,r1i1p1f1,288.0952196761403,258.6361307267708,254.53504139305386,252.2923161438785,253.033765980399,historical
1879,r1i1p1f1,288.1647476392637,258.2578139972163,254.14115165816045,251.63691102205652,252.98882093975186,historical
