year,member,tas_global,tas_gis_south,tas_gis_all,tas_gis_central,tas_gis_north,scenario
1850,r1i1p1f1,287.3925799140543,261.3095061001526,256.3211252649086,253.80885844588525,254.24849408178756,historical
1851,r1i1p1f1,287.3677613765545,261.6111237349382,256.02771894048493,253.45469705124484,253.34696474513598,historical
1852,r1i1p1f1,287.20452127636906,263.05603349704506,257.6341749765937,254.84712874810558,255.46673904519048,historical
1853,r1i1p1f1,287.26912222586793,261.8339676142618,255.96398817070542,253.00767538825457,253.5251385852163,historical
1854,r1i1p1f1,287.28573175981285,261.04440342431474,255.8197537076557,252.99647530140854,253.93901627651363,historical
1855,r1i1p1f1,287.35675750003844,260.74424793792747,255.39841715720496,252.5802363631921,253.36743998664426,historical
1856,r1i1p1f1,287.39440601893494,259.66745850552144,254.87580501199457,252.05349955518466,253.5029104003263,historical
1857,r1i1p1f1,287.454208638432,259.30652783671866,254.78809629458672,252.10332915164724,253.52881792317885,historical
1858,r1i1p1f1,287.38712558602555,260.1247475814701,254.7129150954643,251.8781775705056,252.62931344434642,historical
1859,r1i1p1f1,287.50394806823005,260.37946902946777,255.67828078841993,252.96135774419722,254.25260835150496,historical
1860,r1i1p1f1,287.70461733286965,260.8560131285362,255.5138283127115,252.75327398046852,253.4000907906625,historical
1861,r1i1p1f1,287.4464549198831,261.10802643174617,255.84195854452668,253.1582691523865,253.7016436548509,historical
1862,r1i1p1f1,287.33829438493893,261.44215962881657,256.33876617035276,253.69000866401197,254.3370302177264,historical
1863,r1i1p1f1,287.4700153661213,260.67971929912216,255.31038026742846,252.48040823033963,253.26956299993935,historical
1864,r1i1p1f1,287.4854671981865,261.0495240131412,256.2362037179533,253.62282828919962,254.52221962922226,historical
1865,r1i1p1f1,287.55255315894294,261.3081443575756,255.9401100475308,252.9440808686464,254.15166874187685,historical
1866,r1i1p1f1,287.59244537007896,261.2440526262198,255.6831618551913,252.88768530153408,253.36492362089447,historical
1867,r1i1p1f1,287.4344306802746,262.14160790829516,256.7474186323051,254.1552189922546,254.31819888095671,historical
1868,r1i1p1f1,287.4225842297376,261.30884278972866,256.2552209013479,253.4216348469804,254.59122568388506,historical
1869,r1i1p1f1,287.39031476256315,260.7072036235909,255.94686384254865,253.26432043173995,254.3996813939524,historical
1870,r1i1p1f1,287.4199086461879,261.4030575200773,256.0127187906836,253.29503341754202,253.7775834950844,historical
1871,r1i1p1f1,287.35588863330184,262.2481338896105,257.3594074750543,254.53280725607124,255.87881822589847,historical
1872,r1i1p1f1,287.390809675552,260.1818445298104,255.1402079285436,252.4178113412647,253.32235072131152,historical
1873,r1i1p1f1,287.43141439883715,260.8871905427627,255.56599684932306,252.7754773399839,253.52221472966033,historical
1874,r1i1p1f1,287.33130197653475,260.88252840127797,255.77782228690552,253.0600183002106,253.87884200549732,historical
1875,r1i1p1f1,287.4386283311747,261.17972957872627,255.97578099976758,253.53288103870543,253.54480426013617,historical
1876,r1i1p1f1,287.48358710728706,261.152346663537,255.53766194934514,252.82038608693045,253.03802071943758,historical
1877,r1i1p1f1,287.4786449543689,259.9505688709529,255.14980938600894,252.41826534667734,253.62910217425318,historical
1878,r1i1p1f1,287.33737923321723,259.67248823618047,254.68884704362316,251.90339964551546,253.03444982660545,historical
1879,r1i1p1f1,287.3525620074149,259.5144557671268,255.07968289087904,252.43315329984125,253.8610475867454,historical
1880,r1i1p1f1,287.37908868888815,260.32490606207625,255.61380076904584,253.04855649538757,253.947341668403,historical
1881,r1i1p1f1,287.42327529931714,261.11155466315137,256.43671007967805,253.87475934384148,254.807927572884,historical
1882,r1i1p1f1,287.4434762527272,260.3587762385624,255.09950601223454,252.45965048112055,252.90097267622957,historical
1883,r1i1p1f1,287.4374794509893,258.6255440204072,254.45861070289783,251.7842777540197,253.59702110237436,historical
1884,r1i1p1f1,286.9848818099016,259.2493421494685,254.11328276389276,251.3970170505058,252.17509947223408,historical
1885,r1i1p1f1,287.1278977890453,261.18077173669826,255.39211696574927,252.5793969484963,252.83201844116178,historical
1886,r1i1p1f1,287.22114572382435,259.69865766788865,254.67062418953287,251.9118029770131,252.92378969995215,historical
1887,r1i1p1f1,287.3508668383317,259.46238449162854,254.9911027754271,252.15526973890988,254.01548038534955,historical
1888,r1i1p1f1,287.5092317359816,259.4409376457757,254.76492583573335,252.04916963825593,253.36710461167817,historical
1889,r1i1p1f1,287.3996339628357,260.37967631735467,255.84359408466557,253.24935440415342,254.4268058025192,historical
1890,r1i1p1f1,287.25396359207554,258.5926865798848,253.70577775483343,250.81272750674066,252.32770400654795,historical
1891,r1i1p1f1,287.2982397302793,259.3636464195944,254.51859451400716,251.72104271174558,253.04549775183096,historical
1892,r1i1p1f1,287.39499647498104,258.93727548242555,253.7048130125959,250.52482267349407,252.35372490116754,historical
1893,r1i1p1f1,287.413955265259,259.71455719158337,254.9555738208642,252.0209613235071,253.79075537462876,historical
1894,r1i1p1f1,287.48287993247465,260.8185747606694,255.60624107816736,252.89965465216073,253.5637187563216,historical
1895,r1i1p1f1,287.7017237870728,260.01588601742606,255.21558230646335,252.60659998407667,253.5102728928504,historical
1896,r1i1p1f1,287.49675634978706,261.1471747702158,255.6999492249486,252.74660421769647,253.75388157916723,historical
1897,r1i1p1f1,287.41955522605673,261.98520751553156,256.4957418458751,254.01289966295326,253.78926075690242,historical
1898,r1i1p1f1,287.5621878347513,260.3907444888575,256.0195626625442,253.35289607686536,254.90614481869588,historical
1899,r1i1p1f1,287.4996103245097,260.7330441975899,255.8098250239118,253.0652991455322,254.16468440252652,historical
1900,r1i1p1f1,287.3857774019354,261.31568316002256,256.3760166865327,253.6286717839159,254.7157882405929,historical
1901,r1i1p1f1,287.34594338368584,261.53067570669117,255.9259642254886,253.15140262101156,253.524588269627,historical
1902,r1i1p1f1,287.4239168509094,259.72071849128633,254.18586881461167,251.06228666371555,252.39388861297425,historical
1903,r1i1p1f1,287.4136339560139,259.451642621162,254.35362371012332,251.57340699015396,252.5567881946381,historical
1904,r1i1p1f1,287.50556367133595,260.60143996508054,256.0547375071097,253.53473024969267,254.51332374206646,historical
