year,member,tas_global,tas_gis_south,tas_gis_all,tas_gis_central,tas_gis_north,scenario
1850,r1i1p1f2,285.57213197075856,256.7428562861798,251.74654705763322,249.11420582077264,249.73105179398777,historical
1851,r1i1p1f2,285.50488230063706,256.32895281595887,251.20566792404,248.48139058997614,249.17508499468315,historical
1852,r1i1p1f2,285.54050262853184,256.5392388244207,251.312958229189,248.78180324478456,248.8838091918778,historical
1853,r1i1p1f2,285.58241492951544,257.5220912899513,252.25564684758507,249.77023589343653,249.7137417815004,historical
1854,r1i1p1f2,285.5703746870365,257.5079914588338,251.72654318545375,249.2651723021733,248.55061613722347,historical
1855,r1i1p1f2,285.65055188050326,255.63144225924785,250.59524988285585,248.01309861274808,248.4609090551652,historical
1856,r1i1p1f2,285.53036281352814,256.6228213124244,251.30055414215218,248.8942392263152,248.5795379852706,historical
1857,r1i1p1f2,285.51716461916374,257.3692243368445,252.79639388280447,250.48108854209303,250.81618264054788,historical
1858,r1i1p1f2,285.4443997697021,256.1832256541068,251.31304306244448,248.6011475726128,249.5591353329476,historical
1859,r1i1p1f2,285.52994348664447,256.33933209111035,251.03600769805334,248.5505891315646,248.45119510369355,historical
1860,r1i1p1f2,285.5417437306754,255.5203254716948,250.78898139308535,248.30917411428337,248.86170471012764,historical
1861,r1i1p1f2,285.345989442772,255.7924135766979,251.03782205600444,248.42885768090986,249.26988577305443,historical
1862,r1i1p1f2,285.4492523926328,257.0206606836355,251.58462518783432,249.34105863322165,248.49634094519743,historical
1863,r1i1p1f2,285.44256698375403,256.2366916355634,251.23596749512666,248.7475306980219,249.00765739611884,historical
1864,r1i1p1f2,285.41149414194996,255.3929971007992,250.15388495004,247.64997262962476,247.67048786725636,historical
1865,r1i1p1f2,285.4682081142096,256.42762383450724,251.1726364831242,248.3036907971294,249.19756619593056,historical
1866,r1i1p1f2,285.48782286457396,256.51749561049456,251.63266184558216,249.15765189307973,249.519840433284,historical
