year,member,tas_global,tas_gis_south,tas_gis_all,tas_gis_central,tas_gis_north,scenario
1850,r1i1p1f2,286.09377088196675,258.3091214387252,252.25540437937704,249.47083142128452,249.15849405586988,historical
1851,r1i1p1f2,286.0476479202508,256.07276097197337,250.62980933346708,247.42135923129138,248.88040834312142,historical
1852,r1i1p1f2,286.0201320230228,257.9023135321591,252.1426110169223,249.59480160169923,249.04701753986723,historical
1853,r1i1p1f2,286.0370642279941,255.9532319607558,250.00559612433796,247.19020205034164,247.0798744097954,historical
1854,r1i1p1f2,286.0407548841552,256.77866146445297,251.20535626867328,248.47850256769271,248.59396609835412,historical
1855,r1i1p1f2,286.0204945880304,256.741756883991,250.75859497407015,248.18472187680314,247.4360147862002,historical
1856,r1i1p1f2,286.046428281774,255.97602849494635,250.4332664110623,247.56829361408188,248.06096840046396,historical
1857,r1i1p1f2,286.19619470676537,257.66066614682904,251.55718901303652,249.21621169417435,247.74976600302833,historical
1858,r1i1p1f2,286.1637067204642,256.0524559832066,250.38417166085557,247.62906630482578,247.70152339396515,historical
1859,r1i1p1f2,286.1067562976185,258.0083126446924,251.7007776719938,248.94324226712112,248.26286086450114,historical
1860,r1i1p1f2,286.1323607969748,256.96829312594906,251.55698193866735,248.86712697281027,249.08355586945274,historical
1861,r1i1p1f2,285.9329945488423,257.60280725077365,251.78690214256974,248.78151479011007,249.29656967896756,historical
1862,r1i1p1f2,285.84215575470836,256.6132748216813,251.4453045134506,248.9619259246328,248.9575202679936,historical
1863,r1i1p1f2,285.98572705959117,257.9801766696447,251.6630673380467,248.8282382310254,248.32729498970653,historical
1864,r1i1p1f2,286.13399555562165,258.92568884992653,252.92353073650332,250.24585531796436,249.73083991069922,historical
1865,r1i1p1f2,285.99540754236597,257.65354438993273,251.89369031477796,249.22244417740853,248.97919033208726,historical
1866,r1i1p1f2,286.05724271392717,258.1107304969646,252.28107583233736,249.57698354211757,249.33195377998385,historical
1867,r1i1p1f2,286.0500839348524,257.89791073671074,251.92574255087135,248.9319289441906,249.23291774187155,historical
1868,r1i1p1f2,286.0031871607322,257.1348852879423,251.3481779533628,248.49873190829314,248.66349725558243,historical
1869,r1i1p1f2,286.073672358868,257.68887298483327,251.65511311041467,248.9188554432893,248.51093984205409,historical
1870,r1i1p1f2,286.0721389485248,254.94091066415032,249.45411110005895,246.5124218900554,247.26090682894207,historical
1871,r1i1p1f2,286.05514711975195,256.83430459759603,251.4785732189018,248.77223141745282,249.09533623764514,historical
1872,r1i1p1f2,286.00901490635187,256.2324372675983,250.80997235499729,248.21720576761822,248.18072653972905,historical
1873,r1i1p1f2,285.9304651594045,256.4511567062555,250.47318141498315,247.9847727602302,247.03124903209135,historical
1874,r1i1p1f2,286.0784987693406,257.2558378795954,251.11175652082812,248.2121375717459,248.07652834698519,historical
1875,r1i1p1f2,285.861300021643,256.0418013677752,250.73833622585795,248.00139764789822,248.4620760813394,historical
1876,r1i1p1f2,286.0111899261561,257.27275729071016,251.98941485328086,249.40408205364474,249.5144006604694,historical
1877,r1i1p1f2,286.19299720054306,255.30028042928052,250.34425597671142,247.28539960605406,248.95318673930166,historical
1878,r1i1p1f2,285.9503843767715,256.3671582940586,250.9713119259877,248.2209999815869,248.60502802237633,historical
1879,r1i1p1f2,286.1132805161068,257.06760711999607,251.61904493684366,248.85992188842354,249.20312308766776,historical
1880,r1i1p1f2,286.16308794258543,255.75904035265876,250.4314336085639,247.50574506385055,248.40370500825767,historical
1881,r1i1p1f2,286.05814945643726,256.5832375658109,251.44275171220085,248.82174734086354,249.18970431980625,historical
1882,r1i1p1f2,286.11157341317875,257.7217243867604,252.44697182017754,249.8450715540627,250.00648463900905,historical
1883,r1i1p1f2,286.13508900948625,255.19898041444324,249.66755597762344,246.5878387066692,247.62408029026187,historical
1884,r1i1p1f2,285.71713643065476,255.9542086359573,250.1140867641079,247.54473429025748,246.95466676901518,historical
1885,r1i1p1f2,285.9424882244983,256.071888302252,250.77931810067656,248.21685860436762,248.25975921271507,historical
1886,r1i1p1f2,285.9973769994554,255.81529836035182,250.29351811913523,247.32071177941816,248.10448639403594,historical
1887,r1i1p1f2,285.87830417596524,256.9760398435263,250.9279094695323,248.2331666609177,247.70571058597608,historical
