year,member,tas_global,tas_gis_south,tas_gis_all,tas_gis_central,tas_gis_north,scenario
1850,r1i1p1f1,287.0384085668132,256.5687007890238,252.56040372060312,250.72547608251804,250.50596390986678,historical
1851,r1i1p1f1,287.13999844303225,256.58316390861626,252.54422400016034,250.67018437392232,250.5109894739518,historical
1852,r1i1p1f1,287.18775595608605,256.8115252299279,252.33750595594398,250.24098734324676,250.11556937637494,historical
1853,r1i1p1f1,287.0099925123656,257.63154391899235,253.16750738350538,251.21378343742242,250.74729125886626,historical
1854,r1i1p1f1,286.95340142608853,256.88104674682126,252.73088029411363,250.5075079735369,251.07975150700997,historical
1855,r1i1p1f1,287.01329286928603,258.48268418884226,253.86036775886245,251.9004127537598,251.26157395959416,historical
1856,r1i1p1f1,287.18888393515385,259.2620577426329,254.97868633017248,253.16003387452488,252.57401327771868,historical
1857,r1i1p1f1,287.15141301551773,258.51895824816927,253.75697815380389,251.67738358001856,251.1685680165302,historical
1858,r1i1p1f1,287.07477618564275,257.9360851365545,252.92161301258366,250.85578177082232,250.01345222101128,historical
1859,r1i1p1f1,287.072951240173,256.6157826379782,252.29756021757305,250.15062557542464,250.33461156474814,historical
1860,r1i1p1f1,287.13344082235835,257.2480173499943,253.4499020150347,251.84856540604468,251.30104654823634,historical
1861,r1i1p1f1,287.12575394811034,257.68517403765975,252.90265423516897,250.80477629209437,250.31678431860234,historical
1862,r1i1p1f1,286.99203337756177,258.411413079037,253.8269688336518,251.75880464693066,251.4323264225823,historical
1863,r1i1p1f1,287.11597750634064,258.72025001067266,254.10193546789213,252.0848489131466,251.591957016697,historical
1864,r1i1p1f1,287.2603936691647,258.2307595530592,253.84850134613754,251.8223859583487,251.63181128651783,historical
1865,r1i1p1f1,287.26562110865314,258.78353679775887,254.37728658915626,252.38447734773186,252.08312835377617,historical
1866,r1i1p1f1,287.24786799692555,258.0473610730692,253.65405241979488,251.57897820796452,251.4962970316695,historical
1867,r1i1p1f1,287.2123716300129,257.24207551768296,252.66868527322882,250.62221892916435,250.25522663603374,historical
1868,r1i1p1f1,287.18147122859676,256.500126370811,252.11588276356733,249.90074099320321,250.17498789147123,historical
1869,r1i1p1f1,287.13870281014897,258.3911466049232,253.99353513703298,251.9491272340957,251.78555075584433,historical
1870,r1i1p1f1,287.2813821645817,258.2163153108754,254.02510118152136,252.00390804568306,252.02777852990428,historical
1871,r1i1p1f1,287.25696432019964,259.03466318239884,254.02169439521816,252.2120941608346,250.7382757542622,historical
1872,r1i1p1f1,287.20290922595126,258.4461350051522,253.53920659625322,251.42316877428405,250.83248918140123,historical
