year,member,tas_global,tas_gis_south,tas_gis_all,tas_gis_central,tas_gis_north,scenario
1850,r1i1p1f1,287.32793507218634,256.88790139617913,251.2397590102425,247.78277932487146,247.67075962211888,historical
1851,r1i1p1f1,287.1193724854107,257.25510179553874,251.3931190443765,247.49581764962306,248.2020224260115,historical
1852,r1i1p1f1,287.20319194213664,256.0677842993933,250.54232967092395,246.8276532479165,247.60259245800793,historical
1853,r1i1p1f1,287.20061205031493,257.25100893441,251.41556504660505,247.76751495308747,247.85492910845022,historical
1854,r1i1p1f1,287.14673235223904,256.89758573339196,251.33022403340215,247.60108409700788,248.34546075587417,historical
1855,r1i1p1f1,287.12055184407274,257.47011076515713,251.62154368758505,248.00894496409072,247.98052313952454,historical
1856,r1i1p1f1,287.0993615496629,257.9632587369004,252.16809273078712,248.66214835237258,248.43817948065814,historical
1857,r1i1p1f1,287.0738429553238,258.2656966462443,252.4437629482053,248.67396416395383,249.10722301773052,historical
1858,r1i1p1f1,287.1297061805108,257.16566848313704,251.5489027735424,247.9557760440948,248.25729021511702,historical
1859,r1i1p1f1,287.3091662782216,258.49139659001355,252.8531463133976,249.55401092321318,249.038742173058,historical
1860,r1i1p1f1,287.18022362508935,257.2016998120928,251.5092562842654,247.80076696881426,248.2842924514442,historical
1861,r1i1p1f1,287.1692949032928,258.365864137524,252.7459574607535,249.30536747006212,249.1962790090859,historical
1862,r1i1p1f1,287.20241890993225,257.514028807199,251.9124729717419,248.4890137371848,248.36461011796058,historical
1863,r1i1p1f1,287.0964571620984,258.2275643775462,252.41918802687815,248.8835230818195,248.716796586524,historical
1864,r1i1p1f1,287.21706370439205,257.43002382775774,251.6831459251942,248.08844115425484,248.1799030320795,historical
1865,r1i1p1f1,287.31997501926713,257.234570589044,251.72010869564915,248.21154360055286,248.4567561198098,historical
1866,r1i1p1f1,287.33144462335895,258.8314080396739,252.83743859401764,249.13330718775347,249.10874815574948,historical
1867,r1i1p1f1,287.29096991777425,258.5263499784468,252.88517049327262,249.45627509127036,249.28107489742095,historical
1868,r1i1p1f1,287.3340274722002,259.18870860989796,253.57392649484646,250.05997925997056,250.1543068244637,historical
1869,r1i1p1f1,287.20616211454967,257.7257335848967,251.95131285283094,248.14887954315776,248.74711465339925,historical
1870,r1i1p1f1,287.26171312392034,258.45443777591043,252.46450526886042,248.75595182634368,248.7497935610245,historical
1871,r1i1p1f1,287.2484344793712,257.76864621604074,252.1791922958571,248.61903222523392,248.87789602092195,historical
1872,r1i1p1f1,287.24537388086924,258.75774349121275,252.646005844648,249.0185018538518,248.59635257567422,historical
1873,r1i1p1f1,287.14789926849403,259.131476360585,253.05387638516532,249.5858168174557,248.79608894062855,historical
1874,r1i1p1f1,286.99775595424614,258.0244288047873,252.3249930557125,248.66183452864072,249.01336075140821,historical
1875,r1i1p1f1,287.1309611716669,257.75745030516157,251.90833555816425,248.2535659989374,248.33632912128311,historical
1876,r1i1p1f1,287.11470010443657,257.4313438978314,251.94456362513688,248.19117667652688,249.13268775421366,historical
1877,r1i1p1f1,287.1531229294628,259.1487578681037,252.7932344389681,249.01983971822878,248.58403158155255,historical
1878,r1i1p1f1,287.1158882619126,257.65527008223586,251.79093374727157,248.0342113881251,248.36289269332548,historical
1879,r1i1p1f1,287.14666982757007,257.60710919225716,251.83355510477682,248.14031926136374,248.44974316064537,historical
1880,r1i1p1f1,287.21247858241685,258.3963771693047,252.60172673498502,249.1326766432739,248.81149462292836,historical
1881,r1i1p1f1,287.08624388060275,257.25647975172853,251.61330824136814,247.99778640975757,248.31534442003502,historical
1882,r1i1p1f1,287.1726001577068,259.20102430669925,253.66220896385778,250.15980121149042,250.34854688587464,historical
1883,r1i1p1f1,287.15639387488204,256.64611377924314,250.907454322608,247.2154688274908,247.57902793560024,historical
1884,r1i1p1f1,286.9603699161505,256.69137493779664,251.0441006187596,247.23800163624531,248.0553428774733,historical
1885,r1i1p1f1,287.03902435261193,256.4483238592431,251.27105927454127,247.86293187932907,248.3964280209188,historical
1886,r1i1p1f1,287.09838353913455,256.98795949923834,251.69780683654534,248.22452412207133,248.7453131003965,historical
1887,r1i1p1f1,287.13982036712576,257.40030008648154,252.1845824130277,248.7487024963876,249.29264465277186,historical
1888,r1i1p1f1,287.09663017341364,258.80543495055355,253.16406297008507,249.75985739366715,249.51871662205568,historical
1889,r1i1p1f1,287.1288790143658,259.2901721613051,253.3460931402852,249.67001659127425,249.65304101680584,historical
1890,r1i1p1f1,287.13820486184903,259.2400575434821,253.0722514540233,249.32070153820428,249.13593258204975,historical
1891,r1i1p1f1,287.19129504380624,258.35344001573526,252.41454987737112,248.66723238732322,248.84815378422113,historical
1892,r1i1p1f1,287.20852230047376,258.03533445139476,252.4654763464072,249.11650372095903,248.846314993799,historical
1893,r1i1p1f1,287.2229843704657,257.73801453872176,252.02924450402926,248.51380497881468,248.4573356321491,historical
1894,r1i1p1f1,287.2815176658868,257.81236949364904,252.0205711754913,248.48574986161816,248.34407894208604,historical
1895,r1i1p1f1,287.1161649005231,258.09305833742843,251.8174072731697,247.86543699138792,248.03578882226287,historical
1896,r1i1p1f1,287.0457987853343,259.7636508584297,253.2805153511052,249.71734957438056,248.5126396440377,historical
1897,r1i1p1f1,287.2252628515508,259.5579881188558,253.24166408181398,249.3924813921405,249.22265858380192,historical
1898,r1i1p1f1,287.2102137181998,258.89369179887836,253.16974118416402,249.7207128713238,249.46273096541887,historical
1899,r1i1p1f1,287.27046240740214,259.0454121853982,253.32446873074554,249.60498367591146,250.07080614032094,historical
1900,r1i1p1f1,287.17623735150397,259.3717287545872,252.92753399647586,249.22536765610423,248.45423125666204,historical
1901,r1i1p1f1,287.09249071504195,259.31159118108224,253.27486744446637,249.58600103640583,249.45046835714462,historical
1902,r1i1p1f1,287.19505199248,257.8472101620353,252.099723868478,248.41646055683526,248.74230225717423,historical
1903,r1i1p1f1,287.0598888894498,258.83509469365225,252.6577133420169,249.11762053554548,248.35504834766158,historical
1904,r1i1p1f1,286.9973402558624,257.2685554658114,251.56081542182483,248.13220266651007,247.84665062616688,historical
1905,r1i1p1f1,287.0061986013355,256.90812064291725,251.4994049954374,248.0160565716956,248.36837007777007,historical
1906,r1i1p1f1,286.96553390544574,256.4167511393533,251.15770204560815,247.6134839257807,248.37402967818616,historical
1907,r1i1p1f1,287.11060995603646,256.8661556641907,251.51468323562995,247.90284282093148,248.69093629088087,historical
1908,r1i1p1f1,287.1922284282803,257.71254450111326,252.04533497260545,248.34484325733237,248.84866280247377,historical
1909,r1i1p1f1,287.17173159880684,257.6737162196556,251.98451426606158,248.222883955903,248.85299168406095,historical
1910,r1i1p1f1,287.1022303421908,257.329370344766,251.5687692111541,247.72592853321515,248.4543190031062,historical
1911,r1i1p1f1,287.2756606800745,256.8082706044232,251.04357602889954,247.27503831862913,247.7991969771253,historical
1912,r1i1p1f1,287.1611085573873,257.33333047302636,251.4544953307427,247.59238039502907,248.177312690233,historical
1913,r1i1p1f1,287.00255871863754,257.1005814430424,251.2770962944225,247.59179350374998,247.7979140055712,historical
1914,r1i1p1f1,287.043260635155,258.34755308979663,252.54021626170905,248.7559503628699,249.25169730608758,historical
1915,r1i1p1f1,287.3394295113488,258.11464153474094,252.26514022586383,248.8575828500726,248.28263896045044,historical
1916,r1i1p1f1,287.28821679543717,257.49871066083455,252.04831717011655,248.5196256020324,248.9238296348032,historical
1917,r1i1p1f1,287.3083002617039,258.27118867522347,252.6940587490617,249.22883867587112,249.25565250037698,historical
1918,r1i1p1f1,287.48703117590435,257.9759594369212,252.53415278247505,249.14273391652117,249.19621727250998,historical
1919,r1i1p1f1,287.35827298218743,258.0892361483915,252.27286751978357,248.6205202597412,248.75076583342667,historical
1920,r1i1p1f1,287.2225962527386,257.8750506181415,252.01694454279672,248.24278699910812,248.62806858044365,historical
1921,r1i1p1f1,287.30558451901265,258.3684875724551,252.17087015333638,248.3739326455828,248.2607121081738,historical
1922,r1i1p1f1,287.3099022634108,258.79931263835806,252.8235228712417,249.13251367998578,249.10301203421196,historical
1923,r1i1p1f1,287.1823408997248,257.1472807572288,251.64759466950312,248.05409444272152,248.54938812441924,historical
1924,r1i1p1f1,287.2970387013517,257.8691190026905,251.8980003349116,248.28932357927607,248.04868038356574,historical
1925,r1i1p1f1,287.2584669512754,259.14293500663626,252.76597709345393,249.13866336250717,248.27928881701445,historical
1926,r1i1p1f1,287.24684206992083,257.34568802796167,251.6149563658539,247.88822530598344,248.35718952710099,historical
1927,r1i1p1f1,287.3425126402836,259.33712739345464,253.6635961339462,250.0727815049167,250.2746784541742,historical
1928,r1i1p1f1,287.3049959170474,258.25631741068406,252.87667694574964,249.37194503495135,249.82897022276202,historical
1929,r1i1p1f1,287.27129203338484,257.9325373292309,252.1575150304681,248.44479663843666,248.80358601517156,historical
1930,r1i1p1f1,287.3540412663852,258.4445108256538,252.3570271464432,248.7530904971199,248.3082383872131,historical
1931,r1i1p1f1,287.33430034719896,258.5081540101003,252.8493359292311,249.16389171631704,249.64153379389987,historical
1932,r1i1p1f1,287.1838130918569,257.57834869023816,251.80201270623408,248.04776003453094,248.51478109796452,historical
1933,r1i1p1f1,287.2541227217967,257.5785157932594,252.03298073710144,248.70029505920573,248.42686796481405,historical
1934,r1i1p1f1,287.30306730383165,257.75281429566036,252.3731313177665,249.0822404313869,248.97082303732427,historical
1935,r1i1p1f1,287.3704038807115,257.9588141207285,252.36940531682853,248.72448367008514,249.20871134036622,historical
1936,r1i1p1f1,287.45372840984356,260.9594636211216,254.60017009917567,250.9428772897902,250.19227148203018,historical
1937,r1i1p1f1,287.3566957838315,258.7247318752302,252.98168849339459,249.33582872668939,249.5695705847935,historical
1938,r1i1p1f1,287.4333309498891,258.5545039901757,252.7243072314233,249.09229711900906,249.14571834816766,historical
1939,r1i1p1f1,287.4205427330699,258.281043236744,252.68669219270822,249.1832552137024,249.2832897555763,historical
1940,r1i1p1f1,287.4143946741596,258.8614631014795,252.67102809009467,248.84628956219666,248.81878870985025,historical
1941,r1i1p1f1,287.55034888429554,259.02959853586407,253.25901435489882,249.67811296055817,249.69385108954532,historical
1942,r1i1p1f1,287.508313688513,259.20189469534097,253.9041925897631,250.69030355066698,250.5092134594127,historical
1943,r1i1p1f1,287.3997772384301,257.7811821106287,251.86738268116613,248.0044521569376,248.5339789879137,historical
1944,r1i1p1f1,287.56150924957484,258.69354321362755,252.86642077351823,249.56641217893952,248.7424618207361,historical
1945,r1i1p1f1,287.452348437857,258.2792566073778,252.73318355581515,249.18808131735386,249.47835480993015,historical
1946,r1i1p1f1,287.44269514880244,259.03716950728085,252.89945772455715,249.27451367361135,248.80279049281341,historical
1947,r1i1p1f1,287.5123532345991,258.39034376131156,252.68832780013824,249.09915799140884,249.24977938188215,historical
1948,r1i1p1f1,287.50284234508086,257.369916643693,252.09579433728973,248.6833407565176,249.06884675561284,historical
1949,r1i1p1f1,287.52173443884203,257.3179681871501,251.96511629242463,248.43175140320832,249.00899164526194,historical
1950,r1i1p1f1,287.6691618933114,256.8848199497249,251.56192833546206,247.9493869713931,248.78640552754996,historical
1951,r1i1p1f1,287.5324287408978,258.59399637066787,253.38362419034692,250.3006889141466,249.91533409832252,historical
1952,r1i1p1f1,287.4363682576393,257.5066764327386,252.1473050890229,248.729099142145,248.98952087881364,historical
1953,r1i1p1f1,287.4478504799463,256.75413396697803,251.29929699592404,247.71590409925852,248.25818318273778,historical
1954,r1i1p1f1,287.5803809701638,258.6068178830428,252.6541714648949,248.97534374304627,248.9515732383363,historical
1955,r1i1p1f1,287.4683215913689,258.02028601143434,252.23829483243037,248.59159738683138,248.7634331292798,historical
1956,r1i1p1f1,287.6465764470211,259.3192003986531,253.34558656614666,249.46673712878797,249.94008300210348,historical
1957,r1i1p1f1,287.58553019385704,258.5018893363314,252.6079696742828,248.8256201403946,249.17370366962245,historical
1958,r1i1p1f1,287.5590481741979,257.4407641692225,252.05940494610823,248.4618957262629,249.16268552653963,historical
1959,r1i1p1f1,287.7018630315887,258.46829496117033,252.8610481812941,249.31951841701928,249.49956607621627,historical
1960,r1i1p1f1,287.59355303540735,256.67965721798237,251.39549423569426,247.9375660945088,248.42740661366943,historical
1961,r1i1p1f1,287.56868088061765,257.7662867728771,252.3031563056713,248.66943115495386,249.33183308316117,historical
