year,member,tas_global,tas_gis_south,tas_gis_all,tas_gis_central,tas_gis_north,scenario
1850,r1i1p1f1,288.32865743413686,263.12399414876205,258.82431901021806,256.6011814125946,256.98508676040177,historical
1851,r1i1p1f1,288.2904237496759,262.0398324398307,257.59395758203766,255.6537375278615,255.16569609541673,historical
1852,r1i1p1f1,288.30800233183237,261.1444460813074,256.453145496976,254.38468782538885,253.92186953087403,historical
1853,r1i1p1f1,288.3659171700957,261.50787119918147,257.0858910008232,254.95029091313546,254.97292021481135,historical
1854,r1i1p1f1,288.63073398244234,261.45068014400346,256.8889264791993,254.83322473601172,254.4926994045604,historical
1855,r1i1p1f1,288.7322630052646,261.9200286171722,257.46074722741605,255.22968042609506,255.44369516209875,historical
1856,r1i1p1f1,288.2625158710971,262.0426156236191,257.09512634012185,254.8770935306881,254.47939474646353,historical
1857,r1i1p1f1,288.31285143998076,261.3444091544033,257.2523347359348,255.0477143240819,255.63234622434416,historical
1858,r1i1p1f1,288.35705527095155,262.4415360924316,257.52140992684343,255.32439739413454,254.90729095507226,historical
1859,r1i1p1f1,288.4917144917816,261.04418463976685,256.81206594695345,254.63770335417257,254.98139943598255,historical
1860,r1i1p1f1,288.3937946939674,260.54006042908713,256.08536350927585,253.76677342979613,254.2022861444811,historical
1861,r1i1p1f1,288.3310889769964,261.85462574976987,257.4727159669643,255.19094653782258,255.62196916037092,historical
1862,r1i1p1f1,288.4654885544534,261.9736329229599,257.8207932525289,255.77993449265537,255.8881792337901,historical
1863,r1i1p1f1,288.61194470636923,262.1457511003707,258.24810017946766,256.4965098849415,256.1936076763759,historical
1864,r1i1p1f1,288.26912642256923,260.1122427823967,255.9774647431516,253.62619419589393,254.5221474576546,historical
1865,r1i1p1f1,288.16508597104615,262.0911178068031,257.08011761718177,254.7601783842645,254.53864895635937,historical
1866,r1i1p1f1,288.22780673204505,260.19227369924414,256.0826440999549,254.03876566108653,254.20575815023426,historical
1867,r1i1p1f1,288.3155853796944,260.19007743944974,256.19725988642455,254.2460668351699,254.3229249317607,historical
1868,r1i1p1f1,288.51015722170257,262.63577117863167,257.76817563620773,255.59004704360575,255.18868227688284,historical
1869,r1i1p1f1,288.6572755777189,261.789019724314,257.7592177094063,255.65167779691382,256.07058319885965,historical
1870,r1i1p1f1,288.4936563202925,262.30425358537303,257.6038732317549,255.4545815842417,255.1805279195677,historical
1871,r1i1p1f1,288.4973140098446,261.5353172664584,257.2410923221331,255.08423527980887,255.3109933218362,historical
1872,r1i1p1f1,288.453861190519,261.0321875814085,256.79294603345267,254.51177409616812,255.1106793899088,historical
1873,r1i1p1f1,288.5529312351597,261.35941723175665,257.1428777617407,254.92422763431338,255.39574353140563,historical
