year,member,tas_global,tas_gis_south,tas_gis_all,tas_gis_central,tas_gis_north,scenario
1850,r1i1p1f1,286.9485812561879,260.11474969103085,255.55611186942616,253.35931674031966,253.47221657375556,historical
1851,r1i1p1f1,286.9967066245153,260.31507724443594,255.87366425606353,253.3959690905478,254.31629819948958,historical
1852,r1i1p1f1,286.91437591131023,260.14664108021856,256.00289305450025,253.89552497658036,254.26356197946873,historical
1853,r1i1p1f1,286.81150124274353,258.1597576939915,254.1782521775643,251.79185897338894,253.0138108895207,historical
1854,r1i1p1f1,286.7756224700323,260.3151266816334,256.18367662524184,253.95278506787474,254.6314256300428,historical
1855,r1i1p1f1,286.9566154524934,259.5121767755739,255.12557145924106,252.64964379834163,253.6278050296872,historical
1856,r1i1p1f1,286.9487371276641,259.7956361122834,255.1886294157496,252.67743590607836,253.49066244542138,historical
1857,r1i1p1f1,286.88244693893336,257.92764226971383,254.16396418634326,251.91032314351972,253.0601551546233,historical
1858,r1i1p1f1,286.86451102380244,258.8393024164467,254.67242521900454,252.32554003484464,253.24264394214276,historical
1859,r1i1p1f1,287.0347968452367,258.7005186621403,254.56606702578958,251.99528800357365,253.48685879444568,historical
1860,r1i1p1f1,286.8770708786738,259.9751247592627,255.79781457251218,253.52974478370743,254.245735805778,historical
1861,r1i1p1f1,286.8511860305047,259.37784154326187,254.8018005181627,252.6498910709971,252.6352744991846,historical
1862,r1i1p1f1,286.81073591956,260.073542519367,255.59491890038214,253.0884318658971,254.03576611240226,historical
1863,r1i1p1f1,286.9037346301969,259.00488636065273,254.52957265994021,252.1761823384309,252.75956314547216,historical
1864,r1i1p1f1,286.7709278105511,260.3497103098894,256.06456435242507,253.81268483054654,254.36765173569668,historical
1865,r1i1p1f1,286.9001650062463,259.8593300155864,255.24574494585315,252.96097440149535,253.22293519507332,historical
1866,r1i1p1f1,286.8391004179368,260.22711863871183,255.63960486986488,253.32069967636804,253.69417323401012,historical
1867,r1i1p1f1,286.812027814226,259.12597889907926,254.38359100985366,252.2161259847623,252.0504594762413,historical
1868,r1i1p1f1,286.91160221339567,260.67976243280236,256.2036333072553,254.50386811494116,253.51647116064225,historical
1869,r1i1p1f1,286.7795341001478,259.7216445511366,254.83489220281575,252.61762838401108,252.40805421550985,historical
1870,r1i1p1f1,286.81284521104624,259.9124504455793,255.59995069192442,253.39329076211163,253.80866886853335,historical
1871,r1i1p1f1,286.897198980159,260.05895430889,255.3347973351222,253.18669401126058,252.9951742679999,historical
1872,r1i1p1f1,286.7250004028057,260.1503814274779,255.57186880585223,253.24394641090893,253.64927221210502,historical
1873,r1i1p1f1,286.62636139606843,259.0313537033901,254.56514873005457,252.28404851794807,252.70412233689433,historical
1874,r1i1p1f1,286.7353212901579,259.00745718378744,254.30781568029605,251.79776762945758,252.5033213401491,historical
1875,r1i1p1f1,286.96315419318773,260.4343098650054,256.23476260763505,254.0977850090127,254.47373680058104,historical
1876,r1i1p1f1,286.89285363686207,261.02759724970576,256.68613222045445,254.58921294712962,254.7082125757812,historical
1877,r1i1p1f1,286.96433510541164,260.03280047349193,255.3211967669421,252.90613812895748,253.37000071414602,historical
1878,r1i1p1f1,286.97613740584063,260.3246295523881,255.81147366457483,253.4293054706596,254.03894247390653,historical
1879,r1i1p1f1,286.86356240852535,260.863618034201,256.4974114906123,254.1940807403711,254.7808091198268,historical
1880,r1i1p1f1,286.9403750078172,259.40576192666265,255.04408015906074,252.78024073370062,253.2772451512189,historical
1881,r1i1p1f1,286.9938979416551,259.05566069435713,254.62917951742335,252.20640552273588,253.01173920469475,historical
1882,r1i1p1f1,287.0426189867646,259.06342223871184,254.61788230469404,252.06129890557682,253.1664247040686,historical
1883,r1i1p1f1,286.8572042367899,259.12222903677093,254.7790937469409,252.4704192000763,253.09611350446554,historical
1884,r1i1p1f1,286.7722849229943,258.73127273412933,254.8171805225975,252.40488610616822,253.7654015290378,historical
1885,r1i1p1f1,286.66777435368823,259.63085199650465,254.6953180218029,252.1449677609923,252.68013713863417,historical
1886,r1i1p1f1,286.81942104323775,259.1367537555042,254.09125604920945,251.55268788768308,251.9350103232372,historical
1887,r1i1p1f1,286.7823664400991,257.9236892847784,253.97752971534234,251.44875850699032,253.05270314241895,historical
1888,r1i1p1f1,286.81553213567565,258.36329514429826,254.03669856640147,251.6883548259837,252.42805759859962,historical
1889,r1i1p1f1,286.8163762658866,259.04760927200846,254.49815208974834,252.22079341469052,252.53758632166728,historical
1890,r1i1p1f1,286.82291270390886,260.47380381421016,256.268350732574,254.05936509269176,254.60157414073873,historical
1891,r1i1p1f1,286.97627765274933,258.6188081553451,254.13889236981444,251.55150159586893,252.69168408265395,historical
1892,r1i1p1f1,286.960918517372,258.9625681452327,254.53361075314842,252.01256872287345,253.05111451121036,historical
1893,r1i1p1f1,286.94715727358624,259.87785151140423,255.65434481283734,253.53748731829722,253.8379779669646,historical
1894,r1i1p1f1,287.0002717114724,260.2662158432246,256.0974024457094,253.6938831832021,254.74481584305747,historical
1895,r1i1p1f1,287.1325059633318,259.36371702920326,255.25173870490912,252.90595730567927,253.8825907321624,historical
1896,r1i1p1f1,287.12596119501484,259.35533589596724,254.6459390383848,252.47222778396807,252.35893014965393,historical
1897,r1i1p1f1,287.01953186582074,259.8685881876606,255.48378989354424,253.20547706222726,253.71106054744487,historical
1898,r1i1p1f1,287.0269214571826,259.8390786545957,255.6195755194936,253.27723908246168,254.12381182817438,historical
1899,r1i1p1f1,286.9539268938626,259.4315173653689,255.0362661903422,252.6300051242584,253.4310509145071,historical
1900,r1i1p1f1,286.8141533930192,260.1703447859106,255.9757258106558,253.69686729183377,254.41916571958816,historical
1901,r1i1p1f1,287.0673133463666,260.70377647625816,256.4782988132926,254.1816207226365,254.91176585710272,historical
1902,r1i1p1f1,287.01162005924687,260.0739350277563,256.20573377479735,253.95191243410505,254.98379056141178,historical
1903,r1i1p1f1,286.7753530126214,259.9156591601995,255.64187755969692,253.47914241874363,253.83287714248846,historical
1904,r1i1p1f1,286.9910945480791,260.8330028502877,256.55182087260323,254.45240768674645,254.6456759848894,historical
