year,member,tas_global,tas_gis_south,tas_gis_all,tas_gis_central,tas_gis_north,scenario
1850,r1i1p1f1,287.5928181241758,258.2412381117697,253.71682040960076,251.35221426879644,251.63172601590944,historical
1851,r1i1p1f1,287.809485536016,258.386632649502,253.93280538491277,251.58276122087562,251.91102968827178,historical
1852,r1i1p1f1,287.71376357437214,257.82079293311,253.44129734650866,251.07880724417086,251.52449515996574,historical
1853,r1i1p1f1,287.84387459333686,255.0711199857463,250.75938535470755,248.35634275353493,248.97854371009956,historical
1854,r1i1p1f1,287.8945295126574,257.64391574717666,253.5438994051959,251.26156253732853,251.84676646887075,historical
1855,r1i1p1f1,287.6631786283807,257.37425413845796,253.1250477586547,250.72284783919332,251.41691457937353,historical
1856,r1i1p1f1,287.633425105723,256.1627961920843,251.93510391401836,249.4894829129014,250.31225053471684,historical
1857,r1i1p1f1,287.8636070713434,258.0012182304711,253.5253540591568,251.06698902505076,251.62688270592784,historical
1858,r1i1p1f1,287.6969994398874,258.3676842737116,253.6465233648872,250.98984288250148,251.7316720979565,historical
1859,r1i1p1f1,287.4257292750117,259.02571848859213,254.4795740917196,252.24144469132494,252.19444256019372,historical
1860,r1i1p1f1,287.3638377319002,258.14743693916955,253.40208075824924,251.10156467555743,250.96761296494853,historical
1861,r1i1p1f1,287.3683432898821,257.02925654579406,252.32508901044702,249.9982381454485,249.97558798933062,historical
1862,r1i1p1f1,287.4200587378725,256.82619847847667,252.2721883084874,249.68484006919817,250.45922108601587,historical
1863,r1i1p1f1,287.7351454016141,256.23983988982343,251.8156746388145,249.42873550300266,249.87980726365578,historical
1864,r1i1p1f1,287.87600713686675,256.29033087102084,251.94685192896372,249.34846366416625,250.39782470049641,historical
1865,r1i1p1f1,287.6155483894885,256.13280987924804,251.96398607966617,249.57264738928106,250.33584203831043,historical
1866,r1i1p1f1,287.50195741789076,257.08947606383737,252.8734409267498,250.58697584024247,251.04493600228076,historical
1867,r1i1p1f1,287.5199814259616,257.32967892536084,252.72492717142165,250.4053582340962,250.48283558810155,historical
1868,r1i1p1f1,287.8644167508764,257.9023982734918,253.10381645602976,250.79197513829556,250.62208217363255,historical
1869,r1i1p1f1,287.79620111845344,257.70208941310403,253.41603829302343,250.94164914151753,251.7639020975896,historical
1870,r1i1p1f1,287.5466267505406,256.05564289627284,252.16795696340333,249.69635174711752,250.9826072490296,historical
1871,r1i1p1f1,287.6216643893036,259.21732330170187,254.6977912666185,252.39062227603978,252.53928198700635,historical
1872,r1i1p1f1,287.60785275776556,258.1676736427344,253.39171597254992,251.02000009084196,251.01925677700743,historical
1873,r1i1p1f1,287.46069367205314,258.978038702611,254.55611369333377,252.24938695248383,252.5123066513606,historical
1874,r1i1p1f1,287.4748223736574,259.1272150171321,254.6121870280301,252.13991545703843,252.68662043454205,historical
1875,r1i1p1f1,287.56968028218506,257.21980288037855,252.2604203068815,249.68633153155994,249.95026982708742,historical
1876,r1i1p1f1,287.63543076410315,256.7492315821876,252.69398676311704,250.22036662471467,251.31346258380836,historical
1877,r1i1p1f1,287.7804193851251,256.39282211711804,252.4568370459127,249.98254988379014,251.21812473097145,historical
1878,r1i1p1f1,287.82822716675616,257.6720837557077,253.43675431427266,251.05820116075665,251.7124141690706,historical
1879,r1i1p1f1,287.7210116496429,257.0379162602461,252.82858857872094,250.63241027761933,250.8835322685045,historical
1880,r1i1p1f1,287.7569708384842,259.01580672002535,254.6316813003991,252.44974832864636,252.46048112972042,historical
1881,r1i1p1f1,287.62436518566085,259.53905054498426,254.90883158795825,252.65648845853562,252.54397123530546,historical
1882,r1i1p1f1,287.5292518605232,258.0058513612135,253.6535693772798,251.3618302800468,251.67137491583878,historical
1883,r1i1p1f1,287.67490958563326,257.88822036494673,252.84198858220165,250.3291212074839,250.3448313362117,historical
1884,r1i1p1f1,287.44550509454467,256.8746628974512,252.604845616669,250.2437806797142,250.81565144149502,historical
1885,r1i1p1f1,287.62575250331673,257.91429680624583,253.8388039183257,251.42613240452164,252.35033095412706,historical
1886,r1i1p1f1,287.59339231476963,258.79338376661406,254.0888820233825,251.78364733681227,251.70918463799853,historical
1887,r1i1p1f1,287.4368462595543,258.92253517810826,253.53550830661175,251.15996804575062,250.4464106855847,historical
1888,r1i1p1f1,287.5416978722074,257.46751175891455,252.76107262280277,250.33838076066016,250.54102087567125,historical
1889,r1i1p1f1,287.6086492971951,258.34044287734343,253.83334431764885,251.63680461600887,251.5370027546314,historical
1890,r1i1p1f1,287.73491557547436,256.5906938154139,252.5298628891779,250.13039786304145,251.04050405570658,historical
1891,r1i1p1f1,287.76466059375406,257.3634475565124,252.73803771963028,250.44027120312057,250.441482585151,historical
1892,r1i1p1f1,287.69508201904205,259.4356818894363,255.43102458040443,253.02894242322867,254.01163684515927,historical
1893,r1i1p1f1,287.6380390481924,257.4105194209703,252.55209119883048,249.7939235379354,250.61499084608528,historical
1894,r1i1p1f1,287.76891958809875,257.1852473973092,252.89457806113418,250.66498753201074,250.89948991378913,historical
1895,r1i1p1f1,287.91546065908364,258.07120096191414,253.4903612277239,251.09627810383296,251.3792493906288,historical
1896,r1i1p1f1,287.7118642217265,257.4971867929201,252.97822496901918,250.6735493281236,250.81695182959868,historical
1897,r1i1p1f1,287.77739504270966,257.7578422217689,253.3531656708731,251.0715975644889,251.29505037781016,historical
1898,r1i1p1f1,287.81792967750613,259.23390507969077,254.8003888847969,252.5193046329721,252.70753565314433,historical
1899,r1i1p1f1,287.8101806384455,258.2692112290042,253.93590020592546,251.57092838688664,252.07708145918554,historical
1900,r1i1p1f1,287.76076949099195,257.2642450504889,252.8754787474555,250.51658061885,250.94277209086974,historical
1901,r1i1p1f1,287.8362946143792,257.715823206956,252.69239532457345,250.20059201146813,250.19313802721948,historical
1902,r1i1p1f1,287.68029613677555,257.36706032129524,253.01822578175208,250.65754041573553,251.13515811383968,historical
1903,r1i1p1f1,287.6527829078019,258.45633153331556,253.9257241258756,251.7600189855425,251.5590988235189,historical
1904,r1i1p1f1,287.8035752877853,258.4157929486784,253.67055459860552,251.21774412660412,251.44618941743866,historical
1905,r1i1p1f1,287.72048610811953,256.8368577271505,252.77366677443482,250.27699995620344,251.41552883421735,historical
1906,r1i1p1f1,287.7468735908666,259.4625501097045,255.13132973265382,253.02065401629443,252.92439094327665,historical
1907,r1i1p1f1,287.6437219175674,258.31439550881197,253.87826455199453,251.47147434308812,251.9556290531332,historical
1908,r1i1p1f1,287.63181592104536,257.37062423072126,253.14035869570506,250.9157629509566,251.20974483858876,historical
1909,r1i1p1f1,287.82107314365174,257.27717898953995,253.06793321370424,250.6964378352446,251.36467771832451,historical
1910,r1i1p1f1,287.59528535574805,257.94237651357463,253.40910342320632,251.0763893129993,251.26957883997662,historical
1911,r1i1p1f1,287.58837508524795,258.19469560524016,253.6896843026074,251.24644014844793,251.735932149204,historical
1912,r1i1p1f1,287.6325348176271,257.076156854953,253.06430928226033,250.82785337393395,251.40808342555047,historical
1913,r1i1p1f1,287.6015089758093,258.81211868954915,253.94655178500904,251.5543642593135,251.49645274759087,historical
1914,r1i1p1f1,287.2851290509081,256.18719763216586,251.2540518565965,248.73252708885374,248.90242894698494,historical
1915,r1i1p1f1,287.51844488237003,256.6227440436055,252.072954606831,249.69523472950053,249.97596579195368,historical
1916,r1i1p1f1,287.64022038491476,257.1369061150783,253.01441678592963,250.6757501616458,251.36839452497875,historical
1917,r1i1p1f1,287.52153707117395,257.69353725913373,253.4916464833303,250.93391396063623,252.05383931014276,historical
1918,r1i1p1f1,287.7294686606246,256.5573234174164,252.17139105684745,249.66249766415933,250.44882606871107,historical
1919,r1i1p1f1,287.9294410414856,257.0206990383791,252.43439180596872,249.95329520686423,250.43678341952275,historical
1920,r1i1p1f1,287.9295082667533,257.27540764700836,253.25706689813632,250.7707222441951,251.93768369711782,historical
1921,r1i1p1f1,287.7254357056867,257.2728337279308,252.7152859607764,250.29628150767059,250.66604925821636,historical
1922,r1i1p1f1,287.79480823034623,257.4696275481083,253.86808313445098,251.60535617703567,252.7328043364008,historical
1923,r1i1p1f1,287.9039731563863,257.32338566887626,252.9111623682493,250.39794346911265,251.16350096692213,historical
1924,r1i1p1f1,287.8809543480031,258.3380526475708,253.4412912008552,250.93350312247966,251.11371403473046,historical
1925,r1i1p1f1,287.7848079177762,259.53540780288233,254.88793592346988,252.51261571691754,252.67223770928194,historical
1926,r1i1p1f1,287.63016764433337,259.14501523862464,254.6904297785085,252.43398251120553,252.53871930670783,historical
1927,r1i1p1f1,287.78099812946994,258.49379114819465,253.9249108661066,251.43076455041376,251.96588172979205,historical
1928,r1i1p1f1,287.7950343886844,257.5435684217809,253.0114331867193,250.45171026620417,251.1862226469302,historical
1929,r1i1p1f1,287.85284681429744,258.29300030601945,254.29468900857032,251.94383338119943,252.81217400753863,historical
1930,r1i1p1f1,287.76934817079035,257.97987303767775,253.26377016950522,250.79999930327642,251.08893609729552,historical
1931,r1i1p1f1,287.6769385109471,257.69132866187783,253.16410667735985,250.66712470641022,251.25820165980198,historical
1932,r1i1p1f1,287.8004499791832,259.578897698524,254.8017711260741,252.55492226791205,252.25578082598872,historical
1933,r1i1p1f1,287.54459431100753,256.4560313570317,252.22553540568038,249.57767270522194,250.87819396334612,historical
1934,r1i1p1f1,287.6197245073187,256.402258746461,252.5141644615865,249.8896081382355,251.53920112803033,historical
