year,tas_global,tas_R19,tas_SLOWP,tas_FAST,tas_AGG,member,scenario
1850,286.92205902461507,266.2132340147948,258.71757518163736,276.2310317326597,268.39404017818856,r10i1p1f1,historical
1851,286.966206708151,266.1668641662729,259.9693390942378,276.91688761248633,269.1138401148273,r10i1p1f1,historical
1852,287.04952756767096,265.9865596720252,258.8280254391839,276.8427305460334,268.6668726807331,r10i1p1f1,historical
1853,287.02629857615597,266.05229088822705,258.1764283823539,277.17338831672566,268.61965205965873,r10i1p1f1,historical
1854,286.93242900781826,266.3116675139901,258.682421071989,276.3525001515695,268.4592441884035,r10i1p1f1,historical
1855,287.0469863494782,266.4167969283003,258.31651824789844,276.1870697144327,268.28410875173404,r10i1p1f1,historical
1856,287.09703624971814,266.01182061284374,258.92097617655554,277.1724398109311,268.85553470978,r10i1p1f1,historical
1857,287.00846009317723,266.04079646777575,257.9940627547316,276.90579096760985,268.4332560899008,r10i1p1f1,historical
1858,287.1902945987984,265.83621172099987,258.18456900464497,277.3590220919248,268.663519165425,r10i1p1f1,historical
1859,287.2592239457465,266.1120944695857,258.3815189960159,277.8860464671141,269.0298946134723,r10i1p1f1,historical
1860,287.04783076025467,266.1697896913651,257.7612012806043,276.97607750434116,268.41609217548086,r10i1p1f1,historical
1861,287.1828313626461,266.1760079605862,257.8895268511783,277.25975705802693,268.59108609172984,r10i1p1f1,historical
1862,286.81969935913247,266.0775647745207,258.2549039745061,276.1318999464664,268.1678278515088,r10i1p1f1,historical
1863,286.859808321107,266.3474911975542,259.0247897079678,276.4955423131385,268.645536741525,r10i1p1f1,historical
1864,287.06984021224395,266.23689869993046,258.80908385944883,276.37878447535195,268.49753584940873,r10i1p1f1,historical
1865,287.2070181180493,266.31601292599925,258.8153419713421,277.46754710430747,269.02080810953163,r10i1p1f1,historical
1866,287.050642003075,266.26484214277826,258.75066224101687,276.8439413027081,268.69979786604233,r10i1p1f1,historical
1867,287.0228341212647,266.3457730997666,258.5888430030298,276.4471625100049,268.4794571997685,r10i1p1f1,historical
1868,287.2324475993064,266.421602640738,259.9044021616805,276.83923208921794,269.10939527159746,r10i1p1f1,historical
1869,287.192141791561,266.34033834840176,259.31038822450665,276.96761930027844,268.9567952745814,r10i1p1f1,historical
1870,287.2059883402973,265.9984428641816,259.815636296164,277.30570329330993,269.2086095499261,r10i1p1f1,historical
1871,287.3207480496416,266.5131793370122,259.3389106024974,277.529250823713,269.2624555723378,r10i1p1f1,historical
1872,287.0495538353561,266.1427336568558,259.6366944881102,277.12564131805755,269.0962759740347,r10i1p1f1,historical
1873,287.29345309422536,266.5605700851052,260.26164435516995,276.91377227766594,269.29023740288164,r10i1p1f1,historical
1874,287.29734942930395,266.3345740963346,260.40741755171416,277.3009177539839,269.4707110545874,r10i1p1f1,historical
1875,287.1916431676175,266.4351178511409,259.72827681694446,277.0617931054858,269.15749741608664,r10i1p1f1,historical
1876,287.31489810680574,265.9965688210309,260.4260751555158,277.37332685727125,269.440219335743,r10i1p1f1,historical
1877,287.3343767358347,266.22744130916163,260.74381237081434,277.60866996243686,269.7017163090273,r10i1p1f1,historical
1878,287.07849430925995,266.2384972721973,258.84195141236444,276.6613013954653,268.639655020147,r10i1p1f1,historical
1879,287.2211416583021,266.2030657515591,259.058266490013,277.3487747817355,269.0221324841282,r10i1p1f1,historical
1880,287.42384665599786,266.7607454524981,259.8326379768343,277.5268223645716,269.4750275138037,r10i1p1f1,historical
1881,287.429309560331,266.3718848974795,260.84876645234544,277.334539645451,269.6391157585594,r10i1p1f1,historical
