year,tas_global,tas_R19,tas_SLOWP,tas_FAST,tas_AGG,member,scenario
1850,286.8182031872419,267.27149180574145,258.3678893906037,275.65784007362464,268.2331256816723,r10i1p1f2,historical
1851,286.7926382542656,267.3170735311142,258.74428696448496,275.6473366094666,268.3614411318149,r10i1p1f2,historical
1852,286.89789059999475,267.71876475695495,258.5843004141181,275.02915514354095,268.10566763287943,r10i1p1f2,historical
1853,286.65688181945956,267.2027973306681,258.0970761053686,275.26720311034103,267.9487334872676,r10i1p1f2,historical
1854,286.7712199264852,267.57869246001485,259.1174110755089,274.95348947143304,268.21672633947986,r10i1p1f2,historical
1855,286.7871354735419,267.1277601937533,259.71313147947336,274.969506738154,268.3263134438785,r10i1p1f2,historical
1856,286.7312956223424,267.1373707617028,258.64702411904454,275.3784981423767,268.1675095691027,r10i1p1f2,historical
1857,286.58739444427255,267.36904086479984,258.2364434113747,274.9682405456324,267.8904585941477,r10i1p1f2,historical
1858,286.7343199478701,267.35867638448127,258.5238670987338,274.9536417885856,267.97601163599654,r10i1p1f2,historical
1859,286.590147812087,267.31595524207415,258.3802820650549,275.0165730047508,267.94912112327825,r10i1p1f2,historical
1860,286.48105898874803,266.92986897071535,258.39392245663925,274.78242633825846,267.7648659732798,r10i1p1f2,historical
1861,286.4401239065048,267.21936580683547,256.9473359914563,275.22997612657747,267.557004052846,r10i1p1f2,historical
1862,286.5890031023017,267.30719823193374,257.15376379670255,275.3876262348167,267.71618757221665,r10i1p1f2,historical
1863,286.60282431898844,267.3931563080597,257.51120433344596,275.1899891684134,267.75989606015617,r10i1p1f2,historical
1864,286.83893948416335,267.47438461395046,258.61135420709763,275.88852572751733,268.46223984702704,r10i1p1f2,historical
1865,286.8543242206065,267.619498020249,258.90670148207363,275.40505692099384,268.3653031563187,r10i1p1f2,historical
1866,286.85396302713343,268.0919570526431,259.0812830907514,275.3610016106628,268.5003796217932,r10i1p1f2,historical
1867,286.85364512793205,267.8728173725914,259.03578500890325,275.70968744684916,268.60157665373424,r10i1p1f2,historical
1868,286.89701271765824,267.9893760858935,258.9371717524175,275.89339268389523,268.67854127918724,r10i1p1f2,historical
1869,286.89290203827665,267.7829134391197,258.50344136065263,275.6697002545713,268.38938920388665,r10i1p1f2,historical
1870,286.93610721345703,267.8686019163001,258.6313351956357,275.3929654575351,268.32091924017135,r10i1p1f2,historical
1871,286.87713865106446,267.6829327087439,257.8160843456546,275.1325445480508,267.89365413604025,r10i1p1f2,historical
1872,286.8405034943909,267.6801811271468,258.9441913568852,275.470214456247,268.4204373151814,r10i1p1f2,historical
1873,286.830328558048,267.3959223021584,258.0099182622381,276.13132834529017,268.36082883704364,r10i1p1f2,historical
1874,286.81523743766974,267.712858917766,258.8349494761047,275.3761120292547,268.3476878454098,r10i1p1f2,historical
1875,286.8571115126218,268.12967813553695,257.7961274717761,275.05287033162386,267.94293315025584,r10i1p1f2,historical
1876,286.7917218204624,267.8524788625524,257.12335389970957,275.02726293439565,267.652357700094,r10i1p1f2,historical
