year,tas_global,tas_R19,tas_SLOWP,tas_FAST,tas_AGG,member,scenario
1850,287.32954894131905,270.98415847556294,259.0049503262014,276.0149434651082,269.37911812260836,r1i1p1f1,historical
1851,287.45956004686786,270.9692938205337,260.34644149982927,275.9533072531837,269.78839235217185,r1i1p1f1,historical
1852,287.33189038650255,271.1549220047618,259.4933454505461,276.1771197966127,269.6503034018423,r1i1p1f1,historical
1853,287.39694461784046,270.8639547013272,259.0762994107999,276.16379752878674,269.446620106734,r1i1p1f1,historical
1854,287.41714103371015,270.89335597273265,258.9732618054434,276.46288979485456,269.5575271098232,r1i1p1f1,historical
1855,287.3879746028922,270.7751729626939,259.34433221421256,276.3554794429996,269.6051524643477,r1i1p1f1,historical
1856,287.36543729262576,270.69372927787913,259.18650514520147,276.35044440996126,269.534027645297,r1i1p1f1,historical
1857,287.4608330676427,270.9602020145535,258.34541979145376,275.8267624483855,269.0701136239513,r1i1p1f1,historical
1858,287.40789790536917,270.9303225815166,258.7615429469211,276.0023860535295,269.2821095711719,r1i1p1f1,historical
1859,287.3639952280514,270.7452968731732,258.6409511470184,276.41611693523333,269.39586548619565,r1i1p1f1,historical
1860,287.2122840719759,270.7439615782814,258.51294952877635,275.71326070740673,269.02764841986055,r1i1p1f1,historical
1861,287.238131705117,271.02677517552246,258.2735039816026,275.5388388097447,268.92681048235164,r1i1p1f1,historical
1862,287.16754479104446,270.9204726903534,258.94385224822935,276.30496186504644,269.480271464014,r1i1p1f1,historical
1863,287.0030143857192,270.61301378655355,257.6686324053435,275.41700084319115,268.5855776831627,r1i1p1f1,historical
1864,286.9461664330156,270.4315312309418,257.98782667988587,275.54061592691465,268.71011674917787,r1i1p1f1,historical
1865,287.00692638129067,270.36466622934137,257.0708699229593,275.65156375221267,268.44627287128327,r1i1p1f1,historical
1866,287.19756875990953,270.8409423300377,257.63009897862014,275.7758980731609,268.78664350711284,r1i1p1f1,historical
1867,286.9733211418405,270.87870955554456,257.04066050549335,275.2890706813509,268.37503423449425,r1i1p1f1,historical
1868,287.04684422642583,271.08142537537196,256.522157116742,275.43602959022417,268.31484019060423,r1i1p1f1,historical
1869,287.1552866252667,271.0951565905172,256.56178949291655,275.5795816150656,268.3972739945269,r1i1p1f1,historical
1870,287.1352656819725,271.37548819959545,256.1182214716938,275.29630697480223,268.1783595180694,r1i1p1f1,historical
1871,287.01798112346154,271.43938092882803,255.80704233545703,275.8424857739294,268.34257226463524,r1i1p1f1,historical
1872,287.26559629825044,271.5816382601511,257.0537610264804,275.95875803883865,268.8358099977311,r1i1p1f1,historical
1873,287.07285513499744,271.201633112122,256.8625170951483,275.82573982218184,268.6323602390546,r1i1p1f1,historical
