year,tas_global,tas_R19,tas_SLOWP,tas_FAST,tas_AGG,member,scenario
1850,286.48654498650995,269.79289351811855,255.4556974363672,275.0419993546536,267.5140212875724,r1i1p1f1,historical
1851,286.34951567879875,269.7712570919992,255.76480442059656,274.2753133326241,267.25566885312935,r1i1p1f1,historical
1852,286.34117401682903,269.77210955920197,254.66281897042967,274.1388020699131,266.8303408076794,r1i1p1f1,historical
1853,286.4444950560422,269.5625984250679,255.65201729604127,274.7583145091766,267.3991980349368,r1i1p1f1,historical
1854,286.55188020626326,269.6773571468516,255.35977876452097,274.78218614284987,267.33804174698605,r1i1p1f1,historical
1855,286.65072965221356,269.99011353101565,256.4326947623581,274.1361158981727,267.4561140422401,r1i1p1f1,historical
1856,286.64436147948766,270.01270832565586,255.8656226480628,275.00832666464225,267.67879900781134,r1i1p1f1,historical
1857,286.5561523408761,269.62900465599665,255.5055595174564,275.1758501432126,267.5584323277939,r1i1p1f1,historical
1858,286.61592044071523,270.0747727775902,256.30931257036434,275.135108478926,267.8963058391613,r1i1p1f1,historical
1859,286.522803359245,270.22764234547924,255.82945273439384,274.94095118408035,267.6803093971387,r1i1p1f1,historical
1860,286.6560426600903,270.2651246925373,256.41434279377296,275.848960485448,268.30132455122254,r1i1p1f1,historical
1861,286.740888108674,270.57365659748973,256.04066911765153,274.58385531800513,267.65603230456725,r1i1p1f1,historical
1862,286.78089109688403,270.3331451739612,257.9320697171833,275.201554626953,268.51415780945763,r1i1p1f1,historical
1863,286.6214115989934,270.111890018901,256.5481792511083,275.1260633006198,267.9783341878581,r1i1p1f1,historical
1864,286.4471180604917,269.8750074811382,255.97452821881944,275.08704080118014,267.7224926886853,r1i1p1f1,historical
1865,286.5985124453344,269.968482548593,256.8184151029731,274.9728269997091,267.96633111918806,r1i1p1f1,historical
1866,286.780942106213,269.7132269218706,257.95950466156125,275.6563056569166,268.605270581305,r1i1p1f1,historical
1867,286.7753389147752,269.91702211954805,257.2363030718674,275.2665693010605,268.2291889006059,r1i1p1f1,historical
1868,286.59927029404383,269.5026770215746,257.26410307087525,275.5296166819893,268.27423428507166,r1i1p1f1,historical
1869,286.7702803794997,269.74040523589423,257.79197555412264,275.31979734101964,268.39983332360765,r1i1p1f1,historical
1870,286.6257094997369,269.6654822592428,258.3989321782844,275.4182898544963,268.62943986432447,r1i1p1f1,historical
1871,286.79566186141557,269.4878448316136,259.1738406567186,275.7171946964795,268.9858371409656,r1i1p1f1,historical
1872,286.8781200862633,270.1140837682829,257.7848561207333,275.13234065391464,268.3881862831571,r1i1p1f1,historical
