year,member,tas_global,tas_ais,scenario
1850,r10i1p1f1,286.92205902461507,238.28510173488675,historical
1851,r10i1p1f1,286.966206708151,237.96343272048213,historical
1852,r10i1p1f1,287.04952756767096,237.53585155010347,historical
1853,r10i1p1f1,287.02629857615597,237.17623321035006,historical
1854,r10i1p1f1,286.93242900781826,237.95913448886418,historical
1855,r10i1p1f1,287.0469863494782,238.06730876718655,historical
1856,r10i1p1f1,287.09703624971814,237.67471160179394,historical
1857,r10i1p1f1,287.00846009317723,238.0246536453343,historical
1858,r10i1p1f1,287.1902945987984,237.2352257648811,historical
1859,r10i1p1f1,287.2592239457465,238.24019904407697,historical
1860,r10i1p1f1,287.04783076025467,237.7080534016491,historical
1861,r10i1p1f1,287.1828313626461,237.96662092300502,historical
1862,r10i1p1f1,286.81969935913247,237.55390575520565,historical
1863,r10i1p1f1,286.859808321107,238.34914507763523,historical
1864,r10i1p1f1,287.06984021224395,237.9630349006811,historical
1865,r10i1p1f1,287.2070181180493,237.9130916728793,historical
1866,r10i1p1f1,287.050642003075,237.98928992013703,historical
1867,r10i1p1f1,287.0228341212647,238.00538401418942,historical
1868,r10i1p1f1,287.2324475993064,238.48069173941659,historical
1869,r10i1p1f1,287.192141791561,238.70239148612464,historical
1870,r10i1p1f1,287.2059883402973,237.54011401727277,historical
1871,r10i1p1f1,287.3207480496416,238.99427534321575,historical
1872,r10i1p1f1,287.0495538353561,237.4368464039024,historical
1873,r10i1p1f1,287.29345309422536,238.60391256888875,historical
1874,r10i1p1f1,287.29734942930395,238.02131378494832,historical
1875,r10i1p1f1,287.1916431676175,238.48359124477352,historical
1876,r10i1p1f1,287.31489810680574,236.96733783187025,historical
1877,r10i1p1f1,287.3343767358347,238.19250489048832,historical
1878,r10i1p1f1,287.07849430925995,238.33864742829863,historical
1879,r10i1p1f1,287.2211416583021,237.81894029409597,historical
1880,r10i1p1f1,287.42384665599786,239.18283160274405,historical
1881,r10i1p1f1,287.429309560331,237.78737154287384,historical
1882,r10i1p1f1,287.45265863449936,237.88868951068434,historical
1883,r10i1p1f1,287.4662285107461,238.2304474749208,historical
1884,r10i1p1f1,287.08755838211243,237.87669234192393,historical
1885,r10i1p1f1,286.9855025350656,237.47970088631646,historical
1886,r10i1p1f1,287.0109263681811,238.40360651366993,historical
1887,r10i1p1f1,287.0810227903384,238.33242129731985,historical
1888,r10i1p1f1,287.06376379810405,237.55082891319927,historical
1889,r10i1p1f1,287.3054602141183,237.90933865263048,historical
1890,r10i1p1f1,287.13210740816083,238.61798664387797,historical
1891,r10i1p1f1,287.3288328103346,239.21347751211016,historical
1892,r10i1p1f1,287.4127057692841,237.80810535537555,historical
1893,r10i1p1f1,287.52473814818825,238.48641850959058,historical
1894,r10i1p1f1,287.3126371485825,238.15665598131233,historical
1895,r10i1p1f1,287.14604404510527,237.33468158955543,historical
1896,r10i1p1f1,287.2556436161273,238.33342783208386,historical
1897,r10i1p1f1,287.24509620905843,238.21063012769343,historical
1898,r10i1p1f1,287.0871617636113,237.56133456025515,historical
1899,r10i1p1f1,287.1968740867004,238.55250548154518,historical
1900,r10i1p1f1,287.29224881828316,237.94880458943538,historical
1901,r10i1p1f1,287.2859663504426,239.17193584112258,historical
1902,r10i1p1f1,287.0809769081281,238.46668000016717,historical
1903,r10i1p1f1,286.91973965090057,238.0505934603753,historical
1904,r10i1p1f1,287.10708116342994,237.78472103402453,historical
1905,r10i1p1f1,287.08612986456905,237.29232888226696,historical
1906,r10i1p1f1,287.1615768343403,237.9698766824854,historical
1907,r10i1p1f1,287.1817783014167,238.0475151270865,historical
1908,r10i1p1f1,287.2891328875526,238.55886378346224,historical
1909,r10i1p1f1,287.2077080867176,238.06467920626093,historical
1910,r10i1p1f1,287.21553352347644,238.07184758879907,historical
1911,r10i1p1f1,287.2347670450249,238.07671103359982,historical
1912,r10i1p1f1,287.2040062198342,238.2129798576274,historical
1913,r10i1p1f1,287.1313896980204,238.05789719776115,historical
1914,r10i1p1f1,287.2811620271467,238.56409375833044,historical
1915,r10i1p1f1,287.0752300150312,238.35372246948464,historical
1916,r10i1p1f1,287.18861072441615,238.1897991149864,historical
1917,r10i1p1f1,287.23805751749364,238.87697136254604,historical
1918,r10i1p1f1,287.46929595776993,238.90327528771383,historical
1919,r10i1p1f1,287.336883424931,237.88620143586837,historical
1920,r10i1p1f1,287.42381745086067,238.3991840303319,historical
1921,r10i1p1f1,287.3557723300569,238.55256238525007,historical
1922,r10i1p1f1,287.3928389550419,239.1763743457929,historical
1923,r10i1p1f1,287.3325357488204,238.41554234889523,historical
1924,r10i1p1f1,287.33275494244833,238.35601898843035,historical
1925,r10i1p1f1,287.4386038601082,238.54081965516676,historical
1926,r10i1p1f1,287.5644910270101,238.88254542312566,historical
1927,r10i1p1f1,287.2715659655871,238.1803877885817,historical
