year,member,tas_global,tas_ais,scenario
1850,r1i1p2f1,286.6197069412744,237.55152563912668,historical
1851,r1i1p2f1,286.547605331634,237.34211137635543,historical
1852,r1i1p2f1,286.59101485907814,236.66992671364855,historical
1853,r1i1p2f1,286.55535954054164,237.57719667400883,historical
1854,r1i1p2f1,286.5338070994328,236.60977233535442,historical
1855,r1i1p2f1,286.6809613883902,236.38542780665907,historical
1856,r1i1p2f1,286.7233151049098,237.53188492879366,historical
1857,r1i1p2f1,286.57910760412494,237.85044645509083,historical
1858,r1i1p2f1,286.4946201904891,237.0294287536833,historical
1859,r1i1p2f1,286.6656600569084,237.68264563083028,historical
1860,r1i1p2f1,286.55634926202447,236.72141640337657,historical
1861,r1i1p2f1,286.4420519811558,237.87195575148272,historical
1862,r1i1p2f1,286.4396028697495,236.80410311083284,historical
1863,r1i1p2f1,286.59324247719445,236.5900868366403,historical
1864,r1i1p2f1,286.5474843818861,237.32216929960765,historical
1865,r1i1p2f1,286.48980031587996,237.29474701371956,historical
1866,r1i1p2f1,286.49635444433363,237.48714179992862,historical
1867,r1i1p2f1,286.5019154022631,236.16299565477522,historical
1868,r1i1p2f1,286.5759232140785,237.00629462752863,historical
1869,r1i1p2f1,286.56722477166613,236.1552281105715,historical
1870,r1i1p2f1,286.5356897343275,237.9173016524669,historical
1871,r1i1p2f1,286.5533806559053,236.7341469107903,historical
1872,r1i1p2f1,286.48252905299,236.74807653547415,historical
1873,r1i1p2f1,286.3723186516385,237.24154321177886,historical
1874,r1i1p2f1,286.4410997186759,237.15117314717048,historical
1875,r1i1p2f1,286.4501062981138,237.33252271409026,historical
1876,r1i1p2f1,286.44877459491585,237.03897562304772,historical
1877,r1i1p2f1,286.5123945205586,236.631799847339,historical
1878,r1i1p2f1,286.59489920789156,237.5657297045738,historical
1879,r1i1p2f1,286.66932045053574,237.40159154608298,historical
1880,r1i1p2f1,286.54023313889206,236.73197132146407,historical
1881,r1i1p2f1,286.44481189731596,237.50921595474415,historical
1882,r1i1p2f1,286.4271193138672,237.4843909061898,historical
1883,r1i1p2f1,286.4360556794943,238.11985782597517,historical
1884,r1i1p2f1,286.07831316897597,237.37806263457702,historical
1885,r1i1p2f1,286.1360398228973,236.52499444399413,historical
1886,r1i1p2f1,286.2778441987779,237.77609315925372,historical
1887,r1i1p2f1,286.2968625199684,237.14988293987864,historical
1888,r1i1p2f1,286.3082830437146,236.6669865872377,historical
1889,r1i1p2f1,286.4558252870676,236.20261769904025,historical
1890,r1i1p2f1,286.5354199555862,237.22353584192723,historical
1891,r1i1p2f1,286.57354710969537,237.00229423744756,historical
1892,r1i1p2f1,286.5516697042749,237.21722179952206,historical
1893,r1i1p2f1,286.62224120378227,237.27057845960925,historical
1894,r1i1p2f1,286.5605257783717,237.678292807685,historical
1895,r1i1p2f1,286.5495926454899,236.51551253772277,historical
1896,r1i1p2f1,286.5184136967727,236.301606546406,historical
