year,member,tas_global,tas_ais,scenario
1850,r1i1p1f1,286.48654498650995,243.09775802156443,historical
1851,r1i1p1f1,286.34951567879875,242.99134241922633,historical
1852,r1i1p1f1,286.34117401682903,242.94065318080422,historical
1853,r1i1p1f1,286.4444950560422,242.91879776402922,historical
1854,r1i1p1f1,286.55188020626326,242.96790948925593,historical
1855,r1i1p1f1,286.65072965221356,243.7626402894966,historical
1856,r1i1p1f1,286.64436147948766,243.66685145967472,historical
1857,r1i1p1f1,286.5561523408761,242.49945412740794,historical
1858,r1i1p1f1,286.61592044071523,243.69753751168477,historical
1859,r1i1p1f1,286.522803359245,243.5098012131942,historical
1860,r1i1p1f1,286.6560426600903,243.46975732014627,historical
1861,r1i1p1f1,286.740888108674,243.96927429880932,historical
1862,r1i1p1f1,286.78089109688403,243.67528395338024,historical
1863,r1i1p1f1,286.6214115989934,243.09804617322715,historical
1864,r1i1p1f1,286.4471180604917,242.96408962305617,historical
1865,r1i1p1f1,286.5985124453344,244.0442689711463,historical
1866,r1i1p1f1,286.780942106213,243.2871069393539,historical
1867,r1i1p1f1,286.7753389147752,243.82904385636363,historical
1868,r1i1p1f1,286.59927029404383,242.9545271876369,historical
1869,r1i1p1f1,286.7702803794997,243.2158217648514,historical
1870,r1i1p1f1,286.6257094997369,243.4181438206647,historical
1871,r1i1p1f1,286.79566186141557,243.00178975403256,historical
1872,r1i1p1f1,286.8781200862633,243.98375469460578,historical
1873,r1i1p1f1,286.7624532491476,243.96885126794686,historical
1874,r1i1p1f1,286.6971696841904,242.99745205925524,historical
1875,r1i1p1f1,286.5994342544104,242.86916539457604,historical
1876,r1i1p1f1,286.66804133408766,242.5908852721253,historical
1877,r1i1p1f1,286.84243581783784,243.16158619930454,historical
1878,r1i1p1f1,287.0223127689174,244.5484915715973,historical
1879,r1i1p1f1,286.82842617768574,243.52285758968708,historical
1880,r1i1p1f1,286.88463494622795,243.79108915917283,historical
1881,r1i1p1f1,286.8645779159989,244.34594963233167,historical
1882,r1i1p1f1,286.749647976614,244.10626797360362,historical
1883,r1i1p1f1,286.75027955890306,243.34019806585007,historical
1884,r1i1p1f1,286.3612553423905,243.54609379433649,historical
1885,r1i1p1f1,286.39453802030647,243.66649622598018,historical
1886,r1i1p1f1,286.5162758076888,243.65134029214985,historical
1887,r1i1p1f1,286.6488954954244,243.06945155777834,historical
1888,r1i1p1f1,286.7320971415435,243.64982078301665,historical
1889,r1i1p1f1,286.64943011013213,242.94181283338781,historical
1890,r1i1p1f1,286.73978978047353,243.23492276682012,historical
1891,r1i1p1f1,286.72160929955277,243.49725705744908,historical
1892,r1i1p1f1,286.8335178202639,243.82878628672387,historical
1893,r1i1p1f1,286.977783699941,244.17580791447958,historical
1894,r1i1p1f1,286.7783999152328,243.40468214430786,historical
1895,r1i1p1f1,286.81457654672863,243.4015464352892,historical
1896,r1i1p1f1,286.82964085960214,243.62670470556014,historical
1897,r1i1p1f1,286.6558648515642,243.24657053568285,historical
1898,r1i1p1f1,286.92052183326945,243.2551913511553,historical
1899,r1i1p1f1,286.7903238740188,243.55201390952982,historical
1900,r1i1p1f1,286.9334021866094,243.56110004336088,historical
1901,r1i1p1f1,286.7352247560852,242.97732851296084,historical
1902,r1i1p1f1,286.80838858074765,243.66476945275974,historical
1903,r1i1p1f1,286.69999417435577,243.50231235759375,historical
1904,r1i1p1f1,286.76241553018394,243.9489849754925,historical
1905,r1i1p1f1,286.8158064055339,244.229165206182,historical
1906,r1i1p1f1,286.5973000156873,243.17307639109674,historical
1907,r1i1p1f1,286.72009113854233,244.173015372578,historical
1908,r1i1p1f1,286.83037467211113,242.93723666589386,historical
1909,r1i1p1f1,286.7569398280567,243.66674247691125,historical
1910,r1i1p1f1,286.87979527224616,243.42085551934554,historical
