year,member,tas_global,tas_ais,scenario
1850,r1i1p1f1,287.32793507218634,238.16263141364732,historical
1851,r1i1p1f1,287.1193724854107,238.17668487328214,historical
1852,r1i1p1f1,287.20319194213664,237.81460437998527,historical
1853,r1i1p1f1,287.20061205031493,238.2561064886654,historical
1854,r1i1p1f1,287.14673235223904,238.24894904660803,historical
1855,r1i1p1f1,287.12055184407274,238.5646229274449,historical
1856,r1i1p1f1,287.0993615496629,237.9965885996323,historical
1857,r1i1p1f1,287.0738429553238,237.62756609157464,historical
1858,r1i1p1f1,287.1297061805108,238.27181136753237,historical
1859,r1i1p1f1,287.3091662782216,237.92532012575762,historical
1860,r1i1p1f1,287.18022362508935,237.8259484410308,historical
1861,r1i1p1f1,287.1692949032928,237.58078062556845,historical
1862,r1i1p1f1,287.20241890993225,238.02757854272272,historical
1863,r1i1p1f1,287.0964571620984,237.3894611132093,historical
1864,r1i1p1f1,287.21706370439205,237.83542018397884,historical
1865,r1i1p1f1,287.31997501926713,238.35083245003895,historical
1866,r1i1p1f1,287.33144462335895,238.25376173288842,historical
1867,r1i1p1f1,287.29096991777425,238.20640627261488,historical
1868,r1i1p1f1,287.3340274722002,237.79246596777776,historical
1869,r1i1p1f1,287.20616211454967,237.9997863507762,historical
1870,r1i1p1f1,287.26171312392034,237.7665892506559,historical
1871,r1i1p1f1,287.2484344793712,237.99829153387404,historical
1872,r1i1p1f1,287.24537388086924,237.80633255626807,historical
1873,r1i1p1f1,287.14789926849403,238.0399464278412,historical
1874,r1i1p1f1,286.99775595424614,238.3288987394932,historical
1875,r1i1p1f1,287.1309611716669,237.69222755534878,historical
1876,r1i1p1f1,287.11470010443657,237.86723254929345,historical
1877,r1i1p1f1,287.1531229294628,237.9948521284123,historical
1878,r1i1p1f1,287.1158882619126,238.42766809870943,historical
1879,r1i1p1f1,287.14666982757007,237.89803803268546,historical
1880,r1i1p1f1,287.21247858241685,237.87612555703762,historical
1881,r1i1p1f1,287.08624388060275,237.76562116090815,historical
1882,r1i1p1f1,287.1726001577068,237.76547805790213,historical
1883,r1i1p1f1,287.15639387488204,238.08252479845854,historical
1884,r1i1p1f1,286.9603699161505,237.72859377191304,historical
1885,r1i1p1f1,287.03902435261193,237.77393907968363,historical
1886,r1i1p1f1,287.09838353913455,237.9951505937675,historical
1887,r1i1p1f1,287.13982036712576,237.73443486291444,historical
1888,r1i1p1f1,287.09663017341364,237.37857925145158,historical
1889,r1i1p1f1,287.1288790143658,238.33979062128586,historical
1890,r1i1p1f1,287.13820486184903,237.99564009668566,historical
1891,r1i1p1f1,287.19129504380624,238.60000671141773,historical
1892,r1i1p1f1,287.20852230047376,237.7048698543158,historical
1893,r1i1p1f1,287.2229843704657,238.3978024109283,historical
1894,r1i1p1f1,287.2815176658868,238.63019625491447,historical
1895,r1i1p1f1,287.1161649005231,238.1091128185322,historical
1896,r1i1p1f1,287.0457987853343,238.11447885227884,historical
1897,r1i1p1f1,287.2252628515508,238.0461711100667,historical
1898,r1i1p1f1,287.2102137181998,238.844103795435,historical
1899,r1i1p1f1,287.27046240740214,238.39749387267628,historical
1900,r1i1p1f1,287.17623735150397,238.54017088651221,historical
1901,r1i1p1f1,287.09249071504195,238.02919997930366,historical
1902,r1i1p1f1,287.19505199248,237.80622942651215,historical
1903,r1i1p1f1,287.0598888894498,238.71803535633939,historical
1904,r1i1p1f1,286.9973402558624,238.28267709818883,historical
1905,r1i1p1f1,287.0061986013355,238.56536167550985,historical
1906,r1i1p1f1,286.96553390544574,237.92626223994418,historical
1907,r1i1p1f1,287.11060995603646,238.05348212822338,historical
1908,r1i1p1f1,287.1922284282803,238.21466452350663,historical
1909,r1i1p1f1,287.17173159880684,238.64142841675317,historical
1910,r1i1p1f1,287.1022303421908,238.21618443201945,historical
