year,member,tas_global,tas_ais,scenario
1850,r1i1p1f1,279.41705648230067,237.23440272168432,historical
1851,r1i1p1f1,279.2674509919047,237.46914063182496,historical
1852,r1i1p1f1,279.244072503817,238.0241146165593,historical
1853,r1i1p1f1,279.47116271449926,238.225001149088,historical
1854,r1i1p1f1,279.470155575237,237.7356612038569,historical
1855,r1i1p1f1,279.4055449892765,238.02827333263718,historical
1856,r1i1p1f1,279.289542391792,237.64956227100117,historical
1857,r1i1p1f1,279.3087855503194,237.3105895666002,historical
1858,r1i1p1f1,279.33324237508356,236.8920776239139,historical
1859,r1i1p1f1,279.47466912741925,237.4323448185593,historical
1860,r1i1p1f1,279.4250168487741,238.16649880239737,historical
1861,r1i1p1f1,279.37261640889085,237.4296586136487,historical
1862,r1i1p1f1,279.26475893872833,236.7893871608553,historical
1863,r1i1p1f1,279.3576446673171,237.02400590316236,historical
1864,r1i1p1f1,279.4780060594765,237.23996060313132,historical
1865,r1i1p1f1,279.49285628219604,237.0025618099943,historical
1866,r1i1p1f1,279.44039847482276,237.28554867684338,historical
1867,r1i1p1f1,279.5445553722529,237.31855951089324,historical
1868,r1i1p1f1,279.41778744844294,237.5820627656089,historical
1869,r1i1p1f1,279.3759070085106,237.0577978943345,historical
1870,r1i1p1f1,279.4995027904145,237.92456604344036,historical
1871,r1i1p1f1,279.44000344154307,238.03829611263262,historical
1872,r1i1p1f1,279.3938759853937,237.70756647132058,historical
1873,r1i1p1f1,279.2483061464033,236.9510222563731,historical
1874,r1i1p1f1,279.09432124403816,236.9058202907986,historical
1875,r1i1p1f1,279.1547969556392,237.42568570211316,historical
1876,r1i1p1f1,279.1504022484792,237.73834316846478,historical
1877,r1i1p1f1,279.1840678722016,237.51493320500592,historical
1878,r1i1p1f1,279.214166887746,237.20158957436533,historical
1879,r1i1p1f1,279.21628826646486,237.25747711778183,historical
1880,r1i1p1f1,279.1687048604485,237.4887903968055,historical
1881,r1i1p1f1,279.31525750615,237.5386184376381,historical
1882,r1i1p1f1,279.315871312741,237.3153424919542,historical
1883,r1i1p1f1,279.27744141609145,236.65920882433343,historical
1884,r1i1p1f1,279.04990349615656,237.37760173260136,historical
1885,r1i1p1f1,279.18735450259226,237.41709572451543,historical
1886,r1i1p1f1,279.3085479217739,236.97842316491798,historical
1887,r1i1p1f1,279.14781312139576,236.9800719290579,historical
1888,r1i1p1f1,279.2483624571184,237.87062376422494,historical
1889,r1i1p1f1,279.38888512938087,238.0600785736302,historical
1890,r1i1p1f1,279.28921068032435,238.66686628863758,historical
1891,r1i1p1f1,279.2198731196247,237.83361020593097,historical
1892,r1i1p1f1,279.23210109833303,238.37230638668296,historical
1893,r1i1p1f1,279.2847656242582,236.7579046017724,historical
1894,r1i1p1f1,279.1563566888551,236.78158154395115,historical
1895,r1i1p1f1,279.33779105027094,236.9568377167192,historical
1896,r1i1p1f1,279.2158256300632,236.4990412620613,historical
1897,r1i1p1f1,279.34295795870946,237.071672687634,historical
1898,r1i1p1f1,279.30012597402936,236.58349526806074,historical
1899,r1i1p1f1,279.27686492687627,236.73937014322067,historical
1900,r1i1p1f1,279.32276947291945,237.6256346577919,historical
1901,r1i1p1f1,279.40278188009853,238.04048956296293,historical
1902,r1i1p1f1,279.3523893484969,237.75088306784622,historical
1903,r1i1p1f1,279.0539936468163,238.26400113744046,historical
1904,r1i1p1f1,279.18902322638434,237.50668772607906,historical
1905,r1i1p1f1,279.3282107486501,237.60712186240585,historical
1906,r1i1p1f1,279.32498274599374,236.84714652573146,historical
1907,r1i1p1f1,279.2881390239562,237.54307702238606,historical
1908,r1i1p1f1,279.2752173166522,237.13151061124898,historical
1909,r1i1p1f1,279.2053029359393,237.25359767101807,historical
1910,r1i1p1f1,279.2902964786325,236.88837806464753,historical
1911,r1i1p1f1,279.2932947122406,237.02412414195163,historical
1912,r1i1p1f1,279.28830240937657,237.81443965986617,historical
1913,r1i1p1f1,279.3421622392511,237.66247544529185,historical
1914,r1i1p1f1,279.4005790055535,239.28310527818732,historical
1915,r1i1p1f1,279.4679896647902,238.17535651862065,historical
1916,r1i1p1f1,279.2540156819628,237.49773740851023,historical
1917,r1i1p1f1,279.18327813369575,237.1437819511287,historical
1918,r1i1p1f1,279.2211487768427,237.21285651826057,historical
1919,r1i1p1f1,279.2680380126393,238.06264241929273,historical
