year,tas_global,tas_ais,scenario,member
1,287.39693524365464,237.83054006620978,1pctCO2,r1i1p1f1
2,287.2307142362965,237.44152408404923,1pctCO2,r1i1p1f1
3,287.1220794051758,237.9799693532884,1pctCO2,r1i1p1f1
4,287.12659358531596,237.98831522725192,1pctCO2,r1i1p1f1
5,287.3063179999232,238.04764903760682,1pctCO2,r1i1p1f1
6,287.2006769163309,238.66369215906838,1pctCO2,r1i1p1f1
7,287.22066355820067,238.84546360885554,1pctCO2,r1i1p1f1
8,287.05673352503584,237.46690516640106,1pctCO2,r1i1p1f1
9,287.35250856956196,237.87049575257717,1pctCO2,r1i1p1f1
10,287.3853349666876,237.8256208176737,1pctCO2,r1i1p1f1
11,287.2991446341281,238.02066291468304,1pctCO2,r1i1p1f1
12,287.28952275054473,238.31900899443593,1pctCO2,r1i1p1f1
13,287.32151115469856,238.2714290174669,1pctCO2,r1i1p1f1
14,287.3066769633817,237.67172621270606,1pctCO2,r1i1p1f1
15,287.4133508650743,237.7818987218816,1pctCO2,r1i1p1f1
16,287.5118400306406,238.09029851212037,1pctCO2,r1i1p1f1
17,287.42775825087097,238.05807462378783,1pctCO2,r1i1p1f1
18,287.3839844837939,238.1794192703929,1pctCO2,r1i1p1f1
19,287.69617603449916,238.66996714147845,1pctCO2,r1i1p1f1
20,287.53818688276436,238.36123344958907,1pctCO2,r1i1p1f1
21,287.41801314383326,238.5518839346474,1pctCO2,r1i1p1f1
22,287.6357473024651,238.19035778891072,1pctCO2,r1i1p1f1
23,287.5611907248733,238.43313554439356,1pctCO2,r1i1p1f1
24,287.5590603603767,238.20782584805283,1pctCO2,r1i1p1f1
25,287.54373817696717,238.57761561633174,1pctCO2,r1i1p1f1
26,287.65269510160834,238.88341259323204,1pctCO2,r1i1p1f1
27,287.6472435785276,238.39160674840198,1pctCO2,r1i1p1f1
28,287.57947085312236,238.33033475131506,1pctCO2,r1i1p1f1
29,287.5767876403578,238.47121838498776,1pctCO2,r1i1p1f1
30,287.66834030876333,238.5225995620093,1pctCO2,r1i1p1f1
31,287.64395927795914,238.43510634555545,1pctCO2,r1i1p1f1
32,287.8062587690942,238.4297247059423,1pctCO2,r1i1p1f1
33,287.754109574442,238.31153411838403,1pctCO2,r1i1p1f1
34,287.79354932850805,238.93742944677038,1pctCO2,r1i1p1f1
35,287.8400495629985,238.81155995036008,1pctCO2,r1i1p1f1
36,287.79525105660673,238.65681300189075,1pctCO2,r1i1p1f1
37,287.8870865909941,239.1115802118588,1pctCO2,r1i1p1f1
38,287.80379727604014,238.5099135084655,1pctCO2,r1i1p1f1
39,287.9065137180362,238.74243308504882,1pctCO2,r1i1p1f1
40,287.8953583178759,238.5224105130638,1pctCO2,r1i1p1f1
41,287.7735167212272,239.25724416718876,1pctCO2,r1i1p1f1
42,287.94945642470833,238.95447173290367,1pctCO2,r1i1p1f1
43,287.82648780948483,238.53998918039133,1pctCO2,r1i1p1f1
44,287.95789589490926,239.05225306494154,1pctCO2,r1i1p1f1
45,288.0037083715736,238.34100360748698,1pctCO2,r1i1p1f1
46,287.916670256891,238.0358932935332,1pctCO2,r1i1p1f1
47,288.06743800709535,239.1069524401074,1pctCO2,r1i1p1f1
48,288.15512334571946,239.05158681843054,1pctCO2,r1i1p1f1
49,288.11399819334815,238.70236324006476,1pctCO2,r1i1p1f1
50,288.2068606095613,238.44827020377497,1pctCO2,r1i1p1f1
51,288.14809795693157,238.73622236961458,1pctCO2,r1i1p1f1
52,288.1279646944256,239.7186473229034,1pctCO2,r1i1p1f1
53,288.27724485142545,239.2070287440924,1pctCO2,r1i1p1f1
54,288.41164390683485,239.049034626993,1pctCO2,r1i1p1f1
55,288.3785447651443,239.47023415593617,1pctCO2,r1i1p1f1
56,288.304516427273,238.7064312157753,1pctCO2,r1i1p1f1
57,288.30222223409345,239.6421557766143,1pctCO2,r1i1p1f1
58,288.4067011476884,239.20462283055164,1pctCO2,r1i1p1f1
59,288.35684976985164,238.35658738394523,1pctCO2,r1i1p1f1
60,288.35772596744636,238.93747061141966,1pctCO2,r1i1p1f1
61,288.49803000148984,239.53926594930934,1pctCO2,r1i1p1f1
62,288.4173119414976,239.28433276142442,1pctCO2,r1i1p1f1
63,288.34164342093925,238.51621706447594,1pctCO2,r1i1p1f1
