year,tas_global,tas_ais,scenario,member
1,286.44043271594467,236.912204890938,1pctCO2,r1i1p1f1
2,286.45294182155067,237.458216682009,1pctCO2,r1i1p1f1
3,286.5831646630825,238.34470223543275,1pctCO2,r1i1p1f1
4,286.59656658158747,238.25291488269625,1pctCO2,r1i1p1f1
5,286.60592283447187,237.7937523747659,1pctCO2,r1i1p1f1
6,286.50380267275386,238.08267876014366,1pctCO2,r1i1p1f1
7,286.41322900167035,237.38903447593205,1pctCO2,r1i1p1f1
8,286.534956267902,237.85448625617943,1pctCO2,r1i1p1f1
9,286.5415968014096,237.6209278114603,1pctCO2,r1i1p1f1
10,286.5488806456849,238.12872259295202,1pctCO2,r1i1p1f1
11,286.52833711882096,238.40011151084113,1pctCO2,r1i1p1f1
12,286.6578081302262,238.4026406262942,1pctCO2,r1i1p1f1
13,286.4929018867211,237.64337606473356,1pctCO2,r1i1p1f1
14,286.5059868324934,238.01460120014616,1pctCO2,r1i1p1f1
15,286.54440298487293,238.60859551918904,1pctCO2,r1i1p1f1
16,286.6296761573265,237.35081519731003,1pctCO2,r1i1p1f1
17,286.7233678944529,238.1305049503309,1pctCO2,r1i1p1f1
18,286.6952732536408,237.88056491406667,1pctCO2,r1i1p1f1
19,286.7644201318073,238.29799897535239,1pctCO2,r1i1p1f1
20,286.88693632065855,237.88094101735555,1pctCO2,r1i1p1f1
21,286.76834455792755,237.96065560028381,1pctCO2,r1i1p1f1
22,286.8602489179017,238.7992753746133,1pctCO2,r1i1p1f1
23,286.83654349887314,238.1421154774306,1pctCO2,r1i1p1f1
24,286.79248122303323,237.8278592346588,1pctCO2,r1i1p1f1
25,286.8773606139754,238.14559997186745,1pctCO2,r1i1p1f1
26,286.8085960883571,237.6000081797402,1pctCO2,r1i1p1f1
27,286.8366522859238,238.20903066143836,1pctCO2,r1i1p1f1
28,286.7980785009467,238.11964655883506,1pctCO2,r1i1p1f1
29,286.94442982730726,238.8541616742482,1pctCO2,r1i1p1f1
30,286.94861033374184,238.34149977994934,1pctCO2,r1i1p1f1
31,286.9905532626324,238.56102754340776,1pctCO2,r1i1p1f1
32,286.9433847588541,238.17506699218342,1pctCO2,r1i1p1f1
33,287.00406735813374,238.07794239646958,1pctCO2,r1i1p1f1
34,287.10313127662647,238.46854740100468,1pctCO2,r1i1p1f1
35,287.15587797807154,238.39760006594017,1pctCO2,r1i1p1f1
36,287.0987934283483,238.60377863484084,1pctCO2,r1i1p1f1
37,287.1371999712578,238.64437282321626,1pctCO2,r1i1p1f1
38,287.14487264018936,239.11563805499028,1pctCO2,r1i1p1f1
