year,member,tas_global,tas_ais,scenario
2015,r10i1p1f1,288.4749514870938,240.38838960915461,ssp126
2016,r10i1p1f1,288.3613227447752,239.26021738385427,ssp126
2017,r10i1p1f1,288.37115703163744,239.1791823320166,ssp126
2018,r10i1p1f1,288.4454683207463,239.42984203947165,ssp126
2019,r10i1p1f1,288.39470581423234,238.84033877407057,ssp126
2020,r10i1p1f1,288.38837773998057,239.50780122900542,ssp126
2021,r10i1p1f1,288.3466831394286,240.47817677393573,ssp126
2022,r10i1p1f1,288.5824103770926,239.94083680805642,ssp126
2023,r10i1p1f1,288.63690111484004,239.74409177008278,ssp126
2024,r10i1p1f1,288.6081689098315,239.8617157547202,ssp126
2025,r10i1p1f1,288.7585011863082,240.17024282148273,ssp126
2026,r10i1p1f1,288.83407291034507,240.30579986100918,ssp126
2027,r10i1p1f1,288.7417255742759,240.3520966442124,ssp126
2028,r10i1p1f1,288.84464312850093,239.7978710267905,ssp126
2029,r10i1p1f1,288.7334898831377,240.49676305191255,ssp126
2030,r10i1p1f1,288.74007470054823,240.61400195929303,ssp126
2031,r10i1p1f1,288.8501616384969,240.70079455573705,ssp126
2032,r10i1p1f1,288.7228103460565,240.14858048003836,ssp126
2033,r10i1p1f1,288.86363886092664,239.9529157651312,ssp126
2034,r10i1p1f1,289.02547779216206,239.87146541012746,ssp126
2035,r10i1p1f1,288.9791561896662,240.29262172001907,ssp126
2036,r10i1p1f1,289.15886937030433,240.59332283537282,ssp126
2037,r10i1p1f1,289.12555697359534,240.32182128534458,ssp126
2038,r10i1p1f1,289.00197639119386,239.98073888287954,ssp126
2039,r10i1p1f1,289.1728915368872,240.67432547940822,ssp126
2040,r10i1p1f1,289.3729813130495,240.76126417204617,ssp126
2041,r10i1p1f1,289.28982465525365,240.44639480670818,ssp126
2042,r10i1p1f1,288.9779600873825,240.46417307270087,ssp126
2043,r10i1p1f1,289.01382227587004,241.02884528279677,ssp126
2044,r10i1p1f1,289.12537605444163,240.52130349693698,ssp126
2045,r10i1p1f1,289.17639688771595,240.96923029649832,ssp126
2046,r10i1p1f1,289.2391082388927,241.1320523962453,ssp126
2047,r10i1p1f1,289.319213997781,241.27835632723446,ssp126
2048,r10i1p1f1,289.1147594680581,240.73210753043674,ssp126
2049,r10i1p1f1,289.28741999829185,240.5076944835338,ssp126
2050,r10i1p1f1,289.401529791556,240.6141193505825,ssp126
2051,r10i1p1f1,289.3261748049855,241.374106464677,ssp126
2052,r10i1p1f1,289.25680481867914,240.26011267252085,ssp126
2053,r10i1p1f1,289.23439095307674,241.04837445143536,ssp126
2054,r10i1p1f1,289.2207251637646,241.03728293981328,ssp126
2055,r10i1p1f1,288.93458818707666,240.72659589756023,ssp126
2056,r10i1p1f1,289.1413780226288,240.49004171239937,ssp126
2057,r10i1p1f1,289.31332185355194,240.6674085537588,ssp126
2058,r10i1p1f1,289.1014573864365,240.35058058055444,ssp126
2059,r10i1p1f1,289.2580537318956,241.17037146588447,ssp126
2060,r10i1p1f1,289.3737088090091,241.31269663014749,ssp126
2061,r10i1p1f1,289.2893409437061,240.80567528528317,ssp126
2062,r10i1p1f1,289.4805999909619,241.18615292943116,ssp126
2063,r10i1p1f1,289.40710049996443,240.8210197839068,ssp126
2064,r10i1p1f1,289.5091566992446,240.93114660278533,ssp126
2065,r10i1p1f1,289.45691300339007,240.35664754455848,ssp126
2066,r10i1p1f1,289.46688125776484,241.1306752708005,ssp126
2067,r10i1p1f1,289.3650136725521,241.1278941827006,ssp126
2068,r10i1p1f1,289.45355802431766,241.5350431545956,ssp126
2069,r10i1p1f1,289.54484098950627,240.86702410504898,ssp126
2070,r10i1p1f1,289.5342811665408,241.2581279926135,ssp126
2071,r10i1p1f1,289.2637751449481,241.17530238289942,ssp126
2072,r10i1p1f1,289.458806730471,240.68093726136414,ssp126
2073,r10i1p1f1,289.5716638762795,241.51193015892665,ssp126
2074,r10i1p1f1,289.3840395063866,240.80491930074282,ssp126
2075,r10i1p1f1,289.6194678586095,242.10327557729323,ssp126
2076,r10i1p1f1,289.5013419488897,240.8486974567817,ssp126
2077,r10i1p1f1,289.27187239143865,241.17172845036464,ssp126
2078,r10i1p1f1,289.47021075854553,241.8814795022712,ssp126
2079,r10i1p1f1,289.524650509889,240.89967575804505,ssp126
2080,r10i1p1f1,289.48079694066195,240.85919779884145,ssp126
2081,r10i1p1f1,289.5191065276116,241.17732586243176,ssp126
2082,r10i1p1f1,289.5854277766647,241.43805851738625,ssp126
2083,r10i1p1f1,289.52018083762965,241.6424371015637,ssp126
2084,r10i1p1f1,289.58253409658107,241.20730409971657,ssp126
2085,r10i1p1f1,289.5529198363621,241.4771282213806,ssp126
2086,r10i1p1f1,289.5104012686415,241.00897689988662,ssp126
2087,r10i1p1f1,289.4322495015667,241.11388335655437,ssp126
2088,r10i1p1f1,289.46357731678467,241.32871884171888,ssp126
2089,r10i1p1f1,289.3743123461687,241.38394309406564,ssp126
2090,r10i1p1f1,289.55045421442867,241.52294106861942,ssp126
2091,r10i1p1f1,289.501959007272,241.60769990317377,ssp126
2092,r10i1p1f1,289.4120713320952,241.665425155547,ssp126
2093,r10i1p1f1,289.43176640477054,241.40922800716058,ssp126
2094,r10i1p1f1,289.5110060914233,241.6414036388458,ssp126
2095,r10i1p1f1,289.5285661604938,241.41707696445917,ssp126
2096,r10i1p1f1,289.5106737698319,240.9052505775676,ssp126
2097,r10i1p1f1,289.619408531296,241.41932125513435,ssp126
2098,r10i1p1f1,289.44575971751505,240.35751461966987,ssp126
2099,r10i1p1f1,289.4752224478135,240.54354050247596,ssp126
2100,r10i1p1f1,289.58766895039514,242.02450464390077,ssp126
2015,r10i1p1f1,288.54607394366417,239.77924128546226,ssp370
2016,r10i1p1f1,288.3231968377723,240.35180185602266,ssp370
2017,r10i1p1f1,288.2752090115652,240.15665848991046,ssp370
2018,r10i1p1f1,288.4156944647586,239.61339108254896,ssp370
2019,r10i1p1f1,288.3986525321705,239.91968543807587,ssp370
2020,r10i1p1f1,288.2383377064213,240.44512058727213,ssp370
2021,r10i1p1f1,288.28426964081234,240.17580487351654,ssp370
