year,member,tas_global,tas_ais,scenario
2015,r1i1p1f1,288.1436044807036,239.18945935964257,ssp126
2016,r1i1p1f1,288.19472254678055,239.21442538089417,ssp126
2017,r1i1p1f1,288.3107706529476,239.8726561517076,ssp126
2018,r1i1p1f1,288.35346722206526,239.74535348844998,ssp126
2019,r1i1p1f1,288.39822817200064,239.84732826248577,ssp126
2020,r1i1p1f1,288.2782630291148,239.73816161244687,ssp126
2021,r1i1p1f1,287.9997020777635,239.86976717333337,ssp126
2022,r1i1p1f1,288.0168609809657,239.627175589965,ssp126
2023,r1i1p1f1,288.2010344042984,239.2117488927835,ssp126
2024,r1i1p1f1,288.4704787835528,239.90069592228056,ssp126
2025,r1i1p1f1,288.53590809193764,240.1382017860984,ssp126
2026,r1i1p1f1,288.3938696882247,240.54409394603206,ssp126
2027,r1i1p1f1,288.45707247621806,241.22240658897283,ssp126
2028,r1i1p1f1,288.6940001651705,240.14953276625224,ssp126
2029,r1i1p1f1,288.72704291088286,239.81152605399106,ssp126
2030,r1i1p1f1,288.33883509541846,239.9651431411337,ssp126
2031,r1i1p1f1,288.4426936442547,240.01121685462476,ssp126
2032,r1i1p1f1,288.4416075998806,240.00955511046345,ssp126
2033,r1i1p1f1,288.7683781257383,240.21690129865672,ssp126
2034,r1i1p1f1,288.96167005983943,240.81524208962048,ssp126
2035,r1i1p1f1,288.7414286386464,240.25441320813687,ssp126
2036,r1i1p1f1,288.92924007719745,240.4451136942907,ssp126
2037,r1i1p1f1,289.1374326302849,240.23370052873125,ssp126
2038,r1i1p1f1,289.15608388660263,240.63565171943017,ssp126
2039,r1i1p1f1,288.79437048784933,240.17520225892054,ssp126
2040,r1i1p1f1,288.84082156030155,241.18520734099144,ssp126
2041,r1i1p1f1,289.0459024536846,241.0374201823706,ssp126
2042,r1i1p1f1,289.05605387156663,240.32212578476145,ssp126
2043,r1i1p1f1,288.9082604924597,240.36069061800805,ssp126
2044,r1i1p1f1,288.95023532770045,240.70393189602945,ssp126
2045,r1i1p1f1,289.1637946228623,240.69459827269742,ssp126
2046,r1i1p1f1,289.40747977684754,240.79898001572556,ssp126
2047,r1i1p1f1,289.3628192092417,240.51514720108293,ssp126
2048,r1i1p1f1,289.2607075504806,240.6334250841832,ssp126
2049,r1i1p1f1,289.57924361194887,240.53240247331237,ssp126
2050,r1i1p1f1,289.46459636304667,240.57464269102937,ssp126
2051,r1i1p1f1,289.44011382611086,240.4060017837801,ssp126
2052,r1i1p1f1,289.4233859666682,240.26677770389867,ssp126
2053,r1i1p1f1,289.7393220684132,241.62051915207252,ssp126
2054,r1i1p1f1,289.5801047133262,240.9394476604846,ssp126
2055,r1i1p1f1,289.3551341501551,241.19829161232406,ssp126
2056,r1i1p1f1,289.22248253371697,240.76361075452846,ssp126
2057,r1i1p1f1,289.32757659723467,240.691584814084,ssp126
2058,r1i1p1f1,289.6187224068702,240.69829848698984,ssp126
2059,r1i1p1f1,289.7927223158295,240.77355048756274,ssp126
2060,r1i1p1f1,289.49210881204414,240.4756153018276,ssp126
2061,r1i1p1f1,289.3670301978432,240.61304372629527,ssp126
2062,r1i1p1f1,289.590951437887,241.84563026518424,ssp126
2063,r1i1p1f1,289.85386166177295,241.3976012182494,ssp126
2064,r1i1p1f1,289.8810126798737,241.3915653743231,ssp126
2065,r1i1p1f1,289.8407267874179,240.97212459777936,ssp126
2066,r1i1p1f1,289.9253451076417,240.7285682086201,ssp126
2067,r1i1p1f1,289.8939592403148,240.4408881259214,ssp126
2068,r1i1p1f1,290.0228962920934,241.50742737441342,ssp126
2069,r1i1p1f1,289.8297210819339,240.41553481350994,ssp126
2070,r1i1p1f1,289.6432456821145,241.18780132968106,ssp126
2071,r1i1p1f1,289.77491691545487,240.8560074209132,ssp126
2072,r1i1p1f1,289.9625197979286,240.54315138262547,ssp126
2073,r1i1p1f1,290.0184064915686,241.16434942430487,ssp126
2074,r1i1p1f1,289.7572234406364,241.00622892217385,ssp126
2075,r1i1p1f1,289.711843852927,240.22600898096363,ssp126
2076,r1i1p1f1,289.972443537827,241.23841122654048,ssp126
2077,r1i1p1f1,289.96897104466984,241.16105865119854,ssp126
2078,r1i1p1f1,290.01399535669964,241.06489274481066,ssp126
2079,r1i1p1f1,289.9065904989841,241.388842771741,ssp126
2080,r1i1p1f1,289.7747460977971,240.91821945073795,ssp126
2081,r1i1p1f1,289.7771974932225,241.57910450685492,ssp126
2082,r1i1p1f1,289.90512081739087,240.46821998817956,ssp126
2083,r1i1p1f1,289.94336218359007,241.18311169367158,ssp126
2084,r1i1p1f1,289.73828434618144,241.37467239944152,ssp126
2085,r1i1p1f1,289.6975634012557,240.42486513344616,ssp126
2086,r1i1p1f1,290.02965997874577,240.58036498251113,ssp126
2087,r1i1p1f1,290.2047933498432,240.9526642779912,ssp126
2088,r1i1p1f1,289.9871296094979,240.89260876734141,ssp126
2089,r1i1p1f1,289.9489286573294,240.98121746897615,ssp126
2090,r1i1p1f1,290.13345586996064,240.51839842294254,ssp126
2091,r1i1p1f1,290.18254821884364,241.25592350207106,ssp126
2092,r1i1p1f1,290.03344567912814,241.14073205658588,ssp126
2093,r1i1p1f1,289.93149779279435,241.4420182150749,ssp126
2094,r1i1p1f1,290.0186008873131,240.21426388753324,ssp126
2095,r1i1p1f1,290.00794635381226,240.5247851850378,ssp126
2096,r1i1p1f1,290.0965176259953,241.1526964070147,ssp126
2097,r1i1p1f1,290.2145632005195,240.54546172281496,ssp126
2098,r1i1p1f1,290.05738114185084,241.2147433613588,ssp126
2099,r1i1p1f1,289.991733547082,241.47916941883477,ssp126
2100,r1i1p1f1,290.0350146241118,240.70236077267387,ssp126
2015,r1i1p1f1,288.0700055543349,239.27285250622498,ssp370
2016,r1i1p1f1,288.2715833452228,239.26681758826618,ssp370
2017,r1i1p1f1,288.51160674912956,239.9343893234443,ssp370
2018,r1i1p1f1,288.13980340293426,240.1855248296568,ssp370
2019,r1i1p1f1,287.9244729876924,239.5551602984826,ssp370
2020,r1i1p1f1,288.0425679850041,240.16818686514767,ssp370
2021,r1i1p1f1,288.30784322984965,240.0531839888756,ssp370
2022,r1i1p1f1,288.6087713200803,240.37245859764326,ssp370
2023,r1i1p1f1,288.48700981941727,240.11818571234127,ssp370
2024,r1i1p1f1,288.1575205849433,239.77034633380794,ssp370
2025,r1i1p1f1,288.0942754005594,240.06943443329914,ssp370
2026,r1i1p1f1,288.1551238234609,239.43636661803944,ssp370
2027,r1i1p1f1,288.512440025808,240.3810759721261,ssp370
2028,r1i1p1f1,288.62279304816747,240.15537809764166,ssp370
