year,member,tas_global,tas_ais,scenario
2015,r1i1p2f1,288.2841578956292,239.2401481717236,ssp126
2016,r1i1p2f1,288.2599676389432,239.271698107267,ssp126
2017,r1i1p2f1,288.35625633644844,240.45955691364685,ssp126
2018,r1i1p2f1,288.3413111546235,239.12884020134106,ssp126
2019,r1i1p2f1,288.48744128673525,239.30441683001158,ssp126
2020,r1i1p2f1,288.5064137944631,239.39762936568448,ssp126
2021,r1i1p2f1,288.4068301117761,238.690631897432,ssp126
2022,r1i1p2f1,288.44449134050535,238.83408646787933,ssp126
2023,r1i1p2f1,288.7648008655362,239.54193476169863,ssp126
2024,r1i1p2f1,288.72943069127615,239.49749746364517,ssp126
2025,r1i1p2f1,288.7018806385647,239.56951933793766,ssp126
2026,r1i1p2f1,288.7957771141297,239.76902700771805,ssp126
2027,r1i1p2f1,288.97814097509445,238.8677985880262,ssp126
2028,r1i1p2f1,288.9181262912819,239.9597426657854,ssp126
2029,r1i1p2f1,288.9217267922227,240.3208798821271,ssp126
2030,r1i1p2f1,288.937811181757,240.02202820112078,ssp126
2031,r1i1p2f1,288.7070701200963,239.54659834106002,ssp126
2032,r1i1p2f1,288.80547439686904,239.07845817837037,ssp126
2033,r1i1p2f1,288.8682472082862,240.03104691278637,ssp126
2034,r1i1p2f1,288.8549279536972,239.77630198885728,ssp126
2035,r1i1p2f1,289.12325682344266,239.42986920698175,ssp126
2036,r1i1p2f1,288.932494006575,240.6315149841143,ssp126
2037,r1i1p2f1,288.93240692438764,240.02765957683874,ssp126
2038,r1i1p2f1,288.87920779142775,239.3865147388171,ssp126
2039,r1i1p2f1,288.9734625017982,239.74562267962813,ssp126
2040,r1i1p2f1,289.26927512873135,240.04403286742826,ssp126
2041,r1i1p2f1,289.37491824048243,239.26968421957906,ssp126
2042,r1i1p2f1,289.06838066596197,239.0134669436547,ssp126
2043,r1i1p2f1,289.08359766487104,240.10145136127215,ssp126
2044,r1i1p2f1,289.0755808329899,240.18555382431452,ssp126
2045,r1i1p2f1,289.0529234559997,240.34392496674707,ssp126
2046,r1i1p2f1,289.08545964069776,240.27128338325147,ssp126
2047,r1i1p2f1,289.336260765033,240.30472009942636,ssp126
2048,r1i1p2f1,289.22321311394114,239.02961264433114,ssp126
2049,r1i1p2f1,289.1233868393426,240.17744985560444,ssp126
2050,r1i1p2f1,289.2735544346553,240.32268956613672,ssp126
2051,r1i1p2f1,289.41789843692845,240.8710550097841,ssp126
2052,r1i1p2f1,289.53040319107265,240.0989390590782,ssp126
2053,r1i1p2f1,289.33759726715476,239.7780474216443,ssp126
2054,r1i1p2f1,289.23826214010234,239.6237444824428,ssp126
2055,r1i1p2f1,289.35873532664584,239.84819936832318,ssp126
2056,r1i1p2f1,289.53126210619905,239.7184289802402,ssp126
2057,r1i1p2f1,289.6469364323781,240.88391606369302,ssp126
2058,r1i1p2f1,289.2146859438103,239.73280318889923,ssp126
2059,r1i1p2f1,289.29515071616936,240.3499974483761,ssp126
2060,r1i1p2f1,289.3169677259317,240.35480175313126,ssp126
2061,r1i1p2f1,289.3954048522414,240.07654093327005,ssp126
2062,r1i1p2f1,289.43216606497907,240.05026682945217,ssp126
2063,r1i1p2f1,289.33935083709923,239.2650548770534,ssp126
2064,r1i1p2f1,289.49816667283835,240.7398202733346,ssp126
2065,r1i1p2f1,289.56609885857426,239.7709564750973,ssp126
2066,r1i1p2f1,289.4530066769108,241.0151913162814,ssp126
2067,r1i1p2f1,289.3480434681789,239.61825193220395,ssp126
2068,r1i1p2f1,289.3635766991848,240.26330187534083,ssp126
2069,r1i1p2f1,289.61900379701365,240.54228555892112,ssp126
2070,r1i1p2f1,289.41576005792285,239.76297142320664,ssp126
2071,r1i1p2f1,289.38123804225836,240.60424860990858,ssp126
2072,r1i1p2f1,289.29904644014397,240.33757230955732,ssp126
2073,r1i1p2f1,289.3389793793452,240.59874729407585,ssp126
2074,r1i1p2f1,289.30780125958466,240.4226122687701,ssp126
2075,r1i1p2f1,289.2343819978017,239.98950976320413,ssp126
2076,r1i1p2f1,289.4235183256872,240.82170306780648,ssp126
2077,r1i1p2f1,289.6015037724195,239.6509464304143,ssp126
2078,r1i1p2f1,289.5876465712102,240.30753316069843,ssp126
2079,r1i1p2f1,289.4226146644446,240.8871781400719,ssp126
2080,r1i1p2f1,289.3770681588958,240.89198135125082,ssp126
2081,r1i1p2f1,289.407544885369,240.29546426164114,ssp126
2082,r1i1p2f1,289.35399470170177,239.78572465386688,ssp126
2083,r1i1p2f1,289.3131654971877,239.8074227616658,ssp126
2084,r1i1p2f1,289.33255733980286,239.0780972703183,ssp126
2085,r1i1p2f1,289.5772263606363,239.50275703558222,ssp126
2086,r1i1p2f1,289.53838014798885,240.48367672577223,ssp126
2087,r1i1p2f1,289.4754149273683,241.22036306573708,ssp126
2088,r1i1p2f1,289.5163855497727,240.200729552479,ssp126
2089,r1i1p2f1,289.4027306868669,240.17359298384847,ssp126
2090,r1i1p2f1,289.40389640420364,239.29803934251026,ssp126
2091,r1i1p2f1,289.3708588139834,239.703338898353,ssp126
2092,r1i1p2f1,289.24368806712164,240.23285553475574,ssp126
2093,r1i1p2f1,289.18066388302975,240.3791305756302,ssp126
2094,r1i1p2f1,289.3772457604663,239.305590799672,ssp126
2095,r1i1p2f1,289.41836439475816,241.00661146455693,ssp126
2096,r1i1p2f1,289.3523995104801,239.96080591667516,ssp126
2097,r1i1p2f1,289.4484255458499,239.5139016176254,ssp126
2098,r1i1p2f1,289.3933212726285,241.36539658109513,ssp126
2099,r1i1p2f1,289.15486795795914,239.7959957462189,ssp126
2100,r1i1p2f1,289.2940655913048,239.95218075645192,ssp126
2015,r1i1p2f1,288.32147837363505,239.67421121191893,ssp370
2016,r1i1p2f1,288.4706779398773,239.13076350517488,ssp370
2017,r1i1p2f1,288.39243366231426,239.05054215013607,ssp370
2018,r1i1p2f1,288.41329446809635,238.8331161295738,ssp370
2019,r1i1p2f1,288.60548217980596,239.13844952274394,ssp370
2020,r1i1p2f1,288.7476171681805,239.30420620195775,ssp370
2021,r1i1p2f1,288.92711532798546,239.4819982708342,ssp370
2022,r1i1p2f1,288.8080562052854,240.15158092233258,ssp370
2023,r1i1p2f1,288.54019738003956,239.28172762023735,ssp370
2024,r1i1p2f1,288.59613968192343,239.38143880103232,ssp370
2025,r1i1p2f1,288.71983569703673,239.52565784930786,ssp370
2026,r1i1p2f1,289.0200769778259,239.5479509607557,ssp370
2027,r1i1p2f1,289.1373288744516,239.32437373455645,ssp370
2028,r1i1p2f1,288.8739628493545,239.98083527885728,ssp370
2029,r1i1p2f1,288.99258188266873,239.4864682811928,ssp370
