year,member,tas_global,tas_ais,scenario
2015,r1i1p1f1,288.0528154992018,239.7386174677506,ssp126
2016,r1i1p1f1,288.2035588922176,240.40960205393847,ssp126
2017,r1i1p1f1,288.23431653102,239.00288450477262,ssp126
2018,r1i1p1f1,288.21065944066885,239.32721268220786,ssp126
2019,r1i1p1f1,288.3175302643936,239.85383760480417,ssp126
2020,r1i1p1f1,288.2936101413204,239.36220008797585,ssp126
2021,r1i1p1f1,288.2208390584771,240.26001889553737,ssp126
2022,r1i1p1f1,288.4570372453138,240.7203088510181,ssp126
2023,r1i1p1f1,288.38148045373424,240.0843465566959,ssp126
2024,r1i1p1f1,288.5219579908235,239.80934060407424,ssp126
2025,r1i1p1f1,288.5467670352287,239.52077848639536,ssp126
2026,r1i1p1f1,288.34263272046474,239.86203366850904,ssp126
2027,r1i1p1f1,288.3910598150527,239.31170586306504,ssp126
2028,r1i1p1f1,288.50668589025315,239.19676648900548,ssp126
2029,r1i1p1f1,288.58807370643694,239.70728263125838,ssp126
2030,r1i1p1f1,288.38670602963884,239.53041770040863,ssp126
2031,r1i1p1f1,288.33323351668247,239.98072194725614,ssp126
2032,r1i1p1f1,288.5158699032538,240.23471612267838,ssp126
2033,r1i1p1f1,288.4741973333716,240.044542010358,ssp126
2034,r1i1p1f1,288.38611871713306,239.8246699981162,ssp126
2035,r1i1p1f1,288.539150101251,239.69039103112755,ssp126
2036,r1i1p1f1,288.4499183816352,239.9424749932864,ssp126
2037,r1i1p1f1,288.48800109022216,240.77103938291742,ssp126
2038,r1i1p1f1,288.5348849289619,239.63324591995436,ssp126
2039,r1i1p1f1,288.69612727205845,240.5563881138636,ssp126
2040,r1i1p1f1,288.7091310445129,240.2104363725146,ssp126
2041,r1i1p1f1,288.7073056907653,240.16031491004162,ssp126
2042,r1i1p1f1,288.59456448530244,239.73143222537405,ssp126
2043,r1i1p1f1,288.5666229283233,239.6905373636607,ssp126
2044,r1i1p1f1,288.6539780396581,240.60884876600446,ssp126
2045,r1i1p1f1,288.67580627661454,240.12200930474728,ssp126
2046,r1i1p1f1,288.71862269514816,239.88515973752794,ssp126
2047,r1i1p1f1,288.66702637815854,239.40907469070592,ssp126
2048,r1i1p1f1,288.5581588914089,240.92710575930195,ssp126
2049,r1i1p1f1,288.7137496111988,240.4678300611801,ssp126
2050,r1i1p1f1,288.6043526391077,240.32843864884217,ssp126
2051,r1i1p1f1,288.5563112412908,240.03542931583496,ssp126
2052,r1i1p1f1,288.6789335368713,240.03892272327653,ssp126
2053,r1i1p1f1,288.69997939164557,240.15053945993716,ssp126
2054,r1i1p1f1,288.7317415802907,240.2408209566857,ssp126
2055,r1i1p1f1,288.69378254802734,239.61506902542186,ssp126
2056,r1i1p1f1,288.71581915007357,239.83172023928904,ssp126
2057,r1i1p1f1,288.6211020099,239.9036519789726,ssp126
2058,r1i1p1f1,288.6253822269193,240.76756190371833,ssp126
2059,r1i1p1f1,288.6428526653096,240.5075293159795,ssp126
2060,r1i1p1f1,288.83356715932626,239.8651825074702,ssp126
2061,r1i1p1f1,288.5953719260141,240.5014588119614,ssp126
2062,r1i1p1f1,288.6409180981418,241.09250263450357,ssp126
2063,r1i1p1f1,288.63113538993485,240.93965722480885,ssp126
2064,r1i1p1f1,288.60538233244193,240.5215320963395,ssp126
2065,r1i1p1f1,288.6726345851677,239.7766910536173,ssp126
2066,r1i1p1f1,288.74616087455667,240.2071791763,ssp126
2067,r1i1p1f1,288.8681752251978,239.96953089944847,ssp126
2068,r1i1p1f1,288.89051059641315,240.68323213034125,ssp126
2069,r1i1p1f1,288.67777882445426,239.67788683373357,ssp126
2070,r1i1p1f1,288.77226747069346,240.57242356072211,ssp126
2071,r1i1p1f1,288.7939169898198,240.47952014414068,ssp126
2072,r1i1p1f1,288.79891497702334,240.6188606644706,ssp126
2073,r1i1p1f1,288.7624952534589,240.3209022651888,ssp126
2074,r1i1p1f1,288.6661811950197,239.88464164685735,ssp126
2075,r1i1p1f1,288.62509994708665,240.3407486208035,ssp126
2076,r1i1p1f1,288.609220109133,240.06057082972427,ssp126
2077,r1i1p1f1,288.64734681772086,239.811082134226,ssp126
2078,r1i1p1f1,288.7255552854143,240.0345221786049,ssp126
2079,r1i1p1f1,288.74305382109253,240.43452219474725,ssp126
2080,r1i1p1f1,288.5869505690735,239.8193521245593,ssp126
2081,r1i1p1f1,288.6231292215803,239.42877396383116,ssp126
2082,r1i1p1f1,288.73387514692877,240.45743321761748,ssp126
2083,r1i1p1f1,288.6754198970672,240.82501431479332,ssp126
2084,r1i1p1f1,288.63773201371254,239.99147668075506,ssp126
2085,r1i1p1f1,288.65947164526295,239.8839734003984,ssp126
2086,r1i1p1f1,288.7314940308288,239.76093360647883,ssp126
2087,r1i1p1f1,288.70021112190204,239.7676074686104,ssp126
2088,r1i1p1f1,288.68342475277313,239.65405215314237,ssp126
2089,r1i1p1f1,288.77593306419334,240.2834829315342,ssp126
