year,tas_sh,tas_nh,scenario
1850,285.93738714761736,287.90673090161,historical
1851,285.91698562540415,288.01542779089505,historical
1852,286.0134130476085,288.08564208773066,historical
1853,285.99038572941333,288.0622114228958,historical
1854,285.97156131645505,287.89329669917885,historical
1855,286.1691779251802,287.9247947737734,historical
1856,286.09769706335715,288.09637543607647,historical
1857,286.0157681386182,288.0011520477335,historical
1858,286.1279908389421,288.2525983586519,historical
1859,286.2507056737223,288.2677422177678,historical
1860,286.0270608475971,288.0686006729095,historical
1861,286.1333306540541,288.2323320712354,historical
1862,285.87819435295705,287.76120436530516,historical
1863,285.93480775163135,287.78480889057994,historical
1864,286.0938232852349,288.04585713925024,historical
1865,286.2660549024791,288.14798133361666,historical
1866,286.0294798397271,288.0718041664202,historical
1867,285.99860500198713,288.04706324053944,historical
1868,286.1350271400899,288.32986805852016,historical
1869,286.14828074147465,288.23600284164456,historical
1870,286.0495339437694,288.3624427368225,historical
1871,286.2279903528155,288.413505746465,historical
1872,285.9490076998142,288.1500999708953,historical
1873,286.1894601913881,288.3974459970598,historical
1874,286.2466694400287,288.3480294185763,historical
1875,286.05437998050274,288.3289063547293,historical
1876,286.06938076237753,288.5604154512311,historical
1877,286.25108139553134,288.41767207613543,historical
1878,286.0286480686017,288.1283405499155,historical
1879,286.08706109054737,288.35522222605385,historical
1880,286.3589471174353,288.4887461945576,historical
1881,286.19236779673594,288.66625132392323,historical
1882,286.1950247117032,288.71029255729263,historical
1883,286.3866083091041,288.5458487123853,historical
1884,285.92353949450387,288.25157726971815,historical
1885,285.88644738256903,288.08455768755965,historical
1886,285.9832569007396,288.03859583561984,historical
1887,286.0147686481463,288.1472769325278,historical
1888,286.0140099255856,288.11351767061984,historical
1889,286.14475507556864,288.46616535266526,historical
1890,286.08425169159017,288.17996312472883,historical
1891,286.1699481360891,288.4877174845773,historical
1892,286.1897143907104,288.63569714785496,historical
1893,286.3722165256117,288.67725977076213,historical
1894,286.149666041087,288.47560825607513,historical
1895,285.8992140989728,288.392873991235,historical
1896,286.08640854765554,288.4248786845965,historical
1897,286.06817677857697,288.42201563953716,historical
1898,285.97440823241345,288.19991529480626,historical
1899,286.074609155643,288.31913901775516,historical
1900,286.1213037726818,288.4631938638818,historical
1901,286.19112330143037,288.3808093994521,historical
1902,286.008676081611,288.15327773464253,historical
1903,285.9182210827788,287.9212582190196,historical
1904,286.05903049954003,288.1551318273174,historical
1905,286.01715052293736,288.15510920619795,historical
1906,286.11895446146974,288.2041992072082,historical
1907,286.1476123218302,288.21594428100053,historical
1908,286.2852035194371,288.2930622556653,historical
1909,286.09078510661493,288.32463106681746,historical
1910,286.0473759968342,288.38369105011583,historical
1911,286.1256270887279,288.34390700131917,historical
