year,tas_sh,tas_nh,scenario
1850,287.3320170215181,286.7448001121086,historical
1851,287.3559596618452,286.9240372242194,historical
1852,287.4735587525489,286.9019531596233,historical
1853,287.32232444240344,286.6976605823279,historical
1854,287.27035931759,286.6364435345872,historical
1855,287.3151342018691,286.711451536703,historical
1856,287.53510768337657,286.84266018693137,historical
1857,287.48348696605916,286.81933906497636,historical
1858,287.42819961905195,286.7213527522336,historical
1859,287.50186649111686,286.6440359892291,historical
1860,287.53973984837046,286.72714179634636,historical
1861,287.4090653018354,286.8424425943852,historical
1862,287.28636326194805,286.69770349317554,historical
1863,287.3971416416355,286.8348133710459,historical
1864,287.4062417868433,287.1145455514862,historical
1865,287.46687156643094,287.0643706508754,historical
1866,287.40460301698573,287.0911329768654,historical
1867,287.49234950826207,286.9323937517637,historical
1868,287.336961174237,287.0259812829566,historical
1869,287.34803209497414,286.9293735253238,historical
1870,287.4470874364443,287.11567689271925,historical
1871,287.611192112256,286.90273652814324,historical
1872,287.42762382814004,286.9781946237624,historical
1873,287.52176374802707,287.05165365289866,historical
1874,287.3632713578058,286.88516224986324,historical
1875,287.42598889956395,286.52572891172633,historical
1876,287.60536689123467,286.7589295896509,historical
1877,287.4851465213762,286.7711598018963,historical
1878,287.4525590983459,286.975741550443,historical
1879,287.41348711892783,286.7857844270607,historical
1880,287.50266049468206,286.92136325939293,historical
1881,287.6182816123938,287.0016705229456,historical
1882,287.37861590345705,286.96051059487684,historical
1883,287.542856340852,286.9663356958146,historical
1884,287.40310627624035,286.5158325617518,historical
1885,287.328519613126,286.55063493476814,historical
1886,287.34838620750554,286.6549417958035,historical
1887,287.26616063616535,286.66520104390014,historical
1888,287.3416957426112,286.415269974078,historical
1889,287.375614162497,286.79684223045274,historical
1890,287.44621711968836,286.633850515001,historical
1891,287.4531124681805,286.5512255525536,historical
1892,287.65566503124,286.83978664468447,historical
1893,287.45076239967034,286.57326387474615,historical
1894,287.4099887982818,286.6988480950064,historical
1895,287.5091238548069,286.84704166289464,historical
1896,287.32063252045,286.7192097454466,historical
1897,287.4288882706544,286.77285819571654,historical
1898,287.4851187551655,286.71793959401714,historical
1899,287.5915127909999,286.8967359577348,historical
1900,287.541682052978,286.71334730386144,historical
1901,287.4667653044926,286.58528110784937,historical
1902,287.4719293465687,286.43941283023065,historical
1903,287.5220087484018,286.18408488198736,historical
1904,287.43589115370327,286.16931321626106,historical
1905,287.4188147900821,286.3107539878465,historical
1906,287.4366152509329,286.44091601473866,historical
1907,287.5915548744894,286.553373317167,historical
1908,287.49908868194944,286.43664592865036,historical
1909,287.489586215344,286.3004393919083,historical
1910,287.5417926253771,286.5037447431428,historical
1911,287.54006253562846,286.4237496052539,historical
1912,287.5059526624893,286.21385677798065,historical
1913,287.61339961953576,286.3747351935649,historical
1914,287.6486278650743,286.3750261589069,historical
1915,287.53126077952123,286.37060225117256,historical
1916,287.5872353737586,286.3478582735262,historical
1917,287.6388927225451,286.5194798143041,historical
1918,287.8248479208603,286.6725805602753,historical
1919,287.7365780455469,286.7850228397776,historical
1920,287.78344131706183,286.4798344745403,historical
1921,287.6136518761486,286.70212377964896,historical
1922,287.5105415680764,286.4958916247295,historical
1923,287.43306750293516,286.7060374191558,historical
1924,287.6391101371424,286.67388088686795,historical
1925,287.67189569445964,286.4766661453589,historical
1926,287.5716326986894,286.66843220670467,historical
1927,287.6358740637567,286.48645913998155,historical
1928,287.6971936541443,286.4073092099229,historical
1929,287.67725573585375,286.4392371064004,historical
1930,287.5871223783294,286.13021905516104,historical
1931,287.42616801422844,286.14680672666566,historical
1932,287.41449882949894,286.2507778446887,historical
1933,287.46687210921164,286.12713958311167,historical
1934,287.54313031730055,285.974358255022,historical
1935,287.5755073863371,286.1629276729199,historical
1936,287.73273532843893,286.0448309532077,historical
1937,287.5870631536036,286.213867766112,historical
1938,287.6199082109556,286.027215262345,historical
1939,287.67627193446816,286.12895924631,historical
1940,287.50499181666095,286.09694811613326,historical
1941,287.481759931248,286.258582619708,historical
1942,287.5288253123894,286.0562593402787,historical
1943,287.5427515925868,285.99786229381266,historical
1944,287.5220107445108,286.1966126352489,historical
1945,287.5797000684978,286.0435604670477,historical
1946,287.5743828244921,285.9255627452239,historical
1947,287.4601307476114,285.82806413317707,historical
1948,287.63535449489984,286.18181322131096,historical
1949,287.5632126634989,286.107825088853,historical
1950,287.59960001712864,286.142569694335,historical
1951,287.6038760741206,286.1629538452892,historical
1952,287.6645168203891,286.09771928872715,historical
1953,287.9394644343823,286.5107244504598,historical
1954,287.896327824573,286.5177695493038,historical
1955,287.57860249298506,286.26295786467574,historical
1956,287.73217114287417,286.22428467747073,historical
1957,287.9447042170962,286.5354203426831,historical
1958,287.86506202720193,286.46081148165445,historical
1959,287.8190061281644,286.67612173253286,historical
1960,287.77556776645906,286.6428071756062,historical
1961,287.83156607392243,286.4609712220861,historical
1962,287.5885488754697,286.25700963163905,historical
1963,287.5199761534915,286.2435984529716,historical
1964,287.5408690832823,286.31752685381497,historical
1965,287.7346867224309,286.0483471341695,historical
1966,287.7990190014901,286.38373590445906,historical
1967,287.5393591694669,286.17498821805725,historical
1968,287.4759388573132,286.0700085461763,historical
1969,287.60318950058604,286.045252833188,historical
1970,287.6275152436413,286.2472847185754,historical
1971,287.60660915562505,286.11823027549417,historical
1972,287.5191522073323,286.0299855008736,historical
1973,287.6515594421999,286.3388834797205,historical
1974,287.92771383849197,286.4321700270883,historical
1975,287.8502658052798,286.4364829206303,historical
1976,287.82214022209126,286.37853283503415,historical
1977,288.00392486811705,286.5268200871243,historical
1978,287.7810641009884,286.53091138375305,historical
1979,287.7776669069541,286.4197228450572,historical
1980,287.77385899891595,286.4307590827155,historical
1981,287.80504311159245,286.6685620705594,historical
1982,287.6968138447358,286.57472112030064,historical
1983,287.8045948962363,286.0573507914216,historical
1984,287.72999193707307,286.29239383662247,historical
1985,287.85895996240816,286.69825688039674,historical
1986,287.9303846078192,286.55288832703724,historical
1987,288.04069907696754,286.8178143764648,historical
1988,287.8614485215654,286.6708250045121,historical
1989,287.9853417823262,286.92161264718357,historical
1990,288.04555142496974,287.0507119973612,historical
1991,287.985973444645,287.03893124329767,historical
1992,287.55123848236644,286.5597603718759,historical
1993,287.7638572651913,286.7919046784721,historical
1994,287.7017676989896,286.8974506664985,historical
1995,287.7738299426874,287.08521844460574,historical
1996,287.82996597420805,287.06158665169306,historical
1997,287.87760033388366,287.37157020474774,historical
1998,288.01477653752215,287.4508733439864,historical
1999,287.97156562981576,287.4109076138556,historical
2000,288.06631548467476,287.34114317492316,historical
