year,ohc,scenario
1,-5.647326776426133,1pctCO2
2,-5.647016998186503,1pctCO2
3,-5.64651530948493,1pctCO2
4,-5.645772099168333,1pctCO2
5,-5.644936994003923,1pctCO2
6,-5.644036057877214,1pctCO2
7,-5.643341345865219,1pctCO2
8,-5.642165089959968,1pctCO2
9,-5.640760008929527,1pctCO2
10,-5.639950835868104,1pctCO2
11,-5.6390682335108355,1pctCO2
12,-5.637492417635983,1pctCO2
13,-5.636254570582142,1pctCO2
14,-5.634736453017143,1pctCO2
15,-5.632939233154547,1pctCO2
16,-5.631363240333453,1pctCO2
17,-5.630779163151571,1pctCO2
18,-5.629560488870699,1pctCO2
19,-5.6274136650106295,1pctCO2
20,-5.626738635807821,1pctCO2
21,-5.625893980836215,1pctCO2
22,-5.623779686183146,1pctCO2
23,-5.622308977314683,1pctCO2
24,-5.6201499364147445,1pctCO2
25,-5.618358065984021,1pctCO2
26,-5.616419469493709,1pctCO2
27,-5.614293089329871,1pctCO2
28,-5.612349367794925,1pctCO2
29,-5.610542793796487,1pctCO2
30,-5.608316970198122,1pctCO2
31,-5.606422423013573,1pctCO2
32,-5.604563381247324,1pctCO2
33,-5.602514628841452,1pctCO2
34,-5.599876226137762,1pctCO2
35,-5.59702917005195,1pctCO2
36,-5.595058117174123,1pctCO2
37,-5.5926554431654,1pctCO2
38,-5.589825191236522,1pctCO2
39,-5.5870359712611135,1pctCO2
40,-5.584584296239566,1pctCO2
41,-5.5824042842812736,1pctCO2
42,-5.579643347491957,1pctCO2
43,-5.576759400914927,1pctCO2
44,-5.573664179240188,1pctCO2
45,-5.57102539898598,1pctCO2
46,-5.5692513126216525,1pctCO2
47,-5.566825844551045,1pctCO2
48,-5.563925061160571,1pctCO2
49,-5.561363076510495,1pctCO2
50,-5.558384504710158,1pctCO2
51,-5.555382536535394,1pctCO2
52,-5.552069281225335,1pctCO2
53,-5.549621157450218,1pctCO2
54,-5.547127847802149,1pctCO2
55,-5.543411320024501,1pctCO2
56,-5.541008413654485,1pctCO2
57,-5.538109542898936,1pctCO2
58,-5.535060959646146,1pctCO2
59,-5.532195799989127,1pctCO2
60,-5.528924317555885,1pctCO2
61,-5.526360543133461,1pctCO2
62,-5.523948474779521,1pctCO2
63,-5.521433741668535,1pctCO2
64,-5.518060514371689,1pctCO2
65,-5.514574706717713,1pctCO2
66,-5.512183692357311,1pctCO2
67,-5.5090427411709975,1pctCO2
68,-5.505711461419929,1pctCO2
69,-5.502122289840489,1pctCO2
70,-5.498605963301985,1pctCO2
71,-5.494693653179648,1pctCO2
72,-5.490540102083389,1pctCO2
73,-5.487642793786036,1pctCO2
74,-5.484294240768642,1pctCO2
75,-5.481680090961561,1pctCO2
76,-5.4783316011298195,1pctCO2
77,-5.474386017943082,1pctCO2
78,-5.470879928379842,1pctCO2
79,-5.467839981037411,1pctCO2
80,-5.463964203612445,1pctCO2
81,-5.460265548915079,1pctCO2
82,-5.455008079581065,1pctCO2
83,-5.4519798729589075,1pctCO2
84,-5.44758107694861,1pctCO2
85,-5.443462501160086,1pctCO2
86,-5.4394344813203155,1pctCO2
87,-5.435567306039112,1pctCO2
88,-5.432935155581122,1pctCO2
89,-5.428478034555096,1pctCO2
90,-5.423976335133592,1pctCO2
91,-5.419466146354467,1pctCO2
92,-5.41546614398695,1pctCO2
93,-5.412334724321758,1pctCO2
94,-5.408752174900003,1pctCO2
95,-5.404439765898908,1pctCO2
96,-5.400257171996652,1pctCO2
97,-5.396495951038517,1pctCO2
98,-5.39209147806037,1pctCO2
99,-5.387524375498621,1pctCO2
100,-5.38329455231967,1pctCO2
101,-5.379078147835927,1pctCO2
102,-5.374456517990321,1pctCO2
103,-5.371451291881624,1pctCO2
104,-5.3672389095776705,1pctCO2
105,-5.362938084014474,1pctCO2
106,-5.358457705092757,1pctCO2
107,-5.354476156130515,1pctCO2
108,-5.350142232032671,1pctCO2
109,-5.3459890535433,1pctCO2
110,-5.341020951205737,1pctCO2
111,-5.336127617320076,1pctCO2
112,-5.33158579003321,1pctCO2
113,-5.3261095451982055,1pctCO2
114,-5.321426837085045,1pctCO2
115,-5.317662206503863,1pctCO2
116,-5.312387436383391,1pctCO2
117,-5.308177158930531,1pctCO2
118,-5.304212908548852,1pctCO2
119,-5.299828684395128,1pctCO2
120,-5.294360902864639,1pctCO2
121,-5.289232277543578,1pctCO2
122,-5.284050810826968,1pctCO2
123,-5.279843546653706,1pctCO2
124,-5.2744426596654606,1pctCO2
125,-5.269834186606211,1pctCO2
