year,ohc,scenario
1,-5.849979702413899,1pctCO2
2,-5.849608779280153,1pctCO2
3,-5.849985779308882,1pctCO2
4,-5.84995394667534,1pctCO2
5,-5.848811089502622,1pctCO2
6,-5.847593668062393,1pctCO2
7,-5.846849957450491,1pctCO2
8,-5.846158955195179,1pctCO2
9,-5.845546138449891,1pctCO2
10,-5.844891583429624,1pctCO2
11,-5.844125803702516,1pctCO2
12,-5.843594805835044,1pctCO2
13,-5.842763438290112,1pctCO2
14,-5.842868337239304,1pctCO2
15,-5.8419799452922385,1pctCO2
16,-5.8409953509291554,1pctCO2
17,-5.840296750525906,1pctCO2
18,-5.83926994114706,1pctCO2
19,-5.838417829711581,1pctCO2
20,-5.837934198771437,1pctCO2
21,-5.836199487398749,1pctCO2
22,-5.8346406087483444,1pctCO2
23,-5.833877809712144,1pctCO2
24,-5.832646522783254,1pctCO2
25,-5.83181809856467,1pctCO2
26,-5.831009539512738,1pctCO2
27,-5.828953139768924,1pctCO2
28,-5.826585117758137,1pctCO2
29,-5.826516095252886,1pctCO2
30,-5.8247773797544715,1pctCO2
31,-5.822716615239128,1pctCO2
32,-5.821590034275839,1pctCO2
33,-5.819985670586155,1pctCO2
34,-5.817667041412771,1pctCO2
35,-5.816087617248785,1pctCO2
36,-5.814897717515083,1pctCO2
37,-5.813014162403263,1pctCO2
38,-5.810829132550383,1pctCO2
39,-5.808322279831099,1pctCO2
40,-5.806210647217215,1pctCO2
41,-5.8044063293770565,1pctCO2
42,-5.802435159030026,1pctCO2
43,-5.800426629071679,1pctCO2
44,-5.79817052214113,1pctCO2
45,-5.796181896941302,1pctCO2
46,-5.7939896021803765,1pctCO2
47,-5.79231015450316,1pctCO2
48,-5.789556858637561,1pctCO2
49,-5.787289976093867,1pctCO2
50,-5.786391396718482,1pctCO2
51,-5.783795145113174,1pctCO2
52,-5.781295076135087,1pctCO2
53,-5.778746759075008,1pctCO2
54,-5.777409496046093,1pctCO2
55,-5.77468268858279,1pctCO2
56,-5.771399256301253,1pctCO2
57,-5.7694111314538405,1pctCO2
58,-5.766641781428089,1pctCO2
59,-5.763987248061134,1pctCO2
60,-5.762069370322031,1pctCO2
61,-5.760813233623766,1pctCO2
62,-5.759102033588984,1pctCO2
63,-5.755227324741134,1pctCO2
64,-5.751707056123917,1pctCO2
65,-5.750014401788581,1pctCO2
66,-5.748172257044544,1pctCO2
67,-5.74528774407392,1pctCO2
68,-5.742150395537076,1pctCO2
69,-5.7380244111361565,1pctCO2
70,-5.735380940894558,1pctCO2
71,-5.7333707522824815,1pctCO2
72,-5.7295157785285005,1pctCO2
73,-5.726271931112629,1pctCO2
74,-5.724475041480914,1pctCO2
75,-5.721807238834152,1pctCO2
76,-5.7184256266241205,1pctCO2
77,-5.715346203111622,1pctCO2
78,-5.712412392603208,1pctCO2
79,-5.709557822493256,1pctCO2
80,-5.706592922994536,1pctCO2
