year,gmst_C
1750,-0.03995894465308588
1751,-0.005815018149388057
1752,0.011842627566465567
1753,0.02012031978064365
1754,0.025539196638528973
1755,-0.00822812353713554
1756,-0.025643895341750652
1757,-0.020369815277895574
1758,-0.011272325502868209
1759,0.005339697879314645
1760,0.017097865806757404
1761,0.03415856448394719
1762,0.038570767140240984
1763,-0.05342922101339968
1764,-0.08087507328301206
1765,-0.061083537518887704
1766,-0.036359559347744555
1767,-0.02335751306535802
1768,-0.054877119153556544
1769,-0.05751451883560189
1770,-0.031476344254599664
1771,-0.001867964033388916
1772,0.02176663847851749
1773,0.03302191929933035
1774,0.03560985918723433
1775,0.029195350816909944
1776,0.0229735517760867
1777,0.019500243085013445
1778,0.016909861448424372
1779,0.020133753542858766
1780,0.033640643239657105
1781,0.04392423883040443
1782,0.050332624617771854
1783,0.06277834262220791
1784,-0.12483448621487833
1785,-0.1937015879688824
1786,-0.1448952581052013
1787,-0.09490410490829661
1788,-0.06156359503204831
1789,-0.03391427858438188
1790,0.002412166457395426
1791,0.020906928091424668
1792,0.03620344818463802
1793,0.04397826576345692
1794,0.049744085556588345
1795,0.043032584608686024
1796,0.020717857586413112
1797,0.01634509255405417
1798,0.012645168863117735
1799,0.011281793043096441
1800,0.011408820373147516
1801,0.0148157461332934
1802,0.02808032620277888
1803,0.03558051878012956
1804,0.04286606017595149
1805,0.04916494867615297
1806,0.04945079642462257
1807,0.050975476512713974
1808,0.04809865430020061
1809,0.03877532451983365
1810,-0.24760169460726672
1811,-0.3424082995071977
1812,-0.26893191269327715
1813,-0.17660550782702933
1814,-0.11724862695515446
1815,-0.0745605546932556
1816,-0.5879877056163978
1817,-0.7636506077680679
1818,-0.6068782711768078
1819,-0.42937018354162493
1820,-0.2993232779042183
1821,-0.22556759032131915
1822,-0.17297186677763768
1823,-0.16455524847237235
1824,-0.14478144181093863
1825,-0.12376243692167549
1826,-0.09704229756149967
1827,-0.07278162000944444
1828,-0.049545892262536924
1829,-0.03303462152125421
1830,-0.024028850959449042
1831,-0.014773162539282299
1832,-0.2981145862903627
1833,-0.3905397680951722
1834,-0.3127127917406186
1835,-0.22404256018073518
1836,-0.24682683653076334
1837,-0.22278883963738927
1838,-0.15890625168228614
1839,-0.11067785215297789
1840,-0.07138440226438471
1841,-0.04573587784364338
1842,-0.025765031343136017
1843,-0.021707103717490225
1844,-0.017125448682135804
1845,-0.0399466869312014
1846,-0.04755691043396022
1847,-0.032494213636916125
1848,-0.02302927988189386
1849,-0.015846577217051856
1850,-0.007010111547820083
1851,0.0043014974400710886
1852,0.015631256564178152
1853,0.018587806720389913
1854,0.02448244265510723
1855,0.016538275697286612
1856,-0.014343698143354995
1857,-0.026432226658400462
1858,-0.017322372088768304
1859,0.00018309524542279182
1860,0.010617222711697316
1861,0.021713362337274833
1862,0.016311044135157063
1863,0.00900176549757803
1864,-0.04678879496082894
1865,-0.06237105820851645
1866,-0.03596847307086839
1867,-0.01436758509131326
1868,-0.0031176408267999493
1869,0.003231965225642351
1870,0.018567268797081215
1871,0.025851076142216902
1872,0.03354841354835189
1873,0.04115875986517421
1874,0.02874678386854311
1875,0.031456930894261825
1876,0.03322316692818317
1877,0.03640989343306803
1878,0.03059175816146995
1879,0.03376654300944339
1880,0.027573177109993827
1881,0.03278952786030046
1882,0.033490595975792445
1883,0.03621479521534373
1884,0.00040644341026517354
1885,-0.14769981303777577
1886,-0.15009283410283203
1887,-0.1032468871147413
1888,-0.0657332525823594
1889,-0.04169138302446669
1890,-0.013899829349834789
1891,-0.012999392901843597
1892,-0.02423413418932284
1893,-0.01944808872916884
1894,0.0025052764091376047
1895,0.01809874009149206
1896,0.03223763903428305
1897,0.03756703289875984
1898,0.0426055408960405
1899,0.046571607277281206
1900,0.04278687057272712
1901,0.04065079748981201
1902,0.03709129019452784
1903,0.024104608813182236
1904,-0.04058173392154455
1905,-0.0502287387581355
1906,-0.01661932477455383
1907,0.0073499159484960086
1908,0.0032795288893885553
1909,0.012629578460425776
1910,0.023581834986559008
1911,0.02651838104137793
1912,0.031440697669898265
1913,-0.013590963722481485
1914,-0.03193779930124706
1915,-0.015847604629594902
1916,0.012168825371994194
1917,0.03866141057788582
1918,0.054904665147409576
1919,0.06824565597143299
1920,0.08086644001958665
1921,0.07830664407460948
1922,0.08940295789174955
1923,0.08346828759765841
1924,0.07533858370796327
1925,0.08358918557646214
1926,0.09590406320349164
1927,0.10618546388403283
1928,0.11862892041130378
1929,0.12024737950952173
1930,0.10311121917908084
1931,0.11135885646778992
1932,0.12731167919364395
1933,0.12416196465982281
1934,0.12868337370841984
1935,0.1411353346064558
1936,0.15129951244381115
1937,0.1650070049476805
1938,0.16365264711273567
1939,0.1804445401000541
1940,0.18387980464896214
1941,0.1850511843859057
1942,0.18273909511722977
1943,0.17663919739661613
1944,0.1748249617642159
1945,0.17860501771470108
1946,0.1959932803752389
1947,0.2063643735703104
1948,0.22093894119969273
1949,0.22893486504710064
1950,0.23097544284174423
1951,0.23058448301890164
1952,0.23277202533440902
1953,0.2356410353190667
1954,0.2327759763496018
1955,0.23516231526658574
1956,0.23934771343525893
1957,0.2416778314725945
1958,0.2551825234713744
1959,0.2718798038016109
1960,0.2841674613009607
1961,0.2846535993364472
1962,0.2816532646308178
1963,0.26266657637454394
1964,0.1786500205699137
1965,0.14856575205130143
1966,0.158755773155405
1967,0.2078363215472045
1968,0.22029990955315384
1969,0.24617816722541402
1970,0.26990905125411807
1971,0.28529123484384783
1972,0.27644805600070443
1973,0.2850079086298514
1974,0.30322824072693166
1975,0.3087815287630954
1976,0.30489737894339963
1977,0.31656138458606686
1978,0.3407767502921314
1979,0.3685291171488869
1980,0.4026980680598302
1981,0.41984287018710525
1982,0.4360573898811938
1983,0.41760852610723176
1984,0.3853274241900851
1985,0.3972336693094438
1986,0.4338574792122525
1987,0.4613915786283969
1988,0.4877654947234895
1989,0.5223545160611605
1990,0.5670081984631804
1991,0.5977258440036569
1992,0.5557490961628647
1993,0.4473275962097417
1994,0.46860738129783835
1995,0.5305728406139647
1996,0.5967403968760473
1997,0.644162705534444
1998,0.6778141898441153
1999,0.705469142155294
2000,0.7437441030742178
2001,0.7936113083876044
2002,0.8310921508162576
2003,0.852963908662685
2004,0.8653483910432542
2005,0.8738640391033539
2006,0.8811502017838009
2007,0.8910555333285005
2008,0.9000499418250834
2009,0.9243837867806682
2010,0.9463088857220713
2011,0.9718671959982105
2012,1.0046912469275084
2013,1.0327694515771273
2014,1.071178260797885
2015,1.1054666739940513
2016,1.1249282584221127
2017,1.149336787000515
2018,1.185534212068095
2019,1.2069274748679948
2020,1.2125341530514406
2021,1.2466294033307712
2022,1.2663943849582218
2023,1.2860260403878898
2024,1.3151800041519384
2025,1.3445197184312636
2026,1.3695305685961432
2027,1.3881957570243053
2028,1.4068102904257318
2029,1.42796968097121
2030,1.449881945714221
2031,1.4668931652314918
2032,1.4885222874393091
2033,1.5171481232034965
2034,1.5526454102577867
2035,1.5863849904778307
2036,1.6208224032080565
2037,1.656121305504837
2038,1.6893348067105953
2039,1.719763095339558
2040,1.7463057791283236
2041,1.770011197814343
2042,1.7917573875649815
2043,1.8217327928731737
2044,1.8507926448794603
2045,1.875657681277012
2046,1.9117267496792127
2047,1.9477445333901109
2048,1.9872148140909311
2049,2.015785722770624
2050,2.0461905149346826
2051,2.070622724759725
2052,2.0951816876259803
2053,2.117214773680819
2054,2.140393819075283
2055,2.1617203205422424
2056,2.1866535599322607
2057,2.213077970906022
2058,2.2413215693211868
2059,2.271854721015059
2060,2.297746665097429
2061,2.324801367596493
2062,2.341510238442922
2063,2.3616484114667076
2064,2.382403235836045
2065,2.4027218658723917
2066,2.4271922238276646
2067,2.453178416878346
2068,2.4790008550045965
2069,2.504906045455465
2070,2.528718286554406
2071,2.5510005201954846
2072,2.5647819810748977
2073,2.5839392908101613
2074,2.605249496141989
2075,2.6187232713897948
2076,2.6369153036915605
2077,2.6516429699569395
2078,2.673341599035416
2079,2.686327781151006
2080,2.7089266540244568
2081,2.7301446988713765
2082,2.7537403065605193
2083,2.766958521361377
2084,2.781274712358591
2085,2.795665196405508
2086,2.80716654180106
2087,2.8169346932291406
2088,2.8341212945531193
2089,2.846388510750213
2090,2.865282598394726
2091,2.8798789103647495
2092,2.8950211697017267
2093,2.9165315906122573
2094,2.9361743122570347
2095,2.94922803698207
2096,2.961985907761454
2097,2.970764415496813
2098,2.9754838987441623
2099,2.98659136855581
2100,2.996818296524442
2101,3.014382070714184
2102,3.032036234976322
2103,3.0477066048228756
2104,3.066195852674589
2105,3.0708309842639405
2106,3.0781026584899855
2107,3.0830709563229113
2108,3.0953237002430707
2109,3.1033996405813093
2110,3.1151565793703924
2111,3.1266457871627784
2112,3.1425116922541383
2113,3.1560775859995194
2114,3.1734353664581407
2115,3.1858148311422583
2116,3.1938095182139716
2117,3.2008597076639136
2118,3.2019714099963004
2119,3.2101357040524205
2120,3.221619741023474
2121,3.2268317903255817
2122,3.2444662309709917
2123,3.2597498776359575
2124,3.272139432437621
2125,3.2795886531822203
2126,3.285216545522509
2127,3.291658029772888
2128,3.2998195764829727
2129,3.3088212515609574
2130,3.307909123444251
2131,3.3201596015087436
2132,3.3398928156268126
2133,3.3569381172594768
2134,3.374731537978086
2135,3.381072811829785
2136,3.3876952531488502
2137,3.390803756782837
2138,3.394275667260569
2139,3.405376405449184
2140,3.4114311897928182
2141,3.417945081230911
2142,3.423596819453386
2143,3.440231193071326
2144,3.4528658286008356
2145,3.4613693050815186
2146,3.4695956894412214
2147,3.4781840203736043
2148,3.4876202414682917
2149,3.4917884138159976
2150,3.499038131671474
2151,3.5088777983639887
2152,3.51539516639468
2153,3.5239742238367815
2154,3.541203218516411
2155,3.5581433838940817
2156,3.568138508476842
2157,3.579333142425892
2158,3.5865528998938023
2159,3.5906455906597015
2160,3.598328520125085
2161,3.6044658038878334
2162,3.6051483693748496
2163,3.6192476995605727
2164,3.6327803493248334
2165,3.6453468149333395
2166,3.6609574833651446
2167,3.673546933940578
2168,3.6762398301226344
2169,3.678986474346048
2170,3.6783309404305715
2171,3.6878255392378327
2172,3.690250755776021
2173,3.7014412851534293
2174,3.7117482021029966
2175,3.7209995489851972
2176,3.7405727169009197
