year,ohc_1e22J
1750,17.61596808031673
1751,18.078837359814084
1752,18.478873012813914
1753,18.813849093602443
1754,19.06452577870175
1755,18.722799994843363
1756,18.56803814408912
1757,18.658841538156643
1758,18.83036387382648
1759,19.086892051477683
1760,19.408576423671803
1761,19.72099477997053
1762,20.017506290439705
1763,18.64008969118778
1764,17.8448543003431
1765,17.792047658530254
1766,17.912536373507944
1767,18.09754337961925
1768,17.514160171499295
1769,17.28728070597161
1770,17.523949091502445
1771,17.895403076791148
1772,18.26811701176277
1773,18.602984488367174
1774,18.875210552985152
1775,19.069553107240544
1776,19.234217894614826
1777,19.380188444438225
1778,19.525808773464124
1779,19.726632433107856
1780,20.028368744397604
1781,20.35817458800148
1782,20.683515998505754
1783,20.946555632911203
1784,17.8214176587839
1785,15.95729254251986
1786,15.578233662295872
1787,15.690083790185847
1788,15.950500348258643
1789,16.30536378464923
1790,16.746850878333042
1791,17.196159240539487
1792,17.60819532456634
1793,17.98477763641518
1794,18.299609216990582
1795,18.544832833786536
1796,18.429354745503517
1797,18.396373432407735
1798,18.47609138141182
1799,18.592693025387568
1800,18.742368009463444
1801,18.917269405471473
1802,19.120238116413315
1803,19.354197682081416
1804,19.614507828390952
1805,19.87240301719697
1806,20.099970272179913
1807,20.30695694290412
1808,20.482373970424042
1809,20.618355219746917
1810,15.639422036278429
1811,12.600537567776593
1812,11.980869268932809
1813,12.134409127639776
1814,12.50260715926473
1815,12.890479505707379
1816,3.6144650177263875
1817,-2.45431553073597
1818,-3.669301688471855
1819,-3.354500308531435
1820,-2.6805210619605027
1821,-1.9909048028806124
1822,-1.373502892439179
1823,-1.1813708046764655
1824,-0.889563915544317
1825,-0.4423387788918708
1826,0.04751744938131895
1827,0.565256347248227
1828,1.0733554031977537
1829,1.529943171362917
1830,1.9633807318862528
1831,2.3371851660720813
1832,-2.517559451810077
1833,-5.51520213144131
1834,-6.034213221158076
1835,-5.7748424895842305
1836,-6.959797568933162
1837,-7.402127347137684
1838,-7.041247636684692
1839,-6.454107103572787
1840,-5.860724761438381
1841,-5.3244879828708385
1842,-4.878699927916994
1843,-4.488658739958453
1844,-4.141436305346694
1845,-4.263501121261696
1846,-4.23054390632774
1847,-3.984342466409176
1848,-3.6711934098546535
1849,-3.3466036045361798
1850,-2.99724443223738
1851,-2.652958970901325
1852,-2.3138753553346443
1853,-1.9858800774788772
1854,-1.680268358695132
1855,-1.4022004478582848
1856,-1.7372750728488409
1857,-1.8183575711597133
1858,-1.6174176324241214
1859,-1.320903492131254
1860,-0.9810276682840496
1861,-0.637286827879308
1862,-0.48379275275468303
1863,-0.3656087974405258
1864,-1.3949900531312598
1865,-1.8645607577434753
1866,-1.766125973832056
1867,-1.4783471605870868
1868,-1.1630794448397472
1869,-0.8357717863893935
1870,-0.4892588856920123
1871,-0.16401749128092818
1872,0.17922386125779666
1873,0.5046178379095215
1874,0.6435005876011128
1875,0.9379348638459942
1876,1.2365712935354838
1877,1.473029790945575
1878,1.7277449655028254
1879,1.988739249101477
1880,2.259133626126721
1881,2.464737327054476
1882,2.703582305160908
1883,3.0209843734426225
1884,2.5858027994082264
1885,-0.03880714876183498
1886,-0.9053448507931567
1887,-0.907765513587819
1888,-0.7615287645179645
1889,-0.40139168288823773
1890,0.003263919254642433
1891,0.13062658080442285
1892,0.10000967547976698
1893,0.17045424063541145
1894,0.5311602036602683
1895,0.9741252748908142
1896,1.3964447490054432
1897,1.7883524574517256
1898,2.1348799439846604
1899,2.457207422363053
1900,2.7529596230501547
1901,3.047544352129903
1902,3.3442896699233593
1903,3.296825899474869
1904,2.2687529191967575
1905,2.0477162160133946
1906,2.3183134628920183
1907,2.745842830982356
1908,2.857422168680723
1909,3.167838372056479
1910,3.5375691477652
1911,3.8613151240257846
1912,4.1731961016534465
1913,3.634715728909806
1914,3.2726799676915017
1915,3.4229352275655733
1916,3.8748775345277076
1917,4.345817247271058
1918,4.8004443612770755
1919,5.246393074699
1920,5.689158551511764
1921,6.05810957441716
1922,6.470520595820759
1923,6.648294930486418
1924,6.865680086796759
1925,7.240905135039258
1926,7.63579627766376
1927,8.073698370185042
1928,8.496106831172503
1929,8.851203590388701
1930,8.898945327574463
1931,9.33157240911435
1932,9.803391204897324
1933,10.00776283839483
1934,10.432568420309185
1935,10.861323363442054
1936,11.299352848361531
1937,11.762987881727764
1938,12.225186222291873
1939,12.703347228515614
1940,13.127725277078547
1941,13.506225229715888
1942,13.863848888138332
1943,14.193742688833485
1944,14.517125023606953
1945,14.875382513099884
1946,15.357095185334163
1947,15.885230219551381
1948,16.42902787310894
1949,16.968149696882463
1950,17.511198779540297
1951,17.942034525253643
1952,18.355287899354366
1953,18.76415950473119
1954,19.166552202198275
1955,19.591887225325067
1956,20.032527048925818
1957,20.525764929572553
1958,21.06047227127728
1959,21.642811641663865
1960,22.155319391324003
1961,22.644893710648205
1962,22.97715797094479
1963,23.049041755228025
1964,21.83075799724495
1965,21.152659940804824
1966,21.016310230634016
1967,21.59358118639454
1968,21.812495761862127
1969,22.23534459713729
1970,22.801294538579114
1971,23.32334506146003
1972,23.642123915251737
1973,24.10893368185329
1974,24.765137260048466
1975,25.24934952630768
1976,25.436723307689146
1977,25.997612743505258
1978,26.750128783608968
1979,27.60741298834106
1980,28.470477168545504
1981,29.27173873763199
1982,30.09096188985132
1983,30.32185085124629
1984,30.035924260790356
1985,30.432162972971547
1986,31.20369362004635
1987,31.986225618011915
1988,32.878988535170855
1989,33.917301222470215
1990,35.09799690755362
1991,36.22124833917751
1992,36.21061623955325
1993,34.69053246078851
1994,34.70673539202355
1995,35.66495921133304
1996,36.89610255976554
1997,38.20011335146848
1998,39.36411272834825
1999,40.610079511801516
2000,42.08597222942923
2001,43.60081483446131
2002,45.049263328123416
2003,46.39080596568766
2004,47.583590742571246
2005,48.7980216128619
2006,49.92574408891007
2007,51.02253994057776
2008,52.15720008289447
2009,53.37497521714367
2010,54.602319117065214
2011,55.8865788953337
2012,57.20038716932423
2013,58.554078246749775
2014,60.00970749636683
2015,61.40559669048367
2016,62.857646476450036
2017,64.35708288700157
2018,65.92838667416342
2019,67.53090215546752
2020,69.12068167536972
2021,70.70753236887381
2022,72.45826520394318
2023,74.12474682463402
2024,75.84432171880887
2025,77.59764659854267
2026,79.34064302474846
2027,81.08617005840922
2028,82.83741349513589
2029,84.61196423653061
2030,86.40208121520611
2031,88.2302187907435
2032,90.08108856887296
2033,91.96140954375834
2034,93.89597860877355
2035,95.91451811909366
2036,97.96324910874146
2037,100.06487073781494
2038,102.16647314723275
2039,104.29937283015863
2040,106.43609956471906
2041,108.59246385539772
2042,110.7756483312591
2043,112.99377566573256
2044,115.25728167502504
2045,117.5928939165149
2046,120.01902860951873
2047,122.51356838448645
2048,125.07034136384802
2049,127.67540308715613
2050,130.28614677395086
2051,132.89400801053313
2052,135.5091925979275
2053,138.14161923803712
2054,140.79599807854646
2055,143.50085920226593
2056,146.27304164615228
2057,149.11649757648104
2058,151.99088123571866
2059,154.89616130554705
2060,157.83336562413314
2061,160.7629746694217
2062,163.71791339850157
2063,166.69361016112276
2064,169.70533502714338
2065,172.75720689221473
2066,175.85426943209387
2067,179.02800895612742
2068,182.2722458829052
2069,185.56683548139304
2070,188.88623210856315
2071,192.2162544814131
2072,195.56991393990123
2073,198.95337437895873
2074,202.3625982649802
2075,205.80810036540484
2076,209.29209883095544
2077,212.8175023124257
2078,216.38708989963072
2079,220.03347011903045
2080,223.74383261159812
2081,227.505439545258
2082,231.29315807094991
2083,235.12418516647432
2084,238.96873458097664
2085,242.84198525452717
2086,246.72103394892795
2087,250.62502741862625
2088,254.552621496474
2089,258.5204797967728
2090,262.5378977712988
2091,266.6268502209616
2092,270.770999397822
2093,274.9673116687207
2094,279.1628493627462
2095,283.35108756602233
2096,287.5342780928347
2097,291.71917577110366
2098,295.93499307875857
2099,300.16662556051983
2100,304.4427195796969
2101,308.76242923660175
2102,313.12146353025037
2103,317.4796336132176
2104,321.82628816815225
2105,326.1776623530794
2106,330.50697803112456
2107,334.8360365714976
2108,339.15229353043827
2109,343.47919340481303
2110,347.81816758202154
2111,352.19237683716483
2112,356.6270740856117
2113,361.0601118435451
2114,365.4873619837944
2115,369.86739746600267
2116,374.24161723265087
2117,378.5908160830609
2118,382.94514427161096
2119,387.2881927329916
2120,391.62955379715106
2121,396.01200293185985
2122,400.4256281651305
2123,404.8796056352411
2124,409.29565465375475
2125,413.7235774169708
2126,418.1148960065021
2127,422.4741822351519
2128,426.8147942780837
2129,431.13643472128496
2130,435.4827629526229
2131,439.8517905727036
2132,444.27600360416915
2133,448.6925713590214
2134,453.0998710311838
2135,457.4797978382596
2136,461.8200684694077
2137,466.12310421328647
2138,470.4187311819418
2139,474.6878934039456
2140,478.94966734868217
2141,483.2185237005696
2142,487.52046702754717
2143,491.83593510690474
2144,496.1397633383367
2145,500.4480963812444
2146,504.7419616394824
2147,509.0007386097888
2148,513.2464130208795
2149,517.4770636063312
2150,521.6946883784015
2151,525.8914765243635
2152,530.0900266537133
2153,534.3106347066863
2154,538.5612226773886
2155,542.8269744771043
2156,547.0769717972189
2157,551.3056223126772
2158,555.4990780679412
2159,559.6520015287323
2160,563.7681631356836
2161,567.8613892481114
2162,571.9669397456322
2163,576.0770260455811
2164,580.219475984243
2165,584.4016810987304
2166,588.5397931903657
2167,592.6630485105668
2168,596.7305931986847
2169,600.7608802506476
2170,604.7715356325751
2171,608.7577510335824
2172,612.735293610343
2173,616.7120285847361
2174,620.7173523362462
2175,624.742200084374
2176,628.756803932667
2177,632.760549201655
2178,636.7237889047939
2179,640.6369414647653
2180,644.5292589325187
2181,648.3893529215421
2182,652.234161304688
2183,656.0653186574272
2184,659.8667628706185
2185,663.6602719471101
2186,667.4646368522765
2187,671.3071295174777
2188,675.1279542085598
2189,678.9537346025088
2190,682.7690192498513
2191,686.5388319391428
2192,690.270632792821
2193,693.982426590482
2194,697.664127331517
2195,701.3243772877316
2196,704.9874638933794
2197,708.6816205395211
2198,712.3991462654144
2199,716.1197214956164
2200,719.7965945969075
2201,723.42523550887
2202,727.0069970242816
2203,730.5624872522741
2204,734.0921904978628
2205,737.5940713292123
2206,741.0859511051929
2207,744.5629903114748
2208,748.0335401344815
2209,751.5139756537168
2210,754.9982768985109
2211,758.4798980257563
2212,761.9476390009361
2213,765.3947552772626
2214,768.8072035745379
2215,772.1907866448585
2216,775.5233331097721
2217,778.8336511726478
2218,782.1283720517682
2219,785.4139502464659
2220,788.7069292278563
2221,792.0264799165137
2222,795.3314280328692
2223,798.6539142336349
2224,801.9297486626311
2225,805.1562584611248
2226,808.3438580107807
2227,811.4894283643409
2228,814.62087697746
2229,817.7238402507737
2230,820.8293044016857
2231,823.9546361661319
2232,827.0830742682655
2233,830.1986461352437
2234,833.2957947430706
2235,836.3477274994653
2236,839.3781348570609
2237,842.3556358836779
2238,845.3082228222115
2239,848.2407057184632
2240,851.165165980099
2241,854.077224982463
2242,857.0244371582883
2243,859.9804519389035
2244,862.9116003151939
2245,865.8128826167859
2246,868.6562570673524
2247,871.4564400297163
2248,874.2266787165463
2249,876.9665145961229
2250,879.682052704231
2251,882.3598524128232
2252,885.0195403706316
2253,887.6915548516266
2254,890.3655942351785
2255,893.0473024520503
2256,895.7048431462952
2257,898.3413607312308
2258,900.9582979799653
2259,903.5448794949684
2260,906.1039533118818
2261,908.6171016230967
2262,911.1066363916789
2263,913.5918520559428
2264,916.0831067174103
2265,918.5879786338693
2266,921.1067987325509
2267,923.6412853208726
2268,926.1901636301398
2269,928.6810440355569
2270,931.1266952524633
2271,933.5336380330297
2272,935.9121543965647
2273,938.2547343141828
2274,940.5904035497557
2275,942.9465860929562
2276,945.3094462841557
2277,947.685893118745
2278,950.0508588739987
2279,952.3901009288776
2280,954.7075567653153
2281,956.9877922059384
2282,959.2420105410133
2283,961.4753618930914
2284,963.6929423315122
2285,965.9256266111145
2286,968.1774394079189
2287,970.4707311787396
2288,972.7566481060588
2289,975.0132512085277
2290,977.2069150616377
2291,979.3787843692057
2292,981.5147534578922
2293,983.6216174108688
2294,985.7226690413153
2295,987.8329192210107
2296,989.9821629371606
2297,992.1365008109599
2298,994.309158229512
2299,996.4599801850885
2300,998.5697691730569
2301,1000.6356205168809
