year,value,sigma
1993,-19.405,
1994,-14.754117647058823,
1995,-9.165483870967742,
1996,-5.7688235294117645,
1997,-1.8203030303030303,
1998,-2.661212121212121,
1999,-3.517878787878788,
2000,0.6891176470588235,
2001,6.024722222222222,
2002,7.603728813559322,
2003,10.854262295081968,
2004,12.472131147540983,
2005,15.722758620689655,
2006,18.205555555555556,
2007,18.125945945945944,
2008,22.162558139534884,
2009,25.72,
2010,27.125810810810812,
2011,25.450547945205482,
2012,35.807101449275365,
2013,38.15711538461539,
2014,41.04833333333333,
2015,49.71675675675676,
2016,52.915,
2017,53.835686274509804,
2018,56.59783783783784,
2019,62.98675675675676,
2020,65.66837837837838,
2021,70.07163265306123,
2022,72.68611940298509,
2023,78.48837837837839,
2024,81.88716216216216,
