year,ohc_1e22J
1850,-26.1703825061329
1851,-24.157487784424124
1852,-22.925378622900038
1853,-26.10924459691173
1854,-26.811235769002014
1855,-25.418586735207693
1856,-24.28244039517028
1857,-24.33353663579729
1858,-23.114481306614767
1859,-21.620162460847947
1860,-19.751000246780592
1861,-21.30616171881434
1862,-22.156286189801357
1863,-23.501869471257553
1864,-20.924742587034714
1865,-20.18597876501059
1866,-21.5333530247919
1867,-18.759761479420934
1868,-17.1065026512826
1869,-17.790705639846394
1870,-17.754527319071148
1871,-18.602937971847922
1872,-18.98521127326911
1873,-20.017350425685436
1874,-19.856225229252193
1875,-19.973155666714952
1876,-19.170037058538963
1877,-16.754290521041963
1878,-17.791740075596504
1879,-18.787901620602717
1880,-19.559546003127608
1881,-21.705613227752284
1882,-22.386570856343734
1883,-21.43287132175878
1884,-18.641074199894575
1885,-18.2838678335421
1886,-20.22207068075247
1887,-21.28499577550039
1888,-21.7246972878819
1889,-26.45371645200349
1890,-27.608484252485994
1891,-29.37581009363887
1892,-27.613634191847915
1893,-29.0418460282463
1894,-28.161959940343692
1895,-31.022368239943493
1896,-31.37811067304393
1897,-26.929616980188783
1898,-26.432191615599752
1899,-27.493936975084114
1900,-25.755179268000244
1901,-24.43219837117824
1902,-20.437003268900337
1903,-21.245175839969292
1904,-19.82202854215917
1905,-19.934597307761774
1906,-17.277212574418815
1907,-16.501657602564293
1908,-18.55697873531243
1909,-18.465026086055136
1910,-21.76447009871924
1911,-19.119561977266066
1912,-18.648203067568474
1913,-19.360708805220494
1914,-18.12183720772981
1915,-19.71087049790684
1916,-18.887529485129523
1917,-21.73519299537638
1918,-22.3680451946639
1919,-22.467754751158306
1920,-23.074166451408395
1921,-21.08234449435062
1922,-23.428359753025504
1923,-23.53423713303107
1924,-25.456385740686244
1925,-26.471608618436697
1926,-21.816496006285572
1927,-23.02101628332448
1928,-22.15646924027736
1929,-22.812909023796266
1930,-21.694384857796123
1931,-19.336773378025146
1932,-16.790813090742716
1933,-15.627153312314523
1934,-17.383230436179947
1935,-15.527234248399566
1936,-14.109226278996376
1937,-16.16338076639642
1938,-14.540277366834347
1939,-13.519885939388336
1940,-13.37953082899977
1941,-15.043884936411073
1942,-15.934174814299462
1943,-15.417450400150665
1944,-13.423010574578274
1945,-10.710539439979856
1946,-9.51835508409842
1947,-9.783834245490187
1948,-10.248449131161804
1949,-9.872928671543374
1950,-9.70191143224463
