# Spliced observed OHC (cumulative since FaIR 1750-zero), units 1e22 J
# Zanna 2019 PNAS (1870-1980, OHC_2000m, anchored to FaIR mean at 1871); IGCC 2024 ocean_0-2000m (1981-2024, 5-yr windowed offset at 1980; Palmer/von Schuckmann compilation)
# 1850-1869 filled from FaIR ensemble-mean
# zanna_shift_1e22J=-3.796537, igcc_offset_1e22J=10.851722
year,ohc_1e22J,source
1850,-6.688155,fair_mean
1851,-6.384245,fair_mean
1852,-6.086894,fair_mean
1853,-5.905734,fair_mean
1854,-5.866651,fair_mean
1855,-5.787005,fair_mean
1856,-5.607166,fair_mean
1857,-5.540805,fair_mean
1858,-5.489647,fair_mean
1859,-5.280563,fair_mean
1860,-5.007596,fair_mean
1861,-4.769149,fair_mean
1862,-5.067671,fair_mean
1863,-5.553686,fair_mean
1864,-5.524852,fair_mean
1865,-5.258899,fair_mean
1866,-4.971897,fair_mean
1867,-4.684038,fair_mean
1868,-4.430995,fair_mean
1869,-4.193068,fair_mean
1870,-3.796537,zanna_aligned
1871,-3.683202,zanna_aligned
1872,-3.500130,zanna_aligned
1873,-3.644646,zanna_aligned
1874,-3.667025,zanna_aligned
1875,-3.843883,zanna_aligned
1876,-3.520988,zanna_aligned
1877,-2.988029,zanna_aligned
1878,-2.529267,zanna_aligned
1879,-2.212373,zanna_aligned
1880,-1.811168,zanna_aligned
1881,-2.069880,zanna_aligned
1882,-2.323151,zanna_aligned
1883,-2.397261,zanna_aligned
1884,-2.461507,zanna_aligned
1885,-2.424610,zanna_aligned
1886,-2.287638,zanna_aligned
1887,-2.149261,zanna_aligned
1888,-2.127647,zanna_aligned
1889,-2.241299,zanna_aligned
1890,-2.327705,zanna_aligned
1891,-2.462572,zanna_aligned
1892,-2.629902,zanna_aligned
1893,-2.773261,zanna_aligned
1894,-2.509254,zanna_aligned
1895,-2.125762,zanna_aligned
1896,-1.773115,zanna_aligned
1897,-1.519771,zanna_aligned
1898,-1.006249,zanna_aligned
1899,-0.808576,zanna_aligned
1900,-1.121501,zanna_aligned
1901,-1.658836,zanna_aligned
1902,-2.492913,zanna_aligned
1903,-3.523355,zanna_aligned
1904,-4.430818,zanna_aligned
1905,-5.162226,zanna_aligned
1906,-5.844581,zanna_aligned
1907,-6.234845,zanna_aligned
1908,-6.674853,zanna_aligned
1909,-7.293746,zanna_aligned
1910,-7.852292,zanna_aligned
1911,-8.123990,zanna_aligned
1912,-8.287257,zanna_aligned
1913,-7.975103,zanna_aligned
1914,-7.344905,zanna_aligned
1915,-6.933443,zanna_aligned
1916,-6.592879,zanna_aligned
1917,-6.316262,zanna_aligned
1918,-6.295594,zanna_aligned
1919,-6.507957,zanna_aligned
1920,-6.555979,zanna_aligned
1921,-6.757703,zanna_aligned
1922,-6.886162,zanna_aligned
1923,-7.171505,zanna_aligned
1924,-7.124013,zanna_aligned
1925,-6.740438,zanna_aligned
1926,-6.246602,zanna_aligned
1927,-5.872088,zanna_aligned
1928,-5.438320,zanna_aligned
1929,-5.074671,zanna_aligned
1930,-4.861499,zanna_aligned
1931,-4.558430,zanna_aligned
1932,-4.152356,zanna_aligned
1933,-3.755917,zanna_aligned
1934,-3.466495,zanna_aligned
1935,-2.946222,zanna_aligned
1936,-2.095230,zanna_aligned
1937,-1.085711,zanna_aligned
1938,-0.108961,zanna_aligned
1939,0.863810,zanna_aligned
1940,1.833793,zanna_aligned
1941,2.585550,zanna_aligned
1942,3.601905,zanna_aligned
1943,5.079040,zanna_aligned
1944,6.267822,zanna_aligned
1945,6.516647,zanna_aligned
1946,6.608272,zanna_aligned
1947,6.426533,zanna_aligned
1948,5.862518,zanna_aligned
1949,5.585331,zanna_aligned
1950,6.221734,zanna_aligned
1951,7.185073,zanna_aligned
1952,7.924458,zanna_aligned
1953,8.254470,zanna_aligned
1954,8.403790,zanna_aligned
1955,8.502910,zanna_aligned
1956,8.828344,zanna_aligned
1957,9.362943,zanna_aligned
1958,10.246387,zanna_aligned
1959,11.221430,zanna_aligned
1960,12.055600,zanna_aligned
1961,12.378338,zanna_aligned
1962,12.366577,zanna_aligned
1963,11.939692,zanna_aligned
1964,11.622937,zanna_aligned
1965,11.374754,zanna_aligned
1966,11.182527,zanna_aligned
1967,11.399065,zanna_aligned
1968,12.237558,zanna_aligned
1969,12.596825,zanna_aligned
1970,12.626511,zanna_aligned
1971,12.943578,zanna_aligned
1972,12.979206,zanna_aligned
1973,12.599056,zanna_aligned
1974,12.512900,zanna_aligned
1975,12.905100,zanna_aligned
1976,13.380070,zanna_aligned
1977,14.054752,zanna_aligned
1978,15.285056,zanna_aligned
1979,16.678277,zanna_aligned
1980,17.670228,zanna_aligned
1981,19.182450,igcc_aligned
1982,17.861845,igcc_aligned
1983,16.543414,igcc_aligned
1984,16.064807,igcc_aligned
1985,17.282979,igcc_aligned
1986,18.283435,igcc_aligned
1987,20.310042,igcc_aligned
1988,21.435815,igcc_aligned
1989,22.571629,igcc_aligned
1990,22.969209,igcc_aligned
1991,22.725205,igcc_aligned
1992,23.557242,igcc_aligned
1993,23.885445,igcc_aligned
1994,23.662522,igcc_aligned
1995,24.286325,igcc_aligned
1996,25.387632,igcc_aligned
1997,25.399455,igcc_aligned
1998,24.510479,igcc_aligned
1999,24.164425,igcc_aligned
2000,25.813812,igcc_aligned
2001,28.175302,igcc_aligned
2002,29.728949,igcc_aligned
2003,31.588892,igcc_aligned
2004,32.727622,igcc_aligned
2005,34.151859,igcc_aligned
2006,34.925329,igcc_aligned
2007,35.820409,igcc_aligned
2008,36.844432,igcc_aligned
2009,37.816065,igcc_aligned
2010,38.747202,igcc_aligned
2011,39.631319,igcc_aligned
2012,41.112815,igcc_aligned
2013,42.336599,igcc_aligned
2014,43.756345,igcc_aligned
