# id: GB/NERC/BAS/PDC/02074
# title: Mass balance of the Greenland and Antarctic Ice Sheets from the 1970s to 2023
# summary: This dataset contains rates and cumulative anomalies in surface mass balance, dynamics, and total mass change and their associated uncertainty for the Antarctic Ice Sheet (in its entirety and split into West Antarctica, East Antarctica and the Antarctic Peninsula) for the period 1979 to 2023 and for the Greenland Ice Sheet for the period 1972 to 2023. The data are reconciled estimates of mass balance from three independent satellite-based techniques: altimetry, gravimetry, and the input-output method. This dataset is part of the Ice Sheet Mass Balance Intercomparison Exercise (IMBIE).
# acknowledgement: This work is an outcome of the Ice Sheet Mass Balance Inter-comparison Exercise (IMBIE) supported by ESA EOEP-5 "EO Science for Society" (Contract Number 4000134549/21/I-NB), the ESA "Climate Change Initiative" (Contract Number 4000126813/19/I-NB), and the NASA Cryosphere Program.
# keywords: Antarctica,Earth observation,Greenland,ice sheet,satellite,sea level rise
# citation: Otosaka, I., Shepherd, A., Amory, C., Horwath, M., King, M., Nowicki, S., Payne, A., Rignot, E., Sørensen, L., Schlegel, N., Simon, K., Smith, B., Sutterley, T., van den Broeke, M., Velicogna, I., A, G., Agosta, C., Ditmar, P., Döhne, T., … Wouters, B. (2026). Mass balance of the Greenland and Antarctic Ice Sheets from the 1970s to 2023 (Version 1.0) [Data set]. NERC EDS UK Polar Data Centre. https://doi.org/10.5285/128c5e33-5224-4197-82f0-19dcc95b80a0
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
# history: The data used to produce this reconciled mass balance estimate were gathered in the framework of the IMBIE project. In total, 45 independent satellite estimates of mass change (21 estimates for Antarctica and 24 estimates for Greenland) were used to produce this final dataset. The methodology to aggregate these into a final estimate is described in Otosaka et al. (2026).
# source: IMBIE software v3.1 https://doi.org/10.5281/zenodo.14217193
# comment: The data are reconciled estimates from 45 individual satellite-based surveys derived from the altimetry, gravimetry and input-output techniques. The respective one sigma uncertainties for each reconciled dataset are provided.
# : Each dataset contributed to the IMBIE project was processed independently by their contributors and the methods and errors on their dataset have been documented in an international peer-reviewed journal. A dedicated processor was developed in Python to compute the reconciled mass balance estimate and its uncertainty, and the core code is freely available at https://doi.org/10.5281/zenodo.14217193 (Otosaka, I. N., Gilbert, L., Pattle, M., Roca-Aparici, M., & Shepherd, A. (2024). IMBIE software v3.1. Zenodo).
# institution: Northumbria University
# authors: Inès Otosaka,Andrew Shepherd,Charles Amory,Martin Horwath,Michalea King,Sophie Nowicki,Antony Payne,Eric Rignot,Louise Sandberg Sørensen,Nicole-Jeanne Schlegel,Karen Simon,Benjamin Smith,Tyler Sutterley,Michiel van den Broeke,Isabella Velicogna,Geruo A,Cécile Agosta,Pavel Ditmar,Thorben Döhne,Marcus Engdahl,Xavier Fettweis,Rene Forsberg,Alex Gardner,Linda Gilbert,Heiko Goelzer,Noel Gourmelen,Andreas Groh,Nicolaj Hansen,Christopher Harig,Veit Helm,Shfaqat Khan,Christoph Kittel,Peter Langen,Mathias Larsen,Bryant Loomis,Malcolm McMillan,Brooke Medley,Daniele Melini,Ruth Mottram,Alan Muir,Johan Nilsson,Brice Noël,Mark Pattle,Mònica Roca i Aparici,Ingo Sasgen,Himanshu Save,Bernd Scheuchl,Ernst Schrama,Ludwig Schröder,Ki-Weon Seo,Sebastian Simonsen,Thomas Slater,Giorgio Spada,Bramha Dutt Vishwakarma,Nander Wever,David Wiese,Bert Wouters
# project: IMBIE http://imbie.org/
# publisher_name: NERC EDS UK Polar Data Centre
# publisher_type: institution
# publisher_email: pdc@bas.ac.uk
# publisher_url: https://www.bas.ac.uk/data/uk-pdc/
# time_coverage_start: 1979-01-01
# time_coverage_end: 2023-12-01
# geospatial_lon_min: -180 (degree_east)
# geospatial_lon_max: 180 (degree_east)
# geospatial_lat_min: -90 (degree_north)
# geospatial_lat_max: -60 (degree_north)
# geospatial_bounds_crs: EPSG:4326
# data_type: Antarctic Peninsula Gt
Date,Mass balance (Gt/yr),Mass balance uncertainty (Gt/yr),Cumulative mass balance anomaly (Gt),Cumulative mass balance anomaly uncertainty (Gt),Surface mass balance anomaly (Gt/yr),Surface mass balance anomaly uncertainty (Gt/yr),Cumulative surface mass balance anomaly (Gt),Cumulative surface mass balance anomaly uncertainty (Gt),Dynamics mass balance anomaly (Gt/yr),Dynamics mass balance anomaly uncertainty (Gt/yr),Cumulative dynamics mass balance anomaly (Gt),Cumulative dynamics mass balance anomaly uncertainty (Gt)
1979-01-01,-16.4558,28.1823,-1.3713,8.1355,-75.53942871,3.975487709,-6.294952393,1.14762447,59.08362871,28.46131648,4.923635726,8.216074513
1979-02-01,-16.4558,28.1823,-2.7426,11.5054,-75.53942871,3.975487709,-12.58990479,1.62298609,59.08362871,28.46131648,9.847271452,11.61928401
1979-03-01,-16.4558,28.1823,-4.114,14.0912,-75.53942871,3.975487709,-18.88485718,1.98774389,59.08362871,28.46131648,14.77090718,14.2306585
1979-04-01,-16.4558,28.1823,-5.4853,16.2711,-75.53942871,3.975487709,-25.17980957,2.29524894,59.08362871,28.46131648,19.6945429,16.43214903
1979-05-01,-16.4558,28.1823,-6.8566,18.1916,-75.53942871,3.975487709,-31.47476196,2.566166328,59.08362871,28.46131648,24.61817863,18.37170112
1979-06-01,-16.4558,28.1823,-8.2279,19.9279,-75.53942871,3.975487709,-37.76971436,2.811094368,59.08362871,28.46131648,29.54181436,20.12519025
1979-07-01,-16.4558,28.1823,-9.5992,21.5246,-75.53942871,3.975487709,-44.06466675,3.036328946,59.08362871,28.46131648,34.46545008,21.73768992
1979-08-01,-16.4558,28.1823,-10.9705,23.0108,-75.53942871,3.975487709,-50.35961914,3.24597218,59.08362871,28.46131648,39.38908581,23.23856801
1979-09-01,-16.4558,28.1823,-12.3419,24.4066,-75.53942871,3.975487709,-56.65457153,3.44287341,59.08362871,28.46131648,44.31272153,24.64822354
1979-10-01,-16.4558,28.1823,-13.7132,25.7268,-75.53942871,3.975487709,-62.94952393,3.629107224,59.08362871,28.46131648,49.23635726,25.98150889
1979-11-01,-16.4558,28.1823,-15.0845,26.9825,-75.53942871,3.975487709,-69.24447632,3.806239768,59.08362871,28.46131648,54.15999299,27.24963641
1979-12-01,-16.4558,28.1823,-16.4558,28.1823,-75.53942871,3.975487709,-75.53942871,3.97548778,59.08362871,28.46131648,59.08362871,28.46131699
1980-01-01,-57.9023,13.5346,-21.281,28.4519,-75.53942871,3.975487709,-81.8343811,4.137818872,17.63712871,14.10637798,60.55338944,28.75115749
1980-02-01,-57.9023,13.5346,-26.1062,28.7189,-75.53942871,3.975487709,-88.1293335,4.294017576,17.63712871,14.10637798,62.02315016,29.03810513
1980-03-01,-57.9023,13.5346,-30.9314,28.9834,-75.53942871,3.975487709,-94.42428589,4.44473046,17.63712871,14.10637798,63.49291089,29.32224483
1980-04-01,-57.9023,13.5346,-35.7566,29.2456,-75.53942871,3.975487709,-100.7192383,4.59049788,17.63712871,14.10637798,64.96267161,29.60365744
1980-05-01,-57.9023,13.5346,-40.5818,29.5054,-75.53942871,3.975487709,-107.0141907,4.731776909,17.63712871,14.10637798,66.43243234,29.88242002
1980-06-01,-57.9023,13.5346,-45.407,29.763,-75.53942871,3.975487709,-113.3091431,4.86895827,17.63712871,14.10637798,67.90219307,30.15860604
1980-07-01,-57.9023,13.5346,-50.2322,30.0183,-75.53942871,3.975487709,-119.6040955,5.00237909,17.63712871,14.10637798,69.37195379,30.43228566
1980-08-01,-57.9023,13.5346,-55.0574,30.2715,-75.53942871,3.975487709,-125.8990479,5.132332656,17.63712871,14.10637798,70.84171452,30.7035259
1980-09-01,-57.9023,13.5346,-59.8825,30.5226,-75.53942871,3.975487709,-132.1940002,5.259076004,17.63712871,14.10637798,72.31147524,30.97239085
1980-10-01,-57.9023,13.5346,-64.7077,30.7717,-75.53942871,3.975487709,-138.4889526,5.382835901,17.63712871,14.10637798,73.78123597,31.23894184
1980-11-01,-57.9023,13.5346,-69.5329,31.0188,-75.53942871,3.975487709,-144.783905,5.503813611,17.63712871,14.10637798,75.2509967,31.5032376
1980-12-01,-57.9023,13.5346,-74.3581,31.2639,-75.47587618,3.976862281,-151.0735614,5.622269747,17.57357618,14.10676543,76.71546138,31.76534877
1981-01-01,-29.6808,12.0027,-76.8315,31.4553,-3.958984375,5.523694515,-151.4034767,5.844015511,-25.72181563,13.21272146,74.57197674,31.99352097
1981-02-01,-29.6808,12.0027,-79.3049,31.6455,-3.958984375,5.523694515,-151.7333921,6.057649501,-25.72181563,13.21272146,72.42849211,32.22007736
1981-03-01,-29.6808,12.0027,-81.7783,31.8346,-3.958984375,5.523694515,-152.0633075,6.264001729,-25.72181563,13.21272146,70.28500747,32.4450518
1981-04-01,-29.6808,12.0027,-84.2517,32.0227,-3.958984375,5.523694515,-152.3932228,6.463769631,-25.72181563,13.21272146,68.14152284,32.66847697
