# id: GB/NERC/BAS/PDC/02074
# title: Mass balance of the Greenland and Antarctic Ice Sheets from the 1970s to 2023
# summary: This dataset contains rates and cumulative anomalies in surface mass balance, dynamics, and total mass change and their associated uncertainty for the Antarctic Ice Sheet (in its entirety and split into West Antarctica, East Antarctica and the Antarctic Peninsula) for the period 1979 to 2023 and for the Greenland Ice Sheet for the period 1972 to 2023. The data are reconciled estimates of mass balance from three independent satellite-based techniques: altimetry, gravimetry, and the input-output method. This dataset is part of the Ice Sheet Mass Balance Intercomparison Exercise (IMBIE).
# acknowledgement: This work is an outcome of the Ice Sheet Mass Balance Inter-comparison Exercise (IMBIE) supported by ESA EOEP-5 "EO Science for Society" (Contract Number 4000134549/21/I-NB), the ESA "Climate Change Initiative" (Contract Number 4000126813/19/I-NB), and the NASA Cryosphere Program.
# keywords: Antarctica,Earth observation,Greenland,ice sheet,satellite,sea level rise
# citation: Otosaka, I., Shepherd, A., Amory, C., Horwath, M., King, M., Nowicki, S., Payne, A., Rignot, E., Sørensen, L., Schlegel, N., Simon, K., Smith, B., Sutterley, T., van den Broeke, M., Velicogna, I., A, G., Agosta, C., Ditmar, P., Döhne, T., … Wouters, B. (2026). Mass balance of the Greenland and Antarctic Ice Sheets from the 1970s to 2023 (Version 1.0) [Data set]. NERC EDS UK Polar Data Centre. https://doi.org/10.5285/128c5e33-5224-4197-82f0-19dcc95b80a0
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
# history: The data used to produce this reconciled mass balance estimate were gathered in the framework of the IMBIE project. In total, 45 independent satellite estimates of mass change (21 estimates for Antarctica and 24 estimates for Greenland) were used to produce this final dataset. The methodology to aggregate these into a final estimate is described in Otosaka et al. (2026).
# source: IMBIE software v3.1 https://doi.org/10.5281/zenodo.14217193
# comment: The data are reconciled estimates from 45 individual satellite-based surveys derived from the altimetry, gravimetry and input-output techniques. The respective one sigma uncertainties for each reconciled dataset are provided.
# : Each dataset contributed to the IMBIE project was processed independently by their contributors and the methods and errors on their dataset have been documented in an international peer-reviewed journal. A dedicated processor was developed in Python to compute the reconciled mass balance estimate and its uncertainty, and the core code is freely available at https://doi.org/10.5281/zenodo.14217193 (Otosaka, I. N., Gilbert, L., Pattle, M., Roca-Aparici, M., & Shepherd, A. (2024). IMBIE software v3.1. Zenodo).
# institution: Northumbria University
# authors: Inès Otosaka,Andrew Shepherd,Charles Amory,Martin Horwath,Michalea King,Sophie Nowicki,Antony Payne,Eric Rignot,Louise Sandberg Sørensen,Nicole-Jeanne Schlegel,Karen Simon,Benjamin Smith,Tyler Sutterley,Michiel van den Broeke,Isabella Velicogna,Geruo A,Cécile Agosta,Pavel Ditmar,Thorben Döhne,Marcus Engdahl,Xavier Fettweis,Rene Forsberg,Alex Gardner,Linda Gilbert,Heiko Goelzer,Noel Gourmelen,Andreas Groh,Nicolaj Hansen,Christopher Harig,Veit Helm,Shfaqat Khan,Christoph Kittel,Peter Langen,Mathias Larsen,Bryant Loomis,Malcolm McMillan,Brooke Medley,Daniele Melini,Ruth Mottram,Alan Muir,Johan Nilsson,Brice Noël,Mark Pattle,Mònica Roca i Aparici,Ingo Sasgen,Himanshu Save,Bernd Scheuchl,Ernst Schrama,Ludwig Schröder,Ki-Weon Seo,Sebastian Simonsen,Thomas Slater,Giorgio Spada,Bramha Dutt Vishwakarma,Nander Wever,David Wiese,Bert Wouters
# project: IMBIE http://imbie.org/
# publisher_name: NERC EDS UK Polar Data Centre
# publisher_type: institution
# publisher_email: pdc@bas.ac.uk
# publisher_url: https://www.bas.ac.uk/data/uk-pdc/
# time_coverage_start: 1979-01-01
# time_coverage_end: 2023-12-01
# geospatial_lon_min: -180 (degree_east)
# geospatial_lon_max: 180 (degree_east)
# geospatial_lat_min: -90 (degree_north)
# geospatial_lat_max: -60 (degree_north)
# geospatial_bounds_crs: EPSG:4326
# data_type: Antarctica mm
Date,Mass balance (mm/yr),Mass balance uncertainty (mm/yr),Cumulative mass balance anomaly (mm),Cumulative mass balance anomaly uncertainty (mm),Surface mass balance anomaly (mm/yr),Surface mass balance anomaly uncertainty (mm/yr),Cumulative surface mass balance anomaly (mm),Cumulative surface mass balance anomaly uncertainty (mm),Dynamics mass balance anomaly (mm/yr),Dynamics mass balance anomaly uncertainty (mm/yr),Cumulative dynamics mass balance anomaly (mm),Cumulative dynamics mass balance anomaly uncertainty (mm)
1979-01-01,-0.156706944,0.268989167,-0.013058889,0.077650556,0.207569716,0.117558659,0.017297476,0.033936262,-0.36427666,0.293556145,-0.030356388,0.084742361
1979-02-01,-0.156706944,0.268989167,-0.026117778,0.109814444,0.207569716,0.117558659,0.034594953,0.047993123,-0.36427666,0.293556145,-0.060712777,0.119843796
1979-03-01,-0.156706944,0.268989167,-0.039176667,0.134494444,0.207569716,0.117558659,0.051892429,0.058779331,-0.36427666,0.293556145,-0.091069165,0.146778075
1979-04-01,-0.156706944,0.268989167,-0.052235556,0.155300833,0.207569716,0.117558659,0.069189905,0.067872525,-0.36427666,0.293556145,-0.121425553,0.169484722
1979-05-01,-0.156706944,0.268989167,-0.065294444,0.173631667,0.207569716,0.117558659,0.086487382,0.07588379,-0.36427666,0.293556145,-0.151781942,0.18948968
1979-06-01,-0.156706944,0.268989167,-0.078353333,0.190203889,0.207569716,0.117558659,0.103784858,0.083126527,-0.36427666,0.293556145,-0.18213833,0.207575544
1979-07-01,-0.156706944,0.268989167,-0.091412222,0.205443889,0.207569716,0.117558659,0.121082334,0.089786911,-0.36427666,0.293556145,-0.212494718,0.224207213
1979-08-01,-0.156706944,0.268989167,-0.104471111,0.219628611,0.207569716,0.117558659,0.13837981,0.095986245,-0.36427666,0.293556145,-0.242851107,0.239687593
1979-09-01,-0.156706944,0.268989167,-0.11753,0.232951389,0.207569716,0.117558659,0.155677287,0.101808787,-0.36427666,0.293556145,-0.273207495,0.254227083
1979-10-01,-0.156706944,0.268989167,-0.130589167,0.245552222,0.207569716,0.117558659,0.172974763,0.107315885,-0.36427666,0.293556145,-0.303563883,0.267978876
1979-11-01,-0.156706944,0.268989167,-0.143648056,0.2575375,0.207569716,0.117558659,0.190272239,0.112553849,-0.36427666,0.293556145,-0.333920272,0.281058616
1979-12-01,-0.156706944,0.268989167,-0.156706944,0.268989167,0.207569716,0.117558659,0.207569716,0.117558662,-0.36427666,0.293556145,-0.36427666,0.29355615
1980-01-01,-0.061886111,0.130915833,-0.161863889,0.271630833,0.207569716,0.117558659,0.224867192,0.122358934,-0.269455827,0.17595168,-0.386731312,0.297917991
1980-02-01,-0.061886111,0.130915833,-0.167021111,0.2742475,0.207569716,0.117558659,0.242164668,0.126977867,-0.269455827,0.17595168,-0.409185965,0.302216885
1980-03-01,-0.061886111,0.130915833,-0.172178333,0.276839167,0.207569716,0.117558659,0.259462145,0.131434579,-0.269455827,0.17595168,-0.431640617,0.306455481
1980-04-01,-0.061886111,0.130915833,-0.177335556,0.279406667,0.207569716,0.117558659,0.276759621,0.13574505,-0.269455827,0.17595168,-0.454095269,0.310636248
1980-05-01,-0.061886111,0.130915833,-0.182492778,0.281951111,0.207569716,0.117558659,0.294057097,0.139922795,-0.269455827,0.17595168,-0.476549921,0.314761488
1980-06-01,-0.061886111,0.130915833,-0.18765,0.2844725,0.207569716,0.117558659,0.311354574,0.143979368,-0.269455827,0.17595168,-0.499004574,0.318833359
1980-07-01,-0.061886111,0.130915833,-0.192807222,0.286971944,0.207569716,0.117558659,0.32865205,0.147924739,-0.269455827,0.17595168,-0.521459226,0.322853879
1980-08-01,-0.061886111,0.130915833,-0.197964444,0.289449722,0.207569716,0.117558659,0.345949526,0.151767579,-0.269455827,0.17595168,-0.543913878,0.326824943
1980-09-01,-0.061886111,0.130915833,-0.203121389,0.291906389,0.207569716,0.117558659,0.363247002,0.155515491,-0.269455827,0.17595168,-0.56636853,0.330748333
1980-10-01,-0.061886111,0.130915833,-0.208278611,0.2943425,0.207569716,0.117558659,0.380544479,0.15917518,-0.269455827,0.17595168,-0.588823183,0.334625725
1980-11-01,-0.061886111,0.130915833,-0.213435833,0.296758889,0.207569716,0.117558659,0.397841955,0.162752597,-0.269455827,0.17595168,-0.611277835,0.338458701
1980-12-01,-0.061886111,0.130915833,-0.218593056,0.299155556,0.207850211,0.117562237,0.415162806,0.166253264,-0.269736322,0.175954071,-0.633755862,0.342248854
1981-01-01,-5.81E-05,0.116132222,-0.218597778,0.301028056,0.523497179,0.121588569,0.458787571,0.169918009,-0.523555234,0.168138256,-0.677385464,0.345673475
1981-02-01,-5.81E-05,0.116132222,-0.218602778,0.302889167,0.523497179,0.121588569,0.502412336,0.173505364,-0.523555234,0.168138256,-0.721015067,0.349064498
