rff_idx,fair_cfg_idx,seed_idx,post_idx,axis
19,0,0,1,anova27k_brick
19,0,0,5001,anova27k_brick
19,0,0,10000,anova27k_brick
19,0,1,1,anova27k_brick
19,0,1,5001,anova27k_brick
19,0,1,10000,anova27k_brick
19,0,2,1,anova27k_brick
19,0,2,5001,anova27k_brick
19,0,2,10000,anova27k_brick
19,29,0,1,anova27k_brick
19,29,0,5001,anova27k_brick
19,29,0,10000,anova27k_brick
19,29,1,1,anova27k_brick
19,29,1,5001,anova27k_brick
19,29,1,10000,anova27k_brick
19,29,2,1,anova27k_brick
19,29,2,5001,anova27k_brick
19,29,2,10000,anova27k_brick
19,58,0,1,anova27k_brick
19,58,0,5001,anova27k_brick
19,58,0,10000,anova27k_brick
19,58,1,1,anova27k_brick
19,58,1,5001,anova27k_brick
19,58,1,10000,anova27k_brick
19,58,2,1,anova27k_brick
19,58,2,5001,anova27k_brick
19,58,2,10000,anova27k_brick
19,87,0,1,anova27k_brick
19,87,0,5001,anova27k_brick
19,87,0,10000,anova27k_brick
19,87,1,1,anova27k_brick
19,87,1,5001,anova27k_brick
19,87,1,10000,anova27k_brick
19,87,2,1,anova27k_brick
19,87,2,5001,anova27k_brick
19,87,2,10000,anova27k_brick
19,116,0,1,anova27k_brick
19,116,0,5001,anova27k_brick
19,116,0,10000,anova27k_brick
19,116,1,1,anova27k_brick
19,116,1,5001,anova27k_brick
19,116,1,10000,anova27k_brick
19,116,2,1,anova27k_brick
19,116,2,5001,anova27k_brick
19,116,2,10000,anova27k_brick
19,145,0,1,anova27k_brick
19,145,0,5001,anova27k_brick
19,145,0,10000,anova27k_brick
19,145,1,1,anova27k_brick
19,145,1,5001,anova27k_brick
19,145,1,10000,anova27k_brick
19,145,2,1,anova27k_brick
19,145,2,5001,anova27k_brick
19,145,2,10000,anova27k_brick
19,174,0,1,anova27k_brick
19,174,0,5001,anova27k_brick
19,174,0,10000,anova27k_brick
19,174,1,1,anova27k_brick
19,174,1,5001,anova27k_brick
19,174,1,10000,anova27k_brick
19,174,2,1,anova27k_brick
19,174,2,5001,anova27k_brick
19,174,2,10000,anova27k_brick
19,203,0,1,anova27k_brick
19,203,0,5001,anova27k_brick
19,203,0,10000,anova27k_brick
19,203,1,1,anova27k_brick
19,203,1,5001,anova27k_brick
19,203,1,10000,anova27k_brick
19,203,2,1,anova27k_brick
19,203,2,5001,anova27k_brick
19,203,2,10000,anova27k_brick
19,232,0,1,anova27k_brick
19,232,0,5001,anova27k_brick
19,232,0,10000,anova27k_brick
19,232,1,1,anova27k_brick
19,232,1,5001,anova27k_brick
19,232,1,10000,anova27k_brick
19,232,2,1,anova27k_brick
19,232,2,5001,anova27k_brick
19,232,2,10000,anova27k_brick
19,261,0,1,anova27k_brick
19,261,0,5001,anova27k_brick
19,261,0,10000,anova27k_brick
19,261,1,1,anova27k_brick
19,261,1,5001,anova27k_brick
19,261,1,10000,anova27k_brick
19,261,2,1,anova27k_brick
19,261,2,5001,anova27k_brick
19,261,2,10000,anova27k_brick
19,290,0,1,anova27k_brick
19,290,0,5001,anova27k_brick
19,290,0,10000,anova27k_brick
19,290,1,1,anova27k_brick
19,290,1,5001,anova27k_brick
19,290,1,10000,anova27k_brick
19,290,2,1,anova27k_brick
19,290,2,5001,anova27k_brick
19,290,2,10000,anova27k_brick
19,319,0,1,anova27k_brick
19,319,0,5001,anova27k_brick
19,319,0,10000,anova27k_brick
19,319,1,1,anova27k_brick
19,319,1,5001,anova27k_brick
19,319,1,10000,anova27k_brick
19,319,2,1,anova27k_brick
19,319,2,5001,anova27k_brick
19,319,2,10000,anova27k_brick
19,348,0,1,anova27k_brick
19,348,0,5001,anova27k_brick
19,348,0,10000,anova27k_brick
19,348,1,1,anova27k_brick
19,348,1,5001,anova27k_brick
19,348,1,10000,anova27k_brick
19,348,2,1,anova27k_brick
19,348,2,5001,anova27k_brick
