year,ais,gsic,gis,te,total,lws_budget
1900,-1.0192595504483148,-5.48262023550135,-3.928153641475445,-4.109590650417861,-12.975020745345114,1.5646033324978563
1901,-1.00687976758278,-5.413079895264026,-3.8911096837777652,-4.078669072897015,-12.533147286425583,1.8565911330960014
1902,-0.9944490367705505,-5.344767168655838,-3.8541286259185785,-4.047657839959571,-12.252001107300332,1.9890015640042045
1903,-0.98192493347804,-5.277834078400651,-3.8172365006725766,-4.05307873624258,-12.1357246699581,1.9943495788357475
1904,-0.9692810130874197,-5.213409367168683,-3.7806057059823477,-4.162474394491043,-12.171145251869332,1.9546252288601615
1905,-0.9555369877311093,-5.1579221429176,-3.745170929877,-4.186558072337916,-12.033321845653855,2.011866287209771
1906,-0.9410483335378417,-5.104396349718665,-3.7099315012846628,-4.158684930769903,-12.103033680030013,1.8110274352810602
1907,-0.9271620997252206,-5.04733420372177,-3.6741089299573364,-4.114846890903927,-11.989415045472507,1.7740370788357473
1908,-0.9138102290546013,-4.988052453882097,-3.6378743345380986,-4.1044846471756244,-11.799482223754127,1.8447394408962943
1909,-0.9005440342448545,-4.930068308734678,-3.6017366008094402,-4.0729280979137386,-11.57499263315505,1.9302844085476614
1910,-0.8874092242738496,-4.8717016967128695,-3.5654517582005045,-4.035104338783654,-11.392410563524779,1.9672564544460993
1911,-0.8745321847814735,-4.81276679872841,-3.5289903925462323,-4.0022016442094674,-11.214907585228664,2.0035834350369193
1912,-0.8617623095954929,-4.754257531994203,-3.492498606346233,-3.9706844997031645,-11.094051939054811,1.9851510085842823
1913,-0.8491383599550262,-4.695924022492576,-3.455940154373865,-4.029111064627056,-11.150676723265851,1.8794368781826714
1914,-0.8358470058993261,-4.643921992013006,-3.4202225064444196,-4.068222397505887,-10.945833736784216,2.022380165078423
1915,-0.8219732762773213,-4.594892327408645,-3.3848576493374853,-4.052468332782768,-10.742809383679457,2.111382202126763
1916,-0.8082121937151632,-4.544464292056077,-3.3492253776685903,-4.00496500608341,-10.827790957069327,1.8790759124539114
1917,-0.7950097714798043,-4.491202111951832,-3.313108696989014,-3.9560798009705125,-10.957600027408931,1.5978003539822314
1918,-0.7825094337213678,-4.435385611573646,-3.276532512531565,-3.908851822404709,-10.579236197879917,1.8240431823513723
1919,-0.7704510579611301,-4.378331022825656,-3.2396823982630156,-3.8623864075964325,-10.247628894175232,2.0032219924710013
1920,-0.7587569138327144,-4.3204207536734875,-3.2026109127051665,-3.815470658912562,-10.151106452890724,1.9461527862332084
1921,-0.7474018318896269,-4.26176410170198,-3.1653308297162557,-3.777175478049075,-10.047081154037304,1.9045910873196343
1922,-0.7360237423621685,-4.204182274613646,-3.128121909010966,-3.73400312506082,-9.937545185285583,1.8647858657620173
1923,-0.7249264622815055,-4.146034787736516,-3.090732269899215,-3.7158170162819277,-10.013819393184951,1.6636911430142145
1924,-0.7138179046519477,-4.089350831564338,-3.0534762193549607,-3.6919000479641975,-9.784431478166495,1.7641135253689504
