model,component,year,p5,p50,p95
BRICK-AM,ais,1850,-0.1933999273209763,0.10132627653276721,0.36899557227588536
BRICK-AM,ais,1851,-1.1609467460381988,-0.8693972712691046,-0.6036805147647704
BRICK-AM,ais,1852,-1.1585523206035158,-0.8701900505204478,-0.606797032209698
BRICK-AM,ais,1853,-1.1498688371268029,-0.8646868961519332,-0.6046137203331434
BRICK-AM,ais,1854,-1.1411764174734327,-0.8597887773959083,-0.6023587913677108
BRICK-AM,ais,1855,-1.1325465788478977,-0.8548682754644537,-0.6000582606516145
BRICK-AM,ais,1856,-1.1239062382046272,-0.8497906896450989,-0.597910048707294
BRICK-AM,ais,1857,-1.1155191649379808,-0.8449447878449499,-0.5966950179565255
BRICK-AM,ais,1858,-1.1069643674629674,-0.8400296914433689,-0.5955517466352721
BRICK-AM,ais,1859,-1.0983119539581947,-0.8340702671484663,-0.5941025745692473
BRICK-AM,ais,1860,-1.0897014012054367,-0.8278950744077624,-0.5923193754064319
BRICK-AM,ais,1861,-1.0811186184835384,-0.8219934645889816,-0.590337072006211
BRICK-AM,ais,1862,-1.0726004472076456,-0.8166240539555659,-0.5881824837730886
BRICK-AM,ais,1863,-1.064180244454858,-0.8114491404049426,-0.5862448255425539
BRICK-AM,ais,1864,-1.0557691851339142,-0.806723267773398,-0.5844687440094107
BRICK-AM,ais,1865,-1.0478111799663647,-0.8030763536512906,-0.5839078236053682
BRICK-AM,ais,1866,-1.03950019046672,-0.799240981059137,-0.582613716623738
BRICK-AM,ais,1867,-1.031007320202839,-0.7949109686796538,-0.580790007805291
BRICK-AM,ais,1868,-1.0224960783639252,-0.7900105551458916,-0.5786435004139259
BRICK-AM,ais,1869,-1.0140206656795396,-0.784924480744952,-0.5762816762915737
BRICK-AM,ais,1870,-1.0055761136053847,-0.7796913979699913,-0.5735236512724547
BRICK-AM,ais,1871,-0.9972101265205491,-0.7742782821627625,-0.5706791127020813
BRICK-AM,ais,1872,-0.9888950907944222,-0.7690503457714015,-0.5678034232900616
BRICK-AM,ais,1873,-0.980618269454917,-0.7637824991527842,-0.5648809739834689
BRICK-AM,ais,1874,-0.9724020710422504,-0.758497330895177,-0.5619330868889636
BRICK-AM,ais,1875,-0.9642459682270537,-0.7532449977456264,-0.5592474945839043
BRICK-AM,ais,1876,-0.9560356174669059,-0.7480423466345577,-0.5568539443288114
BRICK-AM,ais,1877,-0.947843797469644,-0.7428561193894502,-0.5544650563198247
BRICK-AM,ais,1878,-0.9397219856786375,-0.7377495291359439,-0.5520801630148139
BRICK-AM,ais,1879,-0.931568616338782,-0.7330641465682237,-0.5496151636594486
BRICK-AM,ais,1880,-0.9234485724509027,-0.7278862070977524,-0.5473071038203425
BRICK-AM,ais,1881,-0.9153013864947772,-0.7225745641535356,-0.5450702886511505
BRICK-AM,ais,1882,-0.9072447850872039,-0.7175885801869504,-0.5428938395116191
BRICK-AM,ais,1883,-0.8991785877480745,-0.7127718391049171,-0.5406442928775957
BRICK-AM,ais,1884,-0.8910898986238007,-0.7075535693946784,-0.5383942712968317
BRICK-AM,ais,1885,-0.8832991966434671,-0.7034005906462651,-0.5369206388631679
BRICK-AM,ais,1886,-0.8763704518454701,-0.7010821384124526,-0.5383403024504605
BRICK-AM,ais,1887,-0.8686395115333073,-0.6958565140882702,-0.5388829501923718
BRICK-AM,ais,1888,-0.8630889277918141,-0.6920706643790944,-0.5384300540097451
BRICK-AM,ais,1889,-0.856904372664876,-0.6872630826474092,-0.5374525386383857
BRICK-AM,ais,1890,-0.8487122017243837,-0.6827092184516851,-0.5360585864415598
BRICK-AM,ais,1891,-0.8403894119753214,-0.6781556206463797,-0.5337446108158919
BRICK-AM,ais,1892,-0.8314158807949183,-0.6730901427823147,-0.5305520875751794
BRICK-AM,ais,1893,-0.8233476714754224,-0.6681301534121261,-0.5288395302350113
BRICK-AM,ais,1894,-0.8163413483796741,-0.663166926421281,-0.526409167627146
BRICK-AM,ais,1895,-0.8082936330394178,-0.6577574671063761,-0.5239330967260871
BRICK-AM,ais,1896,-0.8001309412001255,-0.6525848692087313,-0.5210925219350819
BRICK-AM,ais,1897,-0.7919951135810609,-0.6474674975452405,-0.5179822018292384
BRICK-AM,ais,1898,-0.7838907428311191,-0.6424427022813579,-0.514843906517135
BRICK-AM,ais,1899,-0.7758376513742242,-0.6373528728036099,-0.5116959546988835
BRICK-AM,ais,1900,-0.7674539624863213,-0.6320999112014104,-0.5085348448164538
BRICK-AM,ais,1901,-0.7583802577145015,-0.6267930260981134,-0.505420119305786
BRICK-AM,ais,1902,-0.750415869156242,-0.6219396230499508,-0.5023307321367164
