draw,G_on,slope,ll_ind,ll_ar1,dis_2011_17,dis_2018_23,smb_2011_17,smb_2018_23,win_1979_1991,win_1992_2002,win_2003_2010,win_2011_2017,win_2018_2023,ll_win,provenance
1,NaN,0.0,-255.7890214950927,-293.75104928774516,-2006.6070622731863,-2040.4935673029784,1899.0668632247732,1919.047973504473,2.514657453381613,-8.293583259572458,23.58000297516554,16.180034220375305,52.27638353721049,-1.0573542849045576,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
1,0.45,0.0001,-255.1357925677549,-293.6968543278483,-2034.5749910695263,-2077.3511543813242,1899.0496273465035,1919.019613815708,8.430763783288313,-8.30148197421731,10.245238482704366,-4.988519621487228,22.21817141334236,-0.34862428932226686,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
1,0.6,0.0003,-256.0648548678156,-293.6721247351593,-2067.829650108191,-2128.449657363207,1899.0387026304413,1918.9944186617179,11.896445448606311,-4.836390512999785,-4.68776302453017,-35.66076562823959,-26.297918536628316,-1.0920770139805882,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
1,0.75,0.0006,-258.77431056699146,-294.1608548081311,-2083.5826404838576,-2171.0636256299113,1899.0437834974025,1918.9900201085247,7.9652340685654615,-3.273225732860925,-0.656895811446617,-55.34496738394641,-72.84309818337366,-2.732108990086737,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
2,NaN,0.0,-270.9417804369381,-297.83632219356383,-1753.475430999002,-1753.694128493008,1590.0402536164727,1581.950576695126,-19.659156799605245,-9.013097726146126,74.93165430382993,96.74291672041566,166.50707357303642,-14.394351756795142,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
2,0.45,0.0001,-266.63027531690915,-296.9194064452946,-1773.6487784832152,-1780.29079003739,1590.032167972263,1581.9379131094345,-15.394679298916227,-9.018106626164128,65.31698402241429,81.47036691642919,144.8112097088814,-10.58182362287158,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
2,0.6,0.0003,-261.96900903495305,-295.84131943129364,-1797.6204784260206,-1817.1404972974572,1590.0270573449836,1581.9266747404552,-12.898596478379927,-6.520688598275291,54.557063705130446,59.35842960825996,109.82126508345027,-6.311372423893527,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
2,0.75,0.0006,-260.9443627936132,-295.4378316354865,-1808.9599791555297,-1847.8441564799457,1590.0294595772832,1581.9247309556192,-15.731953013808647,-5.39579543434628,57.4667175131097,45.18557234332225,76.28424936553301,-4.732118933271092,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
3,NaN,0.0,-264.65743087890365,-296.1455314379625,-2148.551113651165,-2158.2179099059285,1969.7074121463545,1973.1599122889365,-13.419032367483016,-8.798189907546286,60.47703515543222,74.147043788519,134.4631018803822,-8.952100189921472,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
3,0.45,0.0001,-261.05890291954876,-295.40016332174395,-2171.0242791761334,-2187.837344085024,1969.693138350409,1973.1368274308618,-8.665751060676104,-8.804397347664072,49.762844726110046,57.136792530042925,110.3065819677789,-5.739802227259857,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
3,0.6,0.0003,-257.5411911442136,-294.53230651371484,-2197.7437719848117,-2228.897406207332,1969.684098870801,1973.1163237669978,-5.881339007188291,-6.02045095104801,37.76518019672315,32.49207880807076,71.3212989321775,-2.4926262555298706,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
3,0.75,0.0006,-257.33822798077006,-294.3210816222454,-2210.3991362896336,-2263.1354673236924,1969.6883175708886,1973.1127531887932,-9.03986174251266,-4.764665468043694,41.004140082984094,16.678191767924375,33.92471508049289,-1.603365331169209,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
4,NaN,0.0,-255.94286272612422,-293.80087173883635,-2130.681953894069,-2182.1176579842772,1980.5621872562226,2004.5322869339977,14.654419770713446,-7.973085797817766,-4.350127358782487,-27.128834232377784,-8.581683975959407,-0.8463601744948074,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
4,0.45,0.0001,-257.65970683568486,-294.27615068595674,-2154.4860906951385,-2213.477883665087,1980.5440018879021,2004.5021704059589,19.69232405884174,-7.980436724464633,-15.703038283931477,-45.14258206670719,-34.15152069002866,-2.192954880723317,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
4,0.6,0.0003,-261.07499970672393,-294.7614771539465,-2182.803533786474,-2256.9761346080636,1980.5324680940157,2004.4754045517636,22.645439964618298,-5.029433045057804,-28.423147078966764,-71.25939393840285,-75.44914041336551,-5.200134330486714,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
4,0.75,0.0006,-264.44713462377825,-295.43346924686,-2196.232392535912,-2293.2767657887293,1980.5378223333507,2004.4707209049022,19.29745979902568,-3.6965950069297433,-24.994381110062733,-88.03623285343322,-115.09775175962392,-7.633527828585208,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
5,NaN,0.0,-255.21110095870995,-293.59993001571536,-1857.7885076297268,-1897.0083098087082,1700.3799780172922,1714.4281415549146,6.3363565808136,-8.194282809201283,14.805023522565733,2.7038318713169645,33.46688403896249,-0.47008775813690273,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
5,0.45,0.0001,-255.36072730902293,-293.7226038509766,-1883.6963078628412,-1931.1623996498104,1700.3679886060418,1714.4084613055984,11.813322700036831,-8.200808655451077,2.456827914733907,-16.909788355855397,5.606974203802366,-0.46006675832382216,"diag_ais_dynamics_channel_profile.jl | tag L30 (5 draw(s)) | model discharge = ice_flux x 9.17e-10 Gt/yr, anomaly vs 1979-2008 | obs = IMBIE 2026 Antarctica dynamics anomaly (Otosaka et al. Sci Data 13:1301), SAME reference window | IND = independent per-year published sigma_dyn; AR1 = rho 0.8 on the same sigma; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted, reported for the choice | all other parameters FIXED, no refit | 2026-09-22T14:20:35.062"
