draw,smb_1979_1991,dis_1979_1991,dis_anom_1979_1991,smb_anom_1979_1991,rate_cm_yr_1979_1991,smb_1992_2002,dis_1992_2002,dis_anom_1992_2002,smb_anom_1992_2002,rate_cm_yr_1992_2002,smb_2003_2010,dis_2003_2010,dis_anom_2003_2010,smb_anom_2003_2010,rate_cm_yr_2003_2010,smb_2011_2017,dis_2011_2017,dis_anom_2011_2017,smb_anom_2011_2017,rate_cm_yr_2011_2017,smb_2018_2023,dis_2018_2023,dis_anom_2018_2023,smb_anom_2018_2023,rate_cm_yr_2018_2023,smb_1979_2008,dis_1979_2008,dis_anom_1979_2008,smb_anom_1979_2008,rate_cm_yr_1979_2008,smb_1992_2020,dis_1992_2020,dis_anom_1992_2020,smb_anom_1992_2020,rate_cm_yr_1992_2020,accel_2011_17_minus_1992_02,provenance
1,1834.9564909088242,-1903.1871443941602,22.305705918182184,-14.071608821824384,0.016086003792605316,1848.6601032640822,-1924.7898376705116,0.70301264183081,-0.36799646656641016,0.019418033354783922,1881.3934954068989,-1977.093724722912,-51.60087441056953,32.36539567625027,0.027672776894221984,1899.0339048931096,-2006.351913575231,-80.85906326288864,50.005805162461,0.032188352690563714,1918.9988129169906,-2040.10869136355,-114.61584105120755,69.97071318634198,0.037578707674007505,1849.0280997306486,-1925.4928503123424,0.0,0.0,0.019577177699577897,1876.7617875069902,-1970.2107612737846,-44.71791096144216,27.73368777634164,0.026555723001947338,0.012770319335779792,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
2,1746.24455463202,-1816.6268377187978,20.89237729697311,-6.848098932824541,0.016276085305506786,1752.951658442917,-1836.8442223425948,0.6749926731761207,-0.14099512192751718,0.02067746272964274,1768.7474329653237,-1885.8843531370937,-48.36513812132284,15.654779400479129,0.0315146643869571,1776.8511046261297,-1913.4015190254624,-75.88230400969155,23.758451061285086,0.03746821893412403,1785.755514613197,-1945.223364662128,-107.70414964635711,32.6628610483524,0.04458874678223701,1753.0926535648446,-1837.519215015771,0.0,0.0,0.020873191407421166,1766.3127548850493,-1879.4744334462296,-41.95521843045867,13.220101320204776,0.030063748940484056,0.016790756204481293,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
3,1881.5454973715366,-1979.921365267954,13.14977426416317,-8.639515426022172,0.0222693582156917,1893.049264657842,-1992.6161937805257,0.4549457515913673,2.864251860283275,0.023348310582400004,1904.2977660091885,-2023.5753673143206,-30.504227782203543,14.112753211629752,0.029748740651215633,1913.6774585579572,-2040.9048518200786,-47.83371228796159,23.49244576039837,0.03241312565388669,1924.0653874036097,-2060.884199418669,-67.81305988655208,33.880374606050964,0.03573785891013981,1890.1850127975588,-1993.071139532117,0.0,0.0,0.024141419121854746,1904.1537455858129,-2019.5042512060545,-26.433111673937447,13.968732788254101,0.02852225390089512,0.009064815071486685,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
4,1771.1723350150658,-1811.930242540799,12.64015776625888,20.56371722141921,0.01172353089827942,1749.0866248852506,-1824.2304761731727,0.33992413388523346,-1.5219929083959869,0.021399361303470702,1709.1370862912288,-1853.6693630505197,-29.098962743461698,-41.47153150241775,0.04153554962376266,1713.2256042520353,-1869.8608734290108,-45.2904731219528,-37.38301354161126,0.045827345005861844,1717.3151608383096,-1888.482490768277,-63.91209046121912,-33.29345695533698,0.051067685721029044,1750.6086177936465,-1824.570400307058,0.0,0.0,0.02119455723486041,1726.055648886569,-1849.6700488167598,-25.099648509701865,-24.552968907077457,0.035821707190416434,0.024427983702391142,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
5,1973.887213507574,-2040.5586181095941,18.05504132526403,5.301248081703989,0.016204661141011174,1970.9560647589735,-2058.0213368200657,0.5923226147924652,2.3700993331035534,0.021995698872768654,1953.4632985480798,-2100.415263179677,-41.80160374481875,-15.122666877790152,0.038352428876610445,1963.6615339312575,-2124.198725529134,-65.58506609427604,-4.924431494612463,0.042856005873683135,1974.6997854942801,-2151.791956002256,-93.17829656739787,6.1138200684101776,0.04839409819389906,1968.58596542587,-2058.613659434858,0.0,0.0,0.02271091006571524,1964.562334128144,-2094.8796828068853,-36.26602337202712,-4.0236312977260695,0.03416993161050826,0.020860307000914482,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
6,1959.5219483433016,-1995.3477163442874,17.49949530634308,13.10828688495235,0.009739241725467055,1945.2258800941977,-2012.3360789196233,0.5111327310071374,-1.1877813641515331,0.017948391123848415,1920.6243813682545,-2053.2341559992683,-40.386944348637826,-25.789280090094735,0.03564889002184435,1926.8392596440622,-2076.0273528724333,-63.18014122180284,-19.574401814287057,0.04058826862694463,1933.4465455758618,-2102.360330383564,-89.51311873293344,-12.967115882487406,0.0465905735786587,1946.4136614583492,-2012.8472116506305,0.0,0.0,0.017879121126737063,1932.667723824761,-2047.8186215478904,-34.971409897259946,-13.745937633588255,0.031145833910135055,0.022639877503096217,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
7,1764.883631382601,-1810.94409106462,6.971489286064298,16.722184128526123,0.012891868943950472,1747.145651208961,-1817.6980709254458,0.21750942523840422,-1.0157960451138024,0.02009895994136045,1713.869301826638,-1834.0356492836095,-16.120068932925278,-34.29214542743671,0.035318217312634015,1714.7949204271965,-1843.2345585667188,-25.318978216034566,-33.36652682687827,0.038671296411322116,1715.3075146827475,-1853.9425205621853,-36.02694021150114,-32.85393257132728,0.04285794933568399,1748.1614472540748,-1817.9155803506842,0.0,0.0,0.019992243232964668,1726.8611671796841,-1831.9194688824068,-14.003888531722623,-21.300280074390685,0.03105513338681897,0.018572336469961665,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
8,2079.217146573111,-2108.289263162881,4.279450292795445,20.78826902160199,0.009653437670516133,2056.2154334716033,-2112.5028011964346,0.06591225924194077,-2.213444079905912,0.018432693029100312,2018.1417212104523,-2122.3195295011506,-9.75081604547404,-40.28715634105697,0.03479166979120374,2028.2869819896362,-2127.6834853348346,-15.11477187915807,-30.14189556187307,0.03515820378834197,2039.569519051094,-2133.8985519387666,-21.329838483090043,-18.859358500415283,0.03584820896731511,2058.4288775515092,-2112.5687134556765,0.0,0.0,0.017910655523046826,2037.0459830756777,-2120.973310313,-8.404596857323668,-21.382894475831563,0.028771064779169235,0.016725510759241655,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
9,1935.9491977684052,-1995.4415711197112,9.902264306344023,15.63701936012103,0.014744177751041958,1918.7305567644862,-2005.0132473234603,0.330588102594902,-1.5816216437979165,0.021565197960704552,1889.7451882870312,-2028.280618434897,-22.936783008841758,-30.566990121252957,0.03551566343507756,1895.7803145552382,-2041.3895895839937,-36.04575415793852,-24.531863853045934,0.03800455497679251,1902.4623495485478,-2056.6623459732878,-51.31851054723256,-17.849828859736363,0.04111847631221299,1920.3121784082841,-2005.3438354260552,0.0,0.0,0.02137960775177472,1903.3923204752791,-2025.2718381292011,-19.92800270314592,-16.919857933005005,0.031344922552896344,0.01643935701608796,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
10,1869.2401443293975,-1927.024001486578,8.85558481372891,19.98980247468853,0.01440958495673503,1843.6421002089692,-1935.633394694614,0.24619160569295673,-5.608241645739781,0.02315436694429311,1816.5300092407213,-1956.2892334617322,-20.409647161425255,-32.72033261398769,0.03692959977665,1820.9369467146917,-1967.6787323310211,-31.799146030714155,-28.313395140017292,0.039995213182881476,1825.5625221167004,-1980.7631248040473,-44.88353850374028,-23.687819738008557,0.04373342735718433,1849.250341854709,-1935.879586300307,0.0,0.0,0.022095637651911026,1828.7325176172894,-1953.493835519658,-17.614249219350995,-20.517824237419518,0.03307897711183454,0.016840846238588364,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
