,L26_2026,L26_2027,L26_2028,L26_2029,L27_2026,L27_2027,L27_2028,L27_2029
ais_ocean_temperature₀,0.9953971727181818,1.0509282866203855,1.0215516195323366,1.0861985488656627,0.9405992777430685,0.9426487940804913,0.9245339500941099,0.9458495311120092
antarctic_alpha,0.41598250391726244,0.3276156013961775,0.44439236872742705,0.46548523444183443,0.3135647442640481,0.3133161690146426,0.39219789298755614,0.3492476434615957
anto_alpha,0.2873153042286406,0.3894091196721239,0.33954532974294055,0.2393308435902989,0.39256002615444197,0.35075496611766405,0.3842165732959293,0.39394538842343163
anto_beta,0.9245981294766524,0.7471323504127031,0.6930027224515503,0.7541840850462413,0.9914735693823746,1.0674775197921518,1.0073401675849825,0.9895443350462341
ais_gmst_amp,1.0966976933054235,1.0778140847876307,1.0826003131999666,1.0875702069587307,1.082263933969725,1.0735354566833863,1.071266960661346,1.0773036028298186
ais_slope,0.0006175616000300001,0.0006165521384723499,0.0006125300689299,0.0006487706403196,0.0006128720777439499,0.0006112153122571,0.0006053475914099,0.0006055207454686499
ais_iceflow0,1.147463795713712,1.2103363351295147,1.274632270439716,0.8734325402139574,1.1539739038744197,1.1744644885914037,1.2418388350846992,1.2363847475594363
ais_precip_u,-1.631457105617471,-1.6574986697472958,-1.6916986534482887,-1.6570997640402454,-1.6697023844120915,-1.6549392903131137,-1.6907165451386579,-1.6778038596217963
ais_runoff_Ton,-19.148674949492158,-17.84828663001727,-16.908125222300725,-17.808307487339107,-17.697514232564934,-17.874147870416977,-12.01009021580927,-17.576171353286963
ais_c,81.92864925594262,85.64739136010257,92.48337715043394,81.91884246323272,90.08622097194086,84.14018361849932,106.36546042623108,93.4952838570711
