window,frederikse_total_accel,dang_accel,ratio,difference
1950-2018,0.006237873,0.005580129,0.894556414,-0.000657744
1954-2018,0.006588188,0.006082762,0.923283031,-0.000505426
1958-2018,0.007460340,0.006702016,0.898352591,-0.000758324
1962-2018,0.007620538,0.007266489,0.953540121,-0.000354049
1966-2018,0.007460952,0.007566666,1.014169055,0.000105715
1970-2018,0.008324940,0.007730571,0.928603846,-0.000594369
1974-2018,0.009557469,0.007579245,0.793017989,-0.001978224
1978-2018,0.010852872,0.008175621,0.753314099,-0.002677251
1982-2018,0.012260114,0.009556984,0.779518340,-0.002703130
1986-2018,0.010770732,0.010464891,0.971604426,-0.000305841
1990-2018,0.008100603,0.012359416,1.525740165,0.004258813
1994-2018,0.010009899,0.013145507,1.313250761,0.003135608
1998-2018,0.023314708,0.012275551,0.526515317,-0.011039157
