scenario,estimator,dt_bin,n_models,median,lo95,hi95
ssp126,secant,0.75,40,1.528168462058511,1.359925078703539,1.6758456016468175
ssp126,secant,1.25,40,1.4586358010250267,1.3004056013724492,1.6195794481851586
ssp126,secant,1.75,35,1.4199228688573988,1.3523965542256369,1.5809459471127645
ssp126,secant,2.25,21,1.3841162437263579,1.3315637618393905,1.491781300659579
ssp126,secant,2.75,9,1.5962593776683072,1.2320730113453355,2.146070354187217
ssp245,secant,0.75,40,1.4909571630931882,1.3216110720198508,1.6886142220341642
ssp245,secant,1.25,40,1.5072334281045485,1.3338361203895486,1.6270567127699924
ssp245,secant,1.75,40,1.4450116036680232,1.24577781098562,1.4872610813505198
ssp245,secant,2.25,39,1.3396721298400518,1.2159205971062008,1.4820189532740842
ssp245,secant,2.75,27,1.3269547029508086,1.1959663501225686,1.4695028422941714
ssp245,secant,3.25,18,1.3802239876945563,1.143533269368727,1.5097701656570124
ssp245,secant,3.75,10,1.4662670470994306,1.110927783970895,1.6544118214393813
ssp585,secant,0.75,40,1.489306316299261,1.3235597924689264,1.663322796393721
ssp585,secant,1.25,40,1.4636750738150583,1.2975072938902854,1.575369263669296
ssp585,secant,1.75,40,1.361077431298729,1.2667759194459483,1.4466529890621835
ssp585,secant,2.25,40,1.3402286139863342,1.2261681474235773,1.3962152400512604
ssp585,secant,2.75,40,1.302968824148437,1.222593779899946,1.3687163761421701
ssp585,secant,3.25,39,1.3108861923191988,1.2240060247902897,1.3717896459786474
ssp585,secant,3.75,34,1.3148207267855359,1.2290943343749625,1.3947301107835162
ssp585,secant,4.25,25,1.3014764432937875,1.2100118562158508,1.437589594533802
ssp585,secant,4.75,21,1.2511578814809994,1.195359544946958,1.4320442886761229
ssp585,secant,5.25,14,1.2199754347113823,1.0893303716725873,1.3567495415926778
ssp585,secant,5.75,7,1.2332423555240508,1.024546162255881,1.5592834402751952
ssp126,slope,0.75,40,1.5003452465237523,1.327706592296133,1.6611293800604001
ssp126,slope,1.25,40,1.442723616627159,1.289203039865059,1.611095139428041
ssp126,slope,1.75,35,1.4087719407699089,1.3665285145058639,1.5810989338670547
ssp126,slope,2.25,21,1.3821586611009544,1.3280526640866859,1.5175688065749715
ssp126,slope,2.75,9,1.6061159558118714,1.230820842105216,2.1447990526032736
ssp245,slope,0.75,40,1.5150678422106236,1.2825869262405987,1.6867688584235916
ssp245,slope,1.25,40,1.5008080656700526,1.302748870985111,1.604910264094952
ssp245,slope,1.75,40,1.4324525127599368,1.2401895792432747,1.4747379451125933
ssp245,slope,2.25,39,1.3565519548398743,1.2310223521945824,1.4752402134910463
ssp245,slope,2.75,27,1.3311038298388698,1.1944240473291663,1.4586644131573616
ssp245,slope,3.25,18,1.3825889563485723,1.1375883754785874,1.5144537147383619
ssp245,slope,3.75,10,1.4657974825943514,1.1114579025048137,1.660148008368592
ssp585,slope,0.75,40,1.4201644137967189,1.3328910425427627,1.6480826552260703
ssp585,slope,1.25,40,1.436103421982825,1.271767617746437,1.5341387261410067
ssp585,slope,1.75,40,1.3489380483480473,1.2647060495931672,1.4330929924378348
ssp585,slope,2.25,40,1.3219866520012062,1.2134462727017112,1.3754693719104236
ssp585,slope,2.75,40,1.3055132685659405,1.221111985096408,1.3605737675064273
ssp585,slope,3.25,39,1.31443566081433,1.2260053375937654,1.370723252314473
ssp585,slope,3.75,34,1.3111183615595143,1.2391858699407488,1.4047804160807211
ssp585,slope,4.25,25,1.2956348311633883,1.2093949570308162,1.4431934668836188
ssp585,slope,4.75,21,1.250236016735013,1.1889705293950628,1.4327339710382512
ssp585,slope,5.25,14,1.2190338087234853,1.0925721594442395,1.3533453491205483
ssp585,slope,5.75,7,1.23589221456949,1.0247181488969428,1.5496446414804517
