test,metric,value
T1,hindcast_resid_max_diff_cm,0.0
T1,swap_nlp_cost,44.20170669765923
T2,tau_fast@T=-1.0,220.84513014403518
T2,tau_slow@T=-1.0,inf
T2,tau_fast@T=0.0,135.66201707713472
T2,tau_slow@T=0.0,1000000.0
T2,tau_fast@T=1.0,97.90042743326617
T2,tau_slow@T=1.0,141.2387485681922
T2,tau_fast@T=2.0,76.58340008853041
T2,tau_slow@T=2.0,70.62436173233085
T2,tau_fast@T=4.0,53.350234687682395
T2,tau_slow@T=4.0,35.31342786031703
T2,alpha_f_minus_alpha_s,-0.00423601
T2,crossover_T_south_K,1.7399061853017344
T3,nlp_unconstrained,17.855909627720102
T3,nlp_ordered,17.923268849312148
T3,ordering_cost_nlp,0.06735922159204577
T3,ordered_rmse_cm,0.06039118561936125
