ism,exp,gcm,ssp,protocol,rate_mm_yr,cm_2100
AWI_ISSM1,expb01,CNRM-CM6-1,ssp585,standard,0.4723076246377519,12.537109851837158
AWI_ISSM1,expb02,CNRM-CM6-1,ssp126,standard,0.41935658287804795,4.187563434243202
AWI_ISSM1,expb03,UKESM1-0-LL,ssp585,standard,0.732709288593683,18.27692836523056
AWI_ISSM1,expb04,CESM2,ssp585,standard,0.8480658278345158,18.108515441417694
AWI_ISSM1,expb05,CNRM-ESM2-1,ssp585,standard,0.4903507566161673,11.853775382041931
AWI_ISSM2,expb01,CNRM-CM6-1,ssp585,standard,0.48767624128445547,12.735740840435028
AWI_ISSM2,expb02,CNRM-CM6-1,ssp126,standard,0.4311672562514158,4.257453233003616
AWI_ISSM2,expb03,UKESM1-0-LL,ssp585,standard,0.7564805160012945,18.445314466953278
AWI_ISSM2,expb04,CESM2,ssp585,standard,0.8647425161410972,18.20584088563919
AWI_ISSM2,expb05,CNRM-ESM2-1,ssp585,standard,0.5048157113111195,12.042675167322159
AWI_ISSM3,expb01,CNRM-CM6-1,ssp585,standard,0.4972279369694126,12.792199850082397
AWI_ISSM3,expb02,CNRM-CM6-1,ssp126,standard,0.43818377889692783,4.323568567633629
AWI_ISSM3,expb03,UKESM1-0-LL,ssp585,standard,0.7689370200644001,18.497344851493835
AWI_ISSM3,expb04,CESM2,ssp585,standard,0.8719074071182952,18.21025311946869
AWI_ISSM3,expb05,CNRM-ESM2-1,ssp585,standard,0.5130573489997701,12.09607645869255
BGC_BISICLES,expb06,CNRM-CM6-1,ssp585,open,0.34845015376477556,10.358215868473053
BGC_BISICLES,expb07,CNRM-CM6-1,ssp126,open,0.35656679435359206,3.6259185522794724
BGC_BISICLES,expb08,UKESM1-0-LL,ssp585,open,0.5712482881041497,16.88559800386429
GSFC_ISSM,expb01,CNRM-CM6-1,ssp585,standard,0.6394065224894268,14.255811274051666
GSFC_ISSM,expb02,CNRM-CM6-1,ssp126,standard,0.5361238419187858,5.2132997661828995
ILTS_PIK_SICOPOLIS2,expb01,CNRM-CM6-1,ssp585,standard,0.5848872961531228,13.9293372631073
ILTS_PIK_SICOPOLIS2,expb02,CNRM-CM6-1,ssp126,standard,0.5009092428201043,4.817695170640945
ILTS_PIK_SICOPOLIS2,expb03,UKESM1-0-LL,ssp585,standard,0.8601797293094398,20.734043419361115
ILTS_PIK_SICOPOLIS2,expb04,CESM2,ssp585,standard,0.9307337547317516,19.165772199630737
ILTS_PIK_SICOPOLIS2,expb05,CNRM-ESM2-1,ssp585,standard,0.5907035755466067,13.36633563041687
ILTS_PIK_SICOPOLIS3,expb01,CNRM-CM6-1,ssp585,standard,0.5515258885947439,13.96450400352478
ILTS_PIK_SICOPOLIS3,expb02,CNRM-CM6-1,ssp126,standard,0.48817678094458056,4.826110228896141
ILTS_PIK_SICOPOLIS3,expb03,UKESM1-0-LL,ssp585,standard,0.8450180616551627,20.785923302173615
ILTS_PIK_SICOPOLIS3,expb04,CESM2,ssp585,standard,0.9192401586433869,19.29149478673935
ILTS_PIK_SICOPOLIS3,expb05,CNRM-ESM2-1,ssp585,standard,0.5842184926972122,13.395550847053528
IMAU_IMAUICE2,expb01,CNRM-CM6-1,ssp585,standard,0.7038432728115689,15.832114219665527
IMAU_IMAUICE2,expb02,CNRM-CM6-1,ssp126,standard,0.5981808131122414,5.72022944688797
IMAU_IMAUICE2,expb03,UKESM1-0-LL,ssp585,standard,1.1568743121803409,24.975231289863586
IMAU_IMAUICE2,expb05,CNRM-ESM2-1,ssp585,standard,0.7833276279544568,15.094251930713654
JPL_ISSMPALEO,expb01,CNRM-CM6-1,ssp585,standard,0.21503378828877912,8.370107412338257
JPL_ISSMPALEO,expb02,CNRM-CM6-1,ssp126,standard,0.18330007151234895,1.834409311413765
JPL_ISSMPALEO,expb03,UKESM1-0-LL,ssp585,standard,0.5041669544024283,13.698717951774597
JPL_ISSMPALEO,expb05,CNRM-ESM2-1,ssp585,standard,0.2208160027187071,7.665090262889862
JPL_ISSM,expb01,CNRM-CM6-1,ssp585,standard,0.5585410844479852,13.302361965179443
JPL_ISSM,expb02,CNRM-CM6-1,ssp126,standard,0.48136675340013907,4.78333905339241
JPL_ISSM,expb03,UKESM1-0-LL,ssp585,standard,0.8645247724095552,19.44543719291687
JPL_ISSM,expb04,CESM2,ssp585,standard,0.9408478168445393,18.806563317775726
JPL_ISSM,expb05,CNRM-ESM2-1,ssp585,standard,0.5781749838634449,12.723487615585327
LSCE_GRISLI2,expb01,CNRM-CM6-1,ssp585,standard,0.36416688988752227,9.580837935209274
LSCE_GRISLI2,expb02,CNRM-CM6-1,ssp126,standard,0.34486272488720715,2.988831140100956
LSCE_GRISLI2,expb03,UKESM1-0-LL,ssp585,standard,0.5539453319643679,14.940948784351349
