year,component,imbie_level_cm,imbie_level_sd,imbie_rate_cm_yr,imbie_smb_rate,imbie_dyn_rate,target_level_cm,ladrillo_p50,brick20_p50,provenance
1979,AIS,-0.3407749722636363,0.026898916699999997,0.015670694399999997,-0.0207569716,0.036427666,-0.34077497226363634,-0.3531275746348542,-0.6508898002725697,"diag_imbie2026_vs_targets.py | tag L29 | IMBIE 2026 (Otosaka et al. Sci Data 13:1301; PDC 10.5285/128c5e33) annual means of monthly rates | targets recalib_targets_ext.csv (Frederikse 2020 <= 2018, GRACE-FO after) | target bar = Frederikse ensemble spread of the difference (+ 0.05/0.03 cm/yr GRACE sigma in quadrature past 2018) | model postpred_L29 / postpred_oldbrick | cm SLE, +=rise, rel 1995-2005 | commit a539557"
1980,AIS,-0.3345863610636363,0.029915555599999998,0.0061886111,-0.02075930905833333,0.026947920158333333,-0.3345863610636364,-0.3391828598178077,-0.6180005516960567,"diag_imbie2026_vs_targets.py | tag L29 | IMBIE 2026 (Otosaka et al. Sci Data 13:1301; PDC 10.5285/128c5e33) annual means of monthly rates | targets recalib_targets_ext.csv (Frederikse 2020 <= 2018, GRACE-FO after) | target bar = Frederikse ensemble spread of the difference (+ 0.05/0.03 cm/yr GRACE sigma in quadrature past 2018) | model postpred_L29 / postpred_oldbrick | cm SLE, +=rise, rel 1995-2005 | commit a539557"
1981,AIS,-0.3345805555636363,0.0320906111,5.81e-06,-0.05234794233333334,0.05235374784166667,-0.33458055556363636,-0.3259313779383031,-0.5857091930338544,"diag_imbie2026_vs_targets.py | tag L29 | IMBIE 2026 (Otosaka et al. Sci Data 13:1301; PDC 10.5285/128c5e33) annual means of monthly rates | targets recalib_targets_ext.csv (Frederikse 2020 <= 2018, GRACE-FO after) | target bar = Frederikse ensemble spread of the difference (+ 0.05/0.03 cm/yr GRACE sigma in quadrature past 2018) | model postpred_L29 / postpred_oldbrick | cm SLE, +=rise, rel 1995-2005 | commit a539557"
1982,AIS,-0.3285667777636363,0.0340678056,0.0060137778,-0.028348404299999998,0.0343621821,-0.32856677776363635,-0.31143837608551367,-0.5535150020790632,"diag_imbie2026_vs_targets.py | tag L29 | IMBIE 2026 (Otosaka et al. Sci Data 13:1301; PDC 10.5285/128c5e33) annual means of monthly rates | targets recalib_targets_ext.csv (Frederikse 2020 <= 2018, GRACE-FO after) | target bar = Frederikse ensemble spread of the difference (+ 0.05/0.03 cm/yr GRACE sigma in quadrature past 2018) | model postpred_L29 / postpred_oldbrick | cm SLE, +=rise, rel 1995-2005 | commit a539557"
1983,AIS,-0.3240799999636363,0.0358941389,0.004486805600000001,0.013596971500000003,-0.009110165991666667,-0.32407999996363634,-0.29694310738043983,-0.5220575174831741,"diag_imbie2026_vs_targets.py | tag L29 | IMBIE 2026 (Otosaka et al. Sci Data 13:1301; PDC 10.5285/128c5e33) annual means of monthly rates | targets recalib_targets_ext.csv (Frederikse 2020 <= 2018, GRACE-FO after) | target bar = Frederikse ensemble spread of the difference (+ 0.05/0.03 cm/yr GRACE sigma in quadrature past 2018) | model postpred_L29 / postpred_oldbrick | cm SLE, +=rise, rel 1995-2005 | commit a539557"
1984,AIS,-0.3281323055636363,0.0376180556,-0.0040523056,-0.03176801158333333,0.02771570608333333,-0.3281323055636364,-0.28362440587923293,-0.490083214910577,"diag_imbie2026_vs_targets.py | tag L29 | IMBIE 2026 (Otosaka et al. Sci Data 13:1301; PDC 10.5285/128c5e33) annual means of monthly rates | targets recalib_targets_ext.csv (Frederikse 2020 <= 2018, GRACE-FO after) | target bar = Frederikse ensemble spread of the difference (+ 0.05/0.03 cm/yr GRACE sigma in quadrature past 2018) | model postpred_L29 / postpred_oldbrick | cm SLE, +=rise, rel 1995-2005 | commit a539557"
1985,AIS,-0.3299324166636363,0.0392914444,-0.0018001111,-0.027541283583333333,0.025741172483333335,-0.3299324166636364,-0.27171038684303656,-0.4558640785930611,"diag_imbie2026_vs_targets.py | tag L29 | IMBIE 2026 (Otosaka et al. Sci Data 13:1301; PDC 10.5285/128c5e33) annual means of monthly rates | targets recalib_targets_ext.csv (Frederikse 2020 <= 2018, GRACE-FO after) | target bar = Frederikse ensemble spread of the difference (+ 0.05/0.03 cm/yr GRACE sigma in quadrature past 2018) | model postpred_L29 / postpred_oldbrick | cm SLE, +=rise, rel 1995-2005 | commit a539557"
1986,AIS,-0.3128356388636363,0.040893472199999996,0.017096777799999997,0.014849929866666667,0.002246847933333333,-0.31283563886363636,-0.25852702391930354,-0.42148012031095367,"diag_imbie2026_vs_targets.py | tag L29 | IMBIE 2026 (Otosaka et al. Sci Data 13:1301; PDC 10.5285/128c5e33) annual means of monthly rates | targets recalib_targets_ext.csv (Frederikse 2020 <= 2018, GRACE-FO after) | target bar = Frederikse ensemble spread of the difference (+ 0.05/0.03 cm/yr GRACE sigma in quadrature past 2018) | model postpred_L29 / postpred_oldbrick | cm SLE, +=rise, rel 1995-2005 | commit a539557"
1987,AIS,-0.2772240555636363,0.04245725,0.0356115833,0.05574786655833334,-0.020136283258333335,-0.27722405556363633,-0.24453077318656177,-0.3887039495731156,"diag_imbie2026_vs_targets.py | tag L29 | IMBIE 2026 (Otosaka et al. Sci Data 13:1301; PDC 10.5285/128c5e33) annual means of monthly rates | targets recalib_targets_ext.csv (Frederikse 2020 <= 2018, GRACE-FO after) | target bar = Frederikse ensemble spread of the difference (+ 0.05/0.03 cm/yr GRACE sigma in quadrature past 2018) | model postpred_L29 / postpred_oldbrick | cm SLE, +=rise, rel 1995-2005 | commit a539557"
1988,AIS,-0.2394074999636363,0.043946416700000004,0.03781655560000001,0.017016019116666666,0.02080053639166667,-0.23940749996363633,-0.23014950705614207,-0.3566866173437145,"diag_imbie2026_vs_targets.py | tag L29 | IMBIE 2026 (Otosaka et al. Sci Data 13:1301; PDC 10.5285/128c5e33) annual means of monthly rates | targets recalib_targets_ext.csv (Frederikse 2020 <= 2018, GRACE-FO after) | target bar = Frederikse ensemble spread of the difference (+ 0.05/0.03 cm/yr GRACE sigma in quadrature past 2018) | model postpred_L29 / postpred_oldbrick | cm SLE, +=rise, rel 1995-2005 | commit a539557"
