product,year,spliced_mm,offset_mm,sd_mm,range_mm
NOAA STAR (current anchor),2022,73.05210406917305,0.3659846661879751,,
NOAA STAR (current anchor),2023,78.85436304456636,0.3659846661879751,,
NOAA STAR (current anchor),2024,82.25314682835013,0.3659846661879751,,
IGCC altimetry ensemble mean,2022,76.18877018566883,12.354528685668837,,
IGCC altimetry ensemble mean,2023,82.33151740566882,12.354528685668837,,
IGCC altimetry ensemble mean,2024,85.92289598566884,12.354528685668837,,
IGCC AVISO,2022,78.52127866429383,11.023281684293838,,
IGCC AVISO,2023,84.56281649429384,11.023281684293838,,
IGCC AVISO,2024,87.82088947429385,11.023281684293838,,
IGCC NASA,2022,74.50262821735633,12.93620413735634,,
IGCC NASA,2023,80.06814059735635,12.93620413735634,,
IGCC NASA,2024,83.97736552735634,12.93620413735634,,
IGCC NOAA  <-- SUSPECT HEADER,2022,75.54240366873132,13.723086158731338,,
IGCC NOAA  <-- SUSPECT HEADER,2023,82.36359510873135,13.723086158731338,,
IGCC NOAA  <-- SUSPECT HEADER,2024,85.97043294873133,13.723086158731338,,
SPREAD[ALL THREE products],2022,,,2.085840383919655,4.0186504469374995
SPREAD[ALL THREE products],2023,,,2.247509641618849,4.494675896937494
SPREAD[ALL THREE products],2024,,,1.9222028782027385,3.843523946937509
SPREAD[WITHOUT the suspect NOAA column],2022,,,2.841614982247856,4.0186504469374995
SPREAD[WITHOUT the suspect NOAA column],2023,,,3.17821580596023,4.494675896937494
SPREAD[WITHOUT the suspect NOAA column],2024,,,2.7177818465323966,3.843523946937509
