model,scenario,mask,pai
ACCESS-ESM1-5,ssp245,land60,1.0649771594579207
ACCESS-ESM1-5,ssp245,cap60,0.923646323818848
ACCESS-ESM1-5,ssp245,cap66,1.0983682469850395
ACCESS-ESM1-5,ssp585,land60,1.2152927546178354
ACCESS-ESM1-5,ssp585,cap60,1.0835769901189027
ACCESS-ESM1-5,ssp585,cap66,1.2666196679324326
CESM2,ssp245,land60,1.5563166049775017
CESM2,ssp245,cap60,1.5130871328374293
CESM2,ssp245,cap66,1.6346368830133207
CESM2,ssp585,land60,1.3471387272483228
CESM2,ssp585,cap60,1.2319935728068645
CESM2,ssp585,cap66,1.376569463488803
CanESM5,ssp245,land60,1.046570552221561
CanESM5,ssp245,cap60,1.0231704246950295
CanESM5,ssp245,cap66,1.0619061861592252
CanESM5,ssp585,land60,1.1987366179872794
CanESM5,ssp585,cap60,1.1467007211285023
CanESM5,ssp585,cap66,1.239859031144189
GFDL-ESM4,ssp245,land60,1.2506946844031364
GFDL-ESM4,ssp245,cap60,0.9284968497263844
GFDL-ESM4,ssp245,cap66,1.0408210903345363
GFDL-ESM4,ssp585,land60,1.3327515405065962
GFDL-ESM4,ssp585,cap60,1.06135922769133
GFDL-ESM4,ssp585,cap66,1.199666693043955
MIROC6,ssp245,land60,0.6815493117493733
MIROC6,ssp245,cap60,0.2981581652061227
MIROC6,ssp245,cap66,0.3916683985431318
MIROC6,ssp585,land60,0.8660400013088103
MIROC6,ssp585,cap60,0.44596936942855453
MIROC6,ssp585,cap66,0.586970745114783
UKESM1-0-LL,ssp245,land60,0.9564132418655173
UKESM1-0-LL,ssp245,cap60,0.8259264691644157
UKESM1-0-LL,ssp245,cap66,0.944378239356303
UKESM1-0-LL,ssp585,land60,1.008862692081309
UKESM1-0-LL,ssp585,cap60,0.9138135207847407
UKESM1-0-LL,ssp585,cap66,1.0356739650977989
