year,sum_components,total_target,residual,term_budget_closure,term_reconstruction,frederikse_gmsl,dang_sigma
1900,-14.086704423752698,-13.937918849348067,-0.1487855744046307,0.18965921261093932,-0.33844478701557,-14.276363636363637,2.4597138732746204
1901,-13.802326085892592,-13.717743189686836,-0.08458289620575599,-0.05602945503913581,-0.028553441166620175,-13.746296630853456,2.446284107266159
1902,-13.619923570481212,-13.307361420412224,-0.31256215006898813,1.3304911418714056,-1.6430532919403937,-14.950414712352618,2.433004138446053
1903,-13.633531930771742,-13.366047505500095,-0.26748442527164684,0.2269226146828025,-0.49440703995444935,-13.860454545454544,2.4188342180260767
1904,-13.614960935440932,-13.401862591297018,-0.21309834414391382,0.18912742251169412,-0.40222576665560794,-13.804088357952626,2.3960329255818666
1905,-13.510273435440933,-13.311246733632538,-0.19902670180839444,-0.5392800871127044,0.34025338530430993,-12.970993348328228,2.373890657824411
1906,-13.677141549912365,-13.567440039263271,-0.10970151064909395,0.762403904633091,-0.872105415282185,-14.439545454545456,2.3617651932491266
1907,-13.670674589005383,-13.430518857797503,-0.2401557312078797,0.0888708655400734,-0.3290265967479531,-13.759545454545457,2.3492166671546313
1908,-13.502958085862073,-13.478100215899776,-0.024857869962296775,1.7585366934617142,-1.783394563424011,-15.261494779323787,2.3368764355132403
1909,-13.388185956803236,-13.127202387002756,-0.2609835698004801,1.395515369354813,-1.6564989391552931,-14.783701326158049,2.321061015370971
1910,-13.31629083427516,-12.93222376754998,-0.38406706672518,1.2615915719652424,-1.6456586386904224,-14.577882406240402,2.307656417914395
1911,-13.183547284928238,-12.7859735900405,-0.39757369488773797,-0.11627455765551176,-0.2812991372322262,-13.067272727272726,2.29459648257
1912,-13.063361242142593,-12.504873544685172,-0.5584876974574211,-0.8007891664362354,0.24230146897881433,-12.262572075706357,2.2828067143514876
1913,-13.003081586686045,-12.481187939747365,-0.5218936469386808,-1.4517671738841145,0.9298735269454337,-11.551314412801931,2.2698971731707305
1914,-12.621427610245618,-12.215842947480144,-0.4055846627654738,-1.3239106900429363,0.9183260272774625,-11.297516920202682,2.257320686581496
1915,-12.313950898972426,-11.887195821280873,-0.42675507769155274,-1.3594054444269688,0.932650366735416,-10.954545454545457,2.243742586693424
1916,-12.387837484208022,-11.995727195056803,-0.39211028915121915,1.205386187333099,-1.5974964764843183,-13.593223671541121,2.232371418747604
1917,-12.454024293747814,-12.29178087162002,-0.1622434221277942,0.17052208331747742,-0.3327655054452716,-12.624546377065291,2.2208111545573908
1918,-12.109061887589368,-11.69048315752298,-0.4185787300663879,0.10056519115574325,-0.5191439212221312,-12.209627078745111,2.208656870550042
1919,-11.842429521408949,-11.250664952584469,-0.5917645688244804,-0.2847022486816755,-0.3070623201428049,-11.557727272727274,2.196724271158615
1920,-11.811042192307387,-11.224365852032273,-0.5866763402751136,-1.058557323503738,0.4718809832286244,-10.752484868803649,2.1858703420860675
1921,-11.79240281852809,-11.325210959935976,-0.46719185859211443,-1.0134572442299081,0.5462653856377937,-10.778945574298183,2.173210513841959
1922,-11.77802408012477,-11.200481604358236,-0.5775424757665331,-0.8871748015446226,0.3096323257780895,-10.890849278580147,2.161515884138626
1923,-11.865414598313246,-11.352617614839804,-0.5127969834734412,0.5030578860754495,-1.0158548695488907,-12.368472484388695,2.1492466469374962
1924,-11.599764612046156,-11.075476495691149,-0.5242881163550077,0.23205356977202563,-0.7563416861270333,-11.831818181818182,2.1304540934636096
1925,-11.406360795823009,-11.202160503297453,-0.20420029252555594,0.9153177181445837,-1.1195180106701397,-12.321678513967592,2.1181607375383407
1926,-11.187477948990734,-11.233488262164094,0.04601031317336002,1.2232986886031778,-1.1772883754298178,-12.410776637593912,2.1055222214627127
1927,-11.040988805619154,-11.300538775892718,0.2595499702735644,0.670074319759836,-0.4105243494862716,-11.71106312537899,2.093760362964563
1928,-10.586436441269788,-10.99322183443144,0.40678539316165185,1.398607243258235,-0.9918218500965832,-11.985043684528023,2.082029855507013
1929,-10.268717696991834,-10.474411885506226,0.2056941885143928,1.7428646529980139,-1.537170464483621,-12.011582349989848,2.070354402692162
1930,-9.952690770951186,-10.184452568299797,0.2317617973486108,1.5927545098809777,-1.3609927125323669,-11.545445280832164,2.0585366854199445
1931,-9.600966956940564,-9.757755545159595,0.1567885882190314,1.897214861241256,-1.7404262730222246,-11.49818181818182,2.0445899665278535
1932,-9.382145192948256,-9.504605049194335,0.12245985624607947,0.629584098664191,-0.5071242424181115,-10.011729291612447,2.0317992428899876
1933,-9.134981944886121,-9.253040811952236,0.11805886706611446,1.585255381330704,-1.4671965142645895,-10.720237326216825,2.0200357018822284
1934,-9.013294675675308,-9.50095201756966,0.4876573418943515,3.0045091838362694,-2.516851841941918,-12.017803859511577,2.006278936337446
1935,-8.83879363807765,-8.699684359075338,-0.1391092790023123,1.9027000012016853,-2.0418092802039975,-10.741493639279335,1.993010491848095
1936,-8.309343507615003,-8.345625635928295,0.03628212831329236,3.0115655832940877,-2.9752834549807954,-11.32090909090909,1.9814152953956936
1937,-8.02100570472804,-7.953761479092558,-0.06724422563548238,2.3866599038605045,-2.453904129495987,-10.407665608588545,1.969756873323402
1938,-7.819790675965224,-7.899684639860988,0.07989396389576431,1.6304504966688116,-1.5505565327730473,-9.450241172634035,1.957981270383577
1939,-7.5738238123330195,-7.911933543707674,0.3381097313746544,1.4572069203399352,-1.1190971889652808,-9.031030732672955,1.9458336494626634
1940,-7.24543369087306,-7.484679216625056,0.2392455257519961,2.8389633436844974,-2.5997178179325013,-10.084397034557558,1.9328034865749046
1941,-6.998573568192395,-7.475771658546931,0.47719809035453586,1.5967864073746743,-1.1195883170201384,-8.595359975567069,1.9204789165995746
1942,-6.825990226593887,-7.568758274996826,0.7427680484029393,1.7558279552242952,-1.013059906821356,-8.581818181818182,1.9086778482634772
1943,-6.55396321090785,-7.195089099762248,0.6411258888543978,1.3514913345466963,-0.7103654456922985,-7.905454545454546,1.8944017585284527
1944,-6.123697021332654,-6.940120632661161,0.8164236113285073,2.627666615030983,-1.8112430037024758,-8.751363636363637,1.8824319487955672
1945,-6.1265554216775024,-7.064113984469863,0.9375585627923604,2.619994288268244,-1.6824357254758837,-8.746549709945747,1.8701108286979031
1946,-6.004136541214856,-6.7264434873824115,0.7223069461675555,1.3536084354030367,-0.6313014892354811,-7.357744976617893,1.8562912164541332
1947,-5.966061189499769,-6.723254636996462,0.757193447496693,2.144832914341155,-1.3876394668444618,-8.110894103840923,1.8406589753522824
1948,-5.90696637901393,-6.29570893822944,0.38874255921551004,1.4020714577945181,-1.013328898579008,-7.309037836808448,1.8236127751115871
1949,-5.766430642929944,-5.795047387289413,0.028616744359469592,0.344903244487627,-0.3162865001281574,-6.111333887417571,1.8094364650015504
1950,-5.616754939881239,-5.985805844939225,0.36905090505798643,0.8600314963487552,-0.49098059129076876,-6.476786436229994,1.795969498188071
