draw,cfg,avoided_glaciers_2050_cm,avoided_glaciers_2100_cm,avoided_glaciers_2150_cm,avoided_glaciers_2200_cm,avoided_glaciers_2300_cm,avoided_gis_2050_cm,avoided_gis_2100_cm,avoided_gis_2150_cm,avoided_gis_2200_cm,avoided_gis_2300_cm,avoided_ais_2050_cm,avoided_ais_2100_cm,avoided_ais_2150_cm,avoided_ais_2200_cm,avoided_ais_2300_cm,avoided_te_2050_cm,avoided_te_2100_cm,avoided_te_2150_cm,avoided_te_2200_cm,avoided_te_2300_cm,avoided_lws_2050_cm,avoided_lws_2100_cm,avoided_lws_2150_cm,avoided_lws_2200_cm,avoided_lws_2300_cm,avoided_total_2050_cm,avoided_total_2100_cm,avoided_total_2150_cm,avoided_total_2200_cm,avoided_total_2300_cm
1,cfg_0095,0.006465424822529542,0.035378482996215155,0.06394732910953849,0.0881927165804548,0.12763121322300464,0.005455126106514996,0.03664621756966646,0.07167192901035335,0.10545893377837245,0.1790599777603603,0.0017461120663031515,0.016538063498560795,0.04574223366122787,1.3566752334796544,2.6692386233064163,0.023147970005858554,0.10472949296843126,0.2096257380298283,0.3215715137869566,0.555601652941796,0.0,0.0,0.0,0.0,0.0,0.03681463300120669,0.19329225703286568,0.39098722981094625,1.8718983976254577,3.5315314672315736
2,cfg_0276,0.009735689822806926,0.06149749078583966,0.11671562809624803,0.16783850018458324,0.2569061457028923,0.009345359737455539,0.05686948134024661,0.1033161051197986,0.1497739585510729,0.2508341098552904,0.0031174733110317376,0.037731516263406206,0.1097356904974589,0.21497725741500062,0.5002475458608728,0.026302123467164762,0.12631406715379967,0.2669867435877826,0.4383051682431329,0.8629813439347629,0.0,0.0,0.0,0.0,0.0,0.048500646338453635,0.2824125555433028,0.5967541673012988,0.9708948843938003,1.870969145353797
3,cfg_0047,0.006680740533909102,0.045017321890718165,0.08950634673263025,0.13117195512361945,0.20294809695013782,0.0047245382226055455,0.043776475001553905,0.1321893026422849,0.25251287577642145,0.5498655738016751,0.002035343482753582,0.026756167304409217,0.09494545115747854,0.22145055692099902,0.6586355623666975,0.026132132122349105,0.13321882874127766,0.2910023544954612,0.47860119677405066,0.9126004054132935,0.0,0.0,0.0,0.0,0.0,0.039572754361621776,0.24876879293795184,0.6076434550278407,1.0837365845950728,2.3240496385317613
4,cfg_0835,0.011056034909215029,0.05882278242383521,0.1053959079876492,0.1489962662396458,0.22782873787932445,0.0081898176125339,0.05389041991426069,0.10887414576103893,0.2197818512367995,0.4151576937510981,0.0028272323486344675,0.02806807066855299,0.07993656424881124,0.1595556239935263,0.3863437180891083,0.020833952976950343,0.0959299500050328,0.20480113098935604,0.33624820032680347,0.6499573499156455,0.0,0.0,0.0,0.0,0.0,0.042907037847335516,0.2367112230116959,0.4990077489868554,0.8645819417967857,1.6792874996351657
5,cfg_0529,0.007734374118158804,0.048818939611182444,0.09080879126616992,0.13036788271452693,0.1985920076658303,0.005462194756523431,0.035128020144883365,0.0810148240082178,0.14768327806727655,0.27107534130095345,0.0013658915022030094,0.9520990593905321,4.707923357181237,4.7118283030044665,5.690250769522095,0.019182352862598506,0.09261817376010484,0.20271228920109152,0.33863919622788075,0.6683097338448079,0.0,0.0,0.0,0.0,0.0,0.03374481323948686,1.1286641929067045,5.082459261656737,5.32851866001414,6.828227852333725
6,cfg_0428,0.009088968533029984,0.04563453973215914,0.07696874470036974,0.10574631739345719,0.15746085752745742,0.007729485610360243,0.046458051417943125,0.08443303747061393,0.14330792050498076,0.2267388286462122,0.0019927517543427697,0.02063105023383116,1.051065272996368,1.0884789902120247,1.2015374024823018,0.020006122865344977,0.09636156454983791,0.20718028679196365,0.34042733095486,0.651538989248273,0.0,0.0,0.0,0.0,0.0,0.03881732876307353,0.2090852059337749,1.4196473419592905,1.6779605590652977,2.2372760779041982
7,cfg_0689,0.00646974757072627,0.03462504666555333,0.06142983750469,0.08544758350203097,0.13004595973900024,0.0065732406620266914,0.0421713783028288,0.11430849374421115,0.1929685416842517,0.3528952354266792,0.002325968233285458,0.026426866390139025,0.0836555194407751,0.1747065040232627,0.43655741139758675,0.023260736524687076,0.1164059943623954,0.24319719743819945,0.3838392506266928,0.6845666764729685,0.0,0.0,0.0,0.0,0.0,0.03862969299072461,0.219629285720913,0.5025910481278686,0.8369618798362524,1.6040652830362774
8,cfg_0349,0.006167477687546885,0.034449368470856,0.06468585069778854,0.09448310539179872,0.14756252060460007,0.005958271630142065,0.038168345573151186,0.07858159617369154,0.12086538885404252,0.20470649409105945,0.0011582209850868885,0.010136868605548521,0.02699743890790529,0.05106272361660125,0.11671705501825613,0.017993031341037025,0.0946124096722265,0.21550927178095236,0.37090356220009824,0.7687162381723169,0.0,0.0,0.0,0.0,0.0,0.03127700164381508,0.17736699232177955,0.38577415756031996,0.6373147800625247,1.2377023078862237
9,cfg_0496,0.006556376738755532,0.04448522106212671,0.08878986696936408,0.13010898519483582,0.203857928189084,0.007594649701557543,0.0544762250095161,0.1097785944009182,0.16894980651441216,0.3072666805459754,0.002161913153198025,0.6788775213822049,0.7194558609070043,0.7859610269941939,0.9912625989980199,0.02293680460216052,0.1177493774405427,0.264918249406243,0.4507765409095583,0.9154422260376123,0.0,0.0,0.0,0.0,0.0,0.03924974419567562,0.8955883448943922,1.1829425716835118,1.5357963596129878,2.417829433770663
10,cfg_0693,0.008956462378185925,0.04716055199414981,0.08434711794213712,0.1182651067646141,0.17815766636117303,0.006070760831589084,0.0406940527391928,0.08278021702833627,0.12638339435915213,0.2236892282871814,0.0029545956488408187,0.029394815132377516,4.981459088885796,7.91056962417975,18.572059616174073,0.022783087541681013,0.1108076787596417,0.2378462829438419,0.3893302902471447,0.7436371633981196,0.0,0.0,0.0,0.0,0.0,0.04076490640029817,0.22805709862537782,5.386432706800107,8.544548415550665,19.717543674220508
11,cfg_0147,0.013978733511727626,0.06617949309984539,0.09973655820462923,0.12299601455680431,0.15800708592388446,0.008988248420783052,0.062199887569416745,0.14154898454287945,0.21274757736728844,0.32371087983018043,0.00250945603200714,0.027190964099144566,0.07381173577461198,0.13637400665083987,0.2937675104465711,0.025001048257442093,0.101954029501929,0.1996196568483768,0.30633470166373655,0.5397992095375841,0.0,0.0,0.0,0.0,0.0,0.050477486221950585,0.25752437427034636,0.514716935370501,0.778452300238655,1.315284685738277
12,cfg_0237,0.01223467341467277,0.051937164383311085,0.0718261753537206,0.0842466050472801,0.10613816888688987,0.009184566105178149,0.06994995176011187,0.16310299411504658,0.25212438641171175,0.42914138430483106,0.002083019892940019,0.023445920462806136,2.4787946335111712,2.5112047070372085,2.627160778905761,0.02666897924380507,0.12618761083889396,0.2626556303435734,0.4220168400485349,0.7785903091196502,0.0,0.0,0.0,0.0,0.0,0.05017123865659556,0.27152064744512927,2.9763794333235296,3.2695925385447424,3.9410306412171394
13,cfg_0224,0.01072591913918064,0.05896690383762504,0.09216273414083176,0.11121031783994795,0.1370363164851156,0.010824602870453504,0.0815982300131246,0.1854172418016944,0.2949900737816833,0.5164665280731171,0.003036205381546253,1.2207363088387329,1.268234454396108,1.356681328533199,1.643375500840591,0.025832021863257282,0.13125585730768208,0.28384852472963473,0.4659461044126161,0.8907952456103914,0.0,0.0,0.0,0.0,0.0,0.05041874925443679,1.4925572999971735,1.8296629550682724,2.228827824567418,3.1876735910091725
14,cfg_0000,0.007146250315040348,0.03863768538765022,0.07277466379734676,0.10614886828238568,0.16937607840068125,0.0066651673373243625,0.04369098099541269,0.09251647989700373,0.14306148414816988,0.2603281830289781,0.00276222374643309,0.02370576243900757,0.06628501649510454,0.13198957558556756,0.33414303670493695,0.01700769311363537,0.08771780701032483,0.19134305712537625,0.31540484301118,0.6046768372464868,0.0,0.0,0.0,0.0,0.0,0.033581334512433614,0.19375223583239887,0.42291921731482773,0.696604771027296,1.3685241353810795
15,cfg_0295,0.008780438352369302,0.05561180854430603,0.09809686478563151,0.13392147493794937,0.1956458965593697,0.005154763850727662,0.03527421744480819,0.09271161656128513,0.16418131404684289,0.3259234707764129,0.0026548274291604557,0.03225230792046574,0.09658793620521777,0.19763614183960243,0.510468633400393,0.03244203467013662,0.175161946835928,0.3917493857590344,0.6624819295233451,1.3349163397157895,0.0,0.0,0.0,0.0,0.0,0.04903206430238782,0.29830028074550796,0.6791458033111724,1.1582208603477397,2.3669543404519686
16,cfg_0160,0.013531775814584535,0.07376015915799528,0.1279814267437942,0.17223796278727121,0.24013215832119528,0.010958575407167714,0.07450482856549812,0.17403024464915973,0.28468692917430616,0.5140893801110487,0.0046944845729424145,0.04970201899395832,0.14959341412631488,13.132028496570669,40.05239993159924,0.02673997892205371,0.1376553259878186,0.3112621292961606,0.5319419666317984,1.0868031420599564,0.0,0.0,0.0,0.0,0.0,0.0559248147167537,0.3356223327052703,0.7628672148154436,14.120895355164052,41.89342461209145
17,cfg_0226,0.006570789739266836,0.0438667191086175,0.08139373540641515,0.11507733307928092,0.17049826244439004,0.00847919455040369,0.07533822610432139,0.18201369822935476,0.2986917156317084,0.5300215666862584,0.0016847781342699264,0.01992243480506417,0.06018796939997273,0.1251694963953387,0.3274455557671594,0.02850579494118044,0.14351053365461652,0.31120313015419754,0.5198361801607376,1.0319645558731736,0.0,0.0,0.0,0.0,0.0,0.04524055736512267,0.28263791367263025,0.6347985331899224,1.0587747252670567,2.0599299407710134
18,cfg_0152,0.007223678683737411,0.040477216467264654,0.0769023879388584,0.11275148195796447,0.18072737231797475,0.00585137882568354,0.03977168467694803,0.08406674059359531,0.13385988504242974,0.2581663987237093,0.0018049932211550157,0.016697976224556044,2.2295038286096798,6.053990213141667,15.254329092848721,0.013334011691410907,0.06352062031403705,0.13777113035062172,0.22992785041747155,0.45829450044485043,0.0,0.0,0.0,0.0,0.0,0.028214062421987762,0.16046749768280932,2.5282440874927516,6.530529430559525,16.151517364335234
19,cfg_0460,0.006211446562131684,0.04058449435785505,0.07986917388057435,0.11665701233954096,0.18502013111805837,0.006139245518049563,0.04433699221755738,0.09058679896193311,0.14172586961760558,0.25916009010365926,0.00208797961034346,0.020673527985015205,0.057828972341443574,0.10947623962361774,0.25507106403572877,0.02262694365933804,0.11165159395394397,0.2412516283515842,0.40147390588935394,0.8017984345906513,0.0,0.0,0.0,0.0,0.0,0.03706561534986008,0.2172466085143654,0.46953657353554945,0.7693330274701111,1.501049719848126
