gate,key,value,verdict
PRE-POLICY-ZERO,max_abs_cm_glaciers,0.0,PASS
PRE-POLICY-ZERO,max_abs_cm_gis,0.0,PASS
PRE-POLICY-ZERO,max_abs_cm_ais,0.0,PASS
PRE-POLICY-ZERO,max_abs_cm_te,0.0,PASS
PRE-POLICY-ZERO,max_abs_cm_lws,0.0,PASS
PRE-POLICY-ZERO,max_abs_cm_total,0.0,PASS
NO-REACHBACK,max_abs_cm_glaciers,0.0,PASS
NO-REACHBACK,max_abs_cm_te,0.0,PASS
NO-REACHBACK,max_abs_cm_lws,0.0,PASS
DRAW-PAIRING,config_mismatches,0.0,PASS
DRAW-PAIRING,row_mismatches,0.0,PASS
PAIRING,configs_used,841.0,PASS
SUM,max_abs_cm,2.1316282072803006e-13,PASS
SIGN,median_cm_2050,0.03729132359019616,PASS
SIGN,frac_negative_2050,0.0,PASS
SIGN,median_cm_2100,0.24252149899701436,PASS
SIGN,frac_negative_2100,0.0,PASS
SIGN,median_cm_2150,0.6389093160317856,PASS
SIGN,frac_negative_2150,0.0,PASS
SIGN,median_cm_2200,1.2223291303493937,PASS
SIGN,frac_negative_2200,0.0,PASS
SIGN,median_cm_2300,2.5554174855750205,PASS
SIGN,frac_negative_2300,0.0,PASS
TAP-CROSSING,n_draws_crossing,16.0,PASS
