scenario,component,module,year,med,p05,p17,p83,p95,n,unit
ssp245,glaciers,ar5glaciers,2020,2.0946405410766604,1.4936723279953004,1.7200944347381593,2.3499560642242434,2.578942184448242,200,cm rel 2005
ssp245,glaciers,ar5glaciers,2030,2.9690937995910645,2.025174856185913,2.382458456039429,3.4550842475891117,3.908800430297852,200,cm rel 2005
ssp245,glaciers,ar5glaciers,2040,3.9168087005615235,2.6552345371246338,3.155058513641358,4.6821754455566404,5.335275669097898,200,cm rel 2005
ssp245,glaciers,ar5glaciers,2050,5.034775161743164,3.332382907867432,3.9469585418701176,6.051189678192139,6.971144866943355,200,cm rel 2005
ssp245,glaciers,ar5glaciers,2060,6.1967367172241214,4.088734283447265,4.79476522064209,7.5036026458740235,8.741265106201167,200,cm rel 2005
ssp245,glaciers,ar5glaciers,2070,7.452250671386719,4.768141193389893,5.705080360412598,9.081693740844727,10.613831405639646,200,cm rel 2005
ssp245,glaciers,ar5glaciers,2080,8.669355773925782,5.539508094787599,6.673486656188965,10.785055839538574,12.558471984863278,200,cm rel 2005
ssp245,glaciers,ar5glaciers,2090,10.0148006439209,6.338967895507813,7.607376457214356,12.49976205444336,14.755765686035156,200,cm rel 2005
ssp245,glaciers,ar5glaciers,2100,11.37566032409668,7.120563163757325,8.57790554046631,14.275904403686523,16.72056594848632,200,cm rel 2005
ssp245,glaciers,ar5glaciers,2110,12.64439582824707,7.913457183837892,9.481084693908691,16.031881576538087,18.65957260131835,200,cm rel 2005
ssp245,glaciers,ar5glaciers,2120,13.939855194091798,8.706645393371582,10.520211410522462,17.61131846618652,20.563295822143537,200,cm rel 2005
ssp245,glaciers,ar5glaciers,2130,15.072229766845703,9.499000205993653,11.447218742370607,19.17772833251953,22.565766372680645,200,cm rel 2005
ssp245,glaciers,ar5glaciers,2140,16.31182861328125,10.158177452087404,12.343960037231447,20.83917842102051,24.969630737304673,200,cm rel 2005
ssp245,glaciers,ar5glaciers,2150,17.53253402709961,10.745260963439943,13.17518118286133,22.52513494873047,27.399136352539053,200,cm rel 2005
ssp245,glaciers,emuglaciers,2020,1.5956449985504153,1.2427822160720827,1.4059799566268922,1.8289454936981202,1.9335531234741208,200,cm rel 2005
ssp245,glaciers,emuglaciers,2030,2.8360663414001466,2.1379309844970704,2.4198047008514405,3.2366363525390627,3.5304999160766597,200,cm rel 2005
ssp245,glaciers,emuglaciers,2040,3.860439109802246,2.7682322216033937,3.306894756317139,4.543737060546875,5.11624303817749,200,cm rel 2005
ssp245,glaciers,emuglaciers,2050,5.339921569824218,3.8518489265441898,4.476109294891358,6.252387573242188,7.0253775024414065,200,cm rel 2005
ssp245,glaciers,emuglaciers,2060,6.730038452148438,4.648609333038331,5.625576038360596,7.8371268768310545,8.473773956298828,200,cm rel 2005
ssp245,glaciers,emuglaciers,2070,8.192708969116211,5.858426761627197,6.90328158569336,9.55696063232422,10.556265869140624,200,cm rel 2005
ssp245,glaciers,emuglaciers,2080,9.703733825683594,6.851850204467774,8.17591603088379,11.317228828430176,12.876487655639647,200,cm rel 2005
ssp245,glaciers,emuglaciers,2090,11.016398239135743,7.747877044677734,9.136379508972167,12.714893196105958,13.651765060424804,200,cm rel 2005
ssp245,glaciers,emuglaciers,2100,12.210803222656251,8.450757446289064,10.03072876739502,14.392802841186523,16.13069892883301,200,cm rel 2005
ssp245,gis,FittedISMIP,2020,0.7335154533386231,0.47888180255889895,0.5834192881584167,0.9228480367660521,1.051584768295288,200,cm rel 2005
ssp245,gis,FittedISMIP,2030,1.4185899257659913,0.8770328521728515,1.1213520879745484,1.8381503543853759,2.1247288322448727,200,cm rel 2005
ssp245,gis,FittedISMIP,2040,2.1841737747192385,1.328530240058899,1.6943256149291994,2.888843667984009,3.3309780502319337,200,cm rel 2005
ssp245,gis,FittedISMIP,2050,3.0887516021728514,1.8939501857757568,2.3611901397705077,4.042065982818603,4.650792274475098,200,cm rel 2005
ssp245,gis,FittedISMIP,2060,4.137914848327637,2.543677263259888,3.152422428131104,5.3276111679077145,6.06262939453125,200,cm rel 2005
ssp245,gis,FittedISMIP,2070,5.33310832977295,3.425830230712891,4.069917282104492,6.733803176879882,7.717185516357421,200,cm rel 2005
ssp245,gis,FittedISMIP,2080,6.703559494018555,4.364179458618165,5.128037174224854,8.42934814453125,9.509238281249997,200,cm rel 2005
ssp245,gis,FittedISMIP,2090,8.318277359008789,5.26268461227417,6.36035410308838,10.17692617034912,11.626939735412599,200,cm rel 2005
ssp245,gis,FittedISMIP,2100,10.206577682495118,6.310316390991211,7.825998588562013,12.147649772644044,14.164100799560545,200,cm rel 2005
ssp245,gis,FittedISMIP,2110,11.774428176879884,7.451399765014649,9.222543769836427,14.202935562133788,16.734038925170896,200,cm rel 2005
ssp245,gis,FittedISMIP,2120,13.392247772216798,8.489253807067872,10.574736968994142,16.30954574584961,18.893036880493163,200,cm rel 2005
ssp245,gis,FittedISMIP,2130,15.055814361572267,9.369303970336915,11.900807167053225,18.403887466430664,21.113279037475582,200,cm rel 2005
ssp245,gis,FittedISMIP,2140,16.657440185546875,10.249353408813477,13.101755905151368,20.60543525695801,23.58802627563476,200,cm rel 2005
ssp245,gis,FittedISMIP,2150,18.194348907470705,11.129402809143068,14.368693572998048,22.767957626342774,26.062773437499995,200,cm rel 2005
ssp245,gis,emuGrIS,2020,0.5853094816207887,0.3585564970970154,0.4692971034049988,0.7135677938461303,0.8278681802749633,200,cm rel 2005
ssp245,gis,emuGrIS,2030,1.1969658851623537,0.6514261221885682,0.8668552694320679,1.4863293352127076,1.7725366401672353,200,cm rel 2005
ssp245,gis,emuGrIS,2040,1.8405941963195802,0.92097571849823,1.2640747747421266,2.477797533035278,3.0510007762908935,200,cm rel 2005
ssp245,gis,emuGrIS,2050,2.978032398223877,1.427773780822754,1.9754020862579347,3.8029938163757326,4.908447456359863,200,cm rel 2005
ssp245,gis,emuGrIS,2060,3.88664779663086,1.806487913131714,2.6040839519500736,5.103889778137208,6.552477951049805,200,cm rel 2005
ssp245,gis,emuGrIS,2070,4.748604011535645,1.6348907518386844,2.84630189704895,6.64971327972412,8.575966949462881,200,cm rel 2005
ssp245,gis,emuGrIS,2080,6.178656196594238,1.548201270103455,3.4996467857360845,8.931671638488769,11.216549682617185,200,cm rel 2005
ssp245,gis,emuGrIS,2090,7.155875396728516,1.3939504241943361,3.507387889862061,10.418850860595702,13.76514923095703,200,cm rel 2005
ssp245,gis,emuGrIS,2100,7.969259643554688,0.3782433360815051,3.512177669525147,12.172385856628418,17.22979354858398,200,cm rel 2005
ssp245,gis,bamber19,2020,1.1473140239715576,0.518544375896454,0.8791437091827394,1.6235286254882813,2.545045080184936,200,cm rel 2005
ssp245,gis,bamber19,2030,2.206057643890381,-0.22659121751785274,1.1072312269210816,4.442954563140869,8.668131103515623,200,cm rel 2005
ssp245,gis,bamber19,2040,3.42556095123291,-0.14056066215038288,1.614115543365479,7.795001136779785,16.309494552612303,200,cm rel 2005
ssp245,gis,bamber19,2050,4.939999961853028,1.8046499538421632,3.0477800178527836,10.742900253295893,23.819999999999993,200,cm rel 2005
ssp245,gis,bamber19,2060,6.884417724609375,2.7459844970703124,4.300776325225831,15.864246459960935,27.47069793701164,200,cm rel 2005
ssp245,gis,bamber19,2070,9.427031326293946,2.547642221450806,5.0664174118042,21.112363220214842,34.92976028442383,200,cm rel 2005
ssp245,gis,bamber19,2080,11.373904037475587,2.0544634342193606,5.949216106414796,24.824404800415035,51.83396545410153,200,cm rel 2005
ssp245,gis,bamber19,2090,12.689993286132813,1.9892200279235843,6.264434558868408,30.599940185546867,64.08387969970697,200,cm rel 2005
ssp245,gis,bamber19,2100,14.39277801513672,1.5082777500152598,6.785407611846927,38.79677709960937,74.18777709960926,200,cm rel 2005
ssp245,gis,bamber19,2110,16.863751220703126,1.5292038536071815,8.172433662414551,44.194079925537096,82.6202160644531,200,cm rel 2005
ssp245,gis,bamber19,2120,20.66774215698242,0.22177479147911175,8.323554985046387,49.67560446166991,84.15734313964833,200,cm rel 2005
ssp245,gis,bamber19,2130,22.091275787353517,1.030629725456238,9.92498171234131,55.44513757324218,85.7906491088867,200,cm rel 2005
ssp245,gis,bamber19,2140,23.843975830078126,2.73127745628357,10.670469612121584,60.470150451660146,92.47921569824217,200,cm rel 2005
ssp245,gis,bamber19,2150,25.616963958740236,4.097510356903077,12.596490844726564,67.11652081298827,92.99298736572253,200,cm rel 2005
ssp245,ais,ar5AIS,2020,0.5745881795883179,-0.0033885725773870803,0.14595998489856724,0.9553325452804565,1.0817234802246092,200,cm rel 2005
ssp245,ais,ar5AIS,2030,1.0078212738037111,-0.20347888708114623,0.1132823083400727,1.8041774196624756,2.0690500450134275,200,cm rel 2005
ssp245,ais,ar5AIS,2040,1.490494155883789,-0.550197069644928,-0.02296023413538918,2.8324093894958495,3.2772692298889154,200,cm rel 2005
ssp245,ais,ar5AIS,2050,2.022701168060303,-1.0761588621139526,-0.27486054420471173,4.040452079772949,4.714343261718749,200,cm rel 2005
ssp245,ais,ar5AIS,2060,2.6071539878845216,-1.7081600379943849,-0.633461682319641,5.430965198516846,6.37947540283203,200,cm rel 2005
ssp245,ais,ar5AIS,2070,3.2504590988159183,-2.4725026893615727,-1.08943625831604,7.005948806762696,8.276962356567383,200,cm rel 2005
ssp245,ais,ar5AIS,2080,3.950786972045899,-3.388738784790039,-1.6190718421936034,8.771372482299805,10.411996269226075,200,cm rel 2005
ssp245,ais,ar5AIS,2090,4.709343719482423,-4.429604759216309,-2.227023513793945,10.73403807067871,12.789536132812499,200,cm rel 2005
ssp245,ais,ar5AIS,2100,5.541271972656251,-5.583639545440674,-2.9606990432739253,12.899801422119141,15.41553985595703,200,cm rel 2005
ssp245,ais,ar5AIS,2110,6.455345153808594,-6.821807060241699,-3.769410575866699,15.275856628417968,18.297031021118165,200,cm rel 2005
ssp245,ais,ar5AIS,2120,7.4495685577392585,-8.147649192810059,-4.647373725891113,17.865056228637695,21.436626892089848,200,cm rel 2005
ssp245,ais,ar5AIS,2130,8.52092628479004,-9.570037651062012,-5.561169792175294,20.667117721557617,24.788998336791995,200,cm rel 2005
ssp245,ais,ar5AIS,2140,9.673023223876953,-11.087902870178224,-6.529816963195801,23.680175521850586,28.383089904785155,200,cm rel 2005
ssp245,ais,ar5AIS,2150,10.906217956542969,-12.700446815490723,-7.55331105041504,26.899517578125,32.21907257080078,200,cm rel 2005
ssp245,ais,larmip,2020,0.7096979379653932,0.008469892833381896,0.17545011496543889,1.7080877571105957,3.1136126804351765,200,cm rel 2005
ssp245,ais,larmip,2030,1.3674698352813723,0.02465520609170202,0.35381174206733723,3.3068713226318356,6.076008586883531,200,cm rel 2005
ssp245,ais,larmip,2040,2.2009782791137695,0.09987711191177372,0.5876854782104493,5.269362377166749,9.811374626159637,200,cm rel 2005
ssp245,ais,larmip,2050,3.311844825744629,0.1932536315917969,0.8814831705093386,7.57856494140625,14.250347061157186,200,cm rel 2005
ssp245,ais,larmip,2060,4.684150123596192,0.4297944784164429,1.303958064079285,10.363604515075684,19.8492873382568,200,cm rel 2005
ssp245,ais,larmip,2070,6.207881355285645,0.7874215197563172,1.8628845710754396,14.124128540039061,26.306104431152317,200,cm rel 2005
ssp245,ais,larmip,2080,8.052379608154297,1.2563276100158696,2.6380558052062995,17.901864700317386,33.44529800415039,200,cm rel 2005
ssp245,ais,larmip,2090,10.25963935852051,1.7554735374450685,3.5109057388305676,22.174164703369136,39.8951933288574,200,cm rel 2005
ssp245,ais,larmip,2100,12.73363037109375,2.5953579998016365,4.416555896759034,26.742700958251945,47.536203155517555,200,cm rel 2005
ssp245,ais,larmip,2110,15.351226806640625,3.40709906578064,5.7116217613220215,32.27513513183594,56.544136657714844,200,cm rel 2005
ssp245,ais,larmip,2120,18.073725891113284,4.051583595275879,7.090901245117189,37.87133297729493,64.38284454345703,200,cm rel 2005
ssp245,ais,larmip,2130,21.353755187988284,4.718761253356934,8.473465286254886,44.09390319824218,73.48104064941403,200,cm rel 2005
ssp245,ais,larmip,2140,24.036109161376956,6.057093982696534,10.122443763732912,49.22367691040039,84.91664733886718,200,cm rel 2005
ssp245,ais,larmip,2150,27.68946075439453,7.643099632263185,11.611618133544924,54.940114013671874,95.74354217529296,200,cm rel 2005
ssp245,ais,deconto21,2020,0.7179999828338623,0.592649941444397,0.6359999656677247,0.7969999790191651,0.8689999580383301,200,cm rel 2005
ssp245,ais,deconto21,2030,1.2284998893737793,0.9199998855590821,1.0474699907302856,1.3724200506210325,1.5782000732421875,200,cm rel 2005
ssp245,ais,deconto21,2040,1.8189998626708985,1.3039999961853028,1.4419199914932253,2.0258899879455567,2.331150131225586,200,cm rel 2005
ssp245,ais,deconto21,2050,2.416499900817871,1.6448999309539796,1.8551299591064454,2.7113401012420653,3.0902501487731935,200,cm rel 2005
ssp245,ais,deconto21,2060,3.1285000801086427,2.0566999912261963,2.479750047683716,3.551000213623047,3.920150089263916,200,cm rel 2005
ssp245,ais,deconto21,2070,4.162000274658204,3.206450300216675,3.6244899559020998,4.991339675903321,6.714000701904297,200,cm rel 2005
ssp245,ais,deconto21,2080,5.799999618530274,4.520900630950927,4.766000366210938,8.326959777832029,14.241550140380852,200,cm rel 2005
ssp245,ais,deconto21,2090,7.7580001831054695,5.560750255584717,5.891000366210938,18.04504978942871,29.565901031494118,200,cm rel 2005
ssp245,ais,deconto21,2100,10.380000305175782,6.803199462890626,7.090049301147461,33.13256927490234,50.55860229492179,200,cm rel 2005
ssp245,ais,deconto21,2110,13.368000793457032,7.9237489318847665,8.46449030303955,54.91043347167969,82.42399993896476,200,cm rel 2005
ssp245,ais,deconto21,2120,16.708001708984376,9.196799774169923,10.0,82.58420349121094,128.8315057373046,200,cm rel 2005
ssp245,ais,deconto21,2130,19.956499481201174,10.650399398803712,11.838000488281251,118.57015966796871,190.01994384765615,200,cm rel 2005
ssp245,ais,deconto21,2140,24.454002380371094,12.184898986816407,14.149000549316407,165.13456066894526,280.1468566894531,200,cm rel 2005
ssp245,ais,deconto21,2150,30.27900085449219,14.356700439453126,17.01300048828125,221.21785253906245,383.80400390625005,200,cm rel 2005
ssp245,ais,emuAIS,2020,0.716994595527649,0.28411856532096863,0.45418236446380617,0.9600987148284912,1.1606416797637937,200,cm rel 2005
