draw,obs_iid_ais,obs_iid_gsic,obs_iid_gis,obs_iid_steric,obs_iid_fit,obs_iid_total,ar1_prof_ais,ar1_prof_ais_sd,ar1_prof_ais_rho,ar1_prof_gsic,ar1_prof_gsic_sd,ar1_prof_gsic_rho,ar1_prof_gis,ar1_prof_gis_sd,ar1_prof_gis_rho,ar1_prof_steric,ar1_prof_steric_sd,ar1_prof_steric_rho,ar1_prof_fit,ar1_prof_total,model
1,118.41491089843585,-37.952658442475155,75.29684517189513,-442.8721547720502,-287.1130571441944,-169.58575736031273,119.27126089433087,0.014526688308821135,0.8014392795037442,-3.7848771007115687,0.045505190580318294,0.9899999999948723,102.41451652311643,0.022859671447975474,0.9858551880866421,10.24280575973981,0.07197214900769572,0.9899999999249334,228.14370607647552,-167.45702816971414,ladrillo
6,80.51265866849225,1.8899561105398277,-34.75557724990277,-615.763543314938,-568.1165057858087,-164.5486892473426,113.03572917156608,0.018704261833159198,0.9899999999578075,1.889956110539842,3.0395724534390675e-09,0.411720703124999,101.67133187544822,0.026044876885447713,0.9857677255817494,9.68969761528976,0.07386743190061112,0.9899999938797357,226.2867147728439,-164.5394288548775,ladrillo
11,108.87694909565384,-10.270762787292995,-55.06581942655423,-312.6623008315713,-269.1219339497647,-173.1982293751329,116.89848640136968,0.017325736199617033,0.9070509085603977,-2.130965067353486,0.03785473935658922,0.9899999999998521,101.49796658729274,0.02626145243878481,0.9893323646028361,10.587483792070401,0.07078730688095998,0.9899999996067754,226.85297171337933,-169.1104246132358,ladrillo
16,32.39344880835411,9.536487880977646,-167.07457176765712,-295.58370451181776,-420.72833959014315,-163.66011089105035,109.33682364543411,0.024441556928544786,0.9899999999865208,9.536487880977646,1.2210086763401857e-09,0.19289062500000204,99.49938245672534,0.02890540597926623,0.9899999999782216,10.623005964309655,0.07067370637721072,0.9899999999419341,228.99569994744672,-163.65951692419264,ladrillo
21,115.45415914095956,-1.4783324151300263,-63.65642539792371,-1266.032838902665,-1215.7134375747592,-170.12443106924187,118.18269147035066,0.016841183418712845,0.853735414288878,-0.5799452595373396,0.031261654261346764,0.989999999984629,100.71051565144991,0.02746283671077595,0.98856537031728,7.457146575014875,0.08126832235288715,0.9899999992821383,225.7704084372781,-166.65972428792213,ladrillo
26,114.32421641267247,-3.471884123903365,-101.23691370553085,-542.9353099405404,-533.3198913573021,-164.7555664467202,117.67885945511328,0.01571124888191103,0.8933305832982741,3.8978793477784848,0.028485223792632842,0.9899999998827469,100.39112778058704,0.02789022496209793,0.9899999999798135,9.930006474905511,0.07304631569157084,0.9899999993379697,231.89787305838433,-164.75277689088347,ladrillo
31,90.75121777856661,-2.242014117433257,3.6742753494268214,-360.25745048507775,-268.0739714745176,-164.47700337256612,113.91788673146321,0.017102490041734763,0.9899999980993688,2.6149602963329386,0.028142859043351457,0.9773684202186753,103.1203181799318,0.024241783923436566,0.9834027333365216,10.47388777425364,0.07114698097879525,0.9899999998679172,230.1270529819816,-164.47700337256612,ladrillo
36,41.92737427311083,-2.9425797396895064,-112.19723558298391,-527.5019261497389,-600.7143671993015,-170.2515405628908,109.20971402765444,0.023654964049726227,0.9899999999952946,0.0014424347879469224,0.029664611652110023,0.9899999999986054,99.97950456374635,0.02856488296710736,0.9899999998328959,9.979818937078093,0.07287499773010485,0.9899999995986384,219.1704799632668,-168.234286196339,ladrillo
41,78.16140129682661,5.034095965161299,-16.14421114315958,-790.7352563397317,-723.6839702209033,-165.11125936916523,114.05610923392315,0.017695636114411665,0.9887215422753988,5.034095965161299,1.2210086763401857e-09,0.14466796875000087,101.18767494285724,0.026330837920913397,0.9884205129597726,9.092602815572334,0.07602632449208512,0.9896110811882912,229.370482957514,-164.53095503570208,ladrillo
46,55.963415198083496,-6.652575520762056,-63.76721503030187,-200.8120285345392,-215.26840388751964,-165.67330072953442,109.42434819562517,0.023809795985478076,0.9899999999968236,0.4520304172489489,0.02853720442651668,0.9899999890638969,99.85456835851674,0.028200322387891687,0.9899999984003262,10.722880443110839,0.07037245033941275,0.98999999966101,220.4538274145017,-165.65822324464577,ladrillo
51,75.70356751598983,-9.031253474196916,-32.90033024141873,-1158.6596700415103,-1124.8876862411362,-172.70560029888406,114.22699122299225,0.0198483412712272,0.9662794161018605,2.5220132813906417,0.031168236222038258,0.9835946632497325,99.61438705547725,0.028518916356034926,0.9872955467066875,7.821748303175028,0.08008521567335858,0.9899999989259616,224.18513986303515,-167.82208529238162,ladrillo
56,60.01450773989701,3.3956837638844775,-50.561663525058705,-544.6203657237915,-531.7718377450686,-171.69728159068652,109.78831474990257,0.022407253380857972,0.9899999999947633,3.3956837638844775,8.308665022018034e-10,0.08085937499999943,100.52201206078261,0.027206200240901986,0.9899999999734173,9.924540471041908,0.07306560795165488,0.9899999992763348,223.63055104561158,-167.9567071313664,ladrillo
61,108.10611672705353,6.01903557170742,5.411377129406077,-1280.962970789135,-1161.4264413609678,-174.9497474042634,116.7457074156804,0.016837147537120727,0.9200032982458501,6.0190355717074056,8.976871324472881e-10,0.004728515625000686,102.2818445925062,0.02470490496925887,0.9883977685199445,7.406787538348183,0.0814312503769641,0.9899999996027057,232.4533751182422,-167.27434193059136,ladrillo
66,48.276365985553966,2.916584404461375,-86.11834886643597,-630.4787380135202,-665.4041364899408,-163.1945246590732,110.02000749113155,0.02335407610958918,0.9899999999850034,3.990335063502698,0.014130887880467895,0.9466126197159118,99.17251863333284,0.029201672290220256,0.9899999997604081,9.640306073145837,0.07403959031107991,0.9899906812913555,222.82316726111293,-163.1945246590732,ladrillo
