name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.5580899526967594,0.9969106333294346,1.6518460502589711,1.0366008089279495,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
antarctic_alpha,2,antarctic_icesheet,0.29618737,0.23016505,1.0231069e-05,0.9999879,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.05952219002373956,0.28849861122541665,0.6334376360885525,0.30976067430646315,"Partition of ocean subsurface temperature into ice flux, α_DAIS",–
antarctic_nu,3,antarctic_icesheet,0.008766364,0.0034420667,0.0030000487,0.014999919,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.004573449433711455,0.009163231199839899,0.013630136711003656,0.009124404313389609,Runoff-decrease-with-height to precipitation constant ν,m⁻¹ᐟ² yr⁻¹ᐟ²
anto_alpha,4,antarctic_ocean,0.36223876,0.26114184,7.3700244e-07,0.9999599,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.07733494328844291,0.3186927524795966,0.6652359706643998,0.3382497017794959,Antarctic ocean temperature sensitivity a_ANTO,°C °C⁻¹
anto_beta,5,antarctic_ocean,0.9759287,0.5780004,2.5803324e-06,1.9999987,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.17389879525376759,0.9396047852212602,1.7564881959989098,0.9496281763889715,Antarctic ocean temperature offset b_ANTO,°C
gis_c1,6,greenland_icesheet,0.032766,0.05,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.018920286872596906,0.04638941639912495,0.08340123734822597,0.04803263156638922,Committed-loss sensitivity to regional temperature,m SLE K⁻¹
gis_c0,7,greenland_icesheet,0.040429,0.1,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.06941784878556952,0.110933522053474,0.17926398444636518,0.11603532082375027,Committed loss at zero regional anomaly,m SLE
gis_f,8,greenland_icesheet,0.782569,0.3,0.02,0.98,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.3587908368596787,0.5823520503269113,0.7451229853189192,0.5712379763507446,Surface-mass-balance share of the committed loss,–
gis_alpha_f,9,greenland_icesheet,0.0028487,0.02,0.0,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.00057343302466404,0.0019615127531729002,0.00468208350373391,0.0022129759378956486,"Fast (SMB) channel rate, temperature-dependent part",yr⁻¹ K⁻¹
gis_beta_f,10,greenland_icesheet,0.0073684,0.05,1e-06,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.001659129023679165,0.0048262594112644,0.010191859418204675,0.005230888524084485,"Fast (SMB) channel rate, constant part",yr⁻¹
gis_slow_ell,11,likelihood_only,-4.207448374546157,1.0,-8.207448374546157,-0.207448374546157,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,-6.501254346993242,-5.681375857896796,-4.978669229298307,-5.702179438627591,Slow (discharge) channel: log rate at the reference temperature,ln(yr⁻¹)
