name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.5595493789367885,0.967131508158874,1.6237819993285094,1.01123737469695,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
antarctic_alpha,2,antarctic_icesheet,0.29618737,0.23016505,1.0231069e-05,0.9999879,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.035123721313669545,0.2517778835963098,0.5745025874218227,0.2710667810903938,"Partition of ocean subsurface temperature into ice flux, α_DAIS",–
antarctic_nu,3,antarctic_icesheet,0.008766364,0.0034420667,0.0030000487,0.014999919,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.004470944669124711,0.00901929049382005,0.013631497606522994,0.009061383681266374,Runoff-decrease-with-height to precipitation constant ν,m⁻¹ᐟ² yr⁻¹ᐟ²
anto_alpha,4,antarctic_ocean,0.36223876,0.26114184,7.3700244e-07,0.9999599,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.05268898410113021,0.30759700714727356,0.6584192401181373,0.3245792572554478,Antarctic ocean temperature sensitivity a_ANTO,°C °C⁻¹
anto_beta,5,antarctic_ocean,0.9759287,0.5780004,2.5803324e-06,1.9999987,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.20045183762511018,0.9361476090302988,1.7230448255763855,0.9444191776923004,Antarctic ocean temperature offset b_ANTO,°C
gis_c1,6,greenland_icesheet,0.032766,0.05,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.018826742319257236,0.0454087892792757,0.08058525378732895,0.047072599691807514,Committed-loss sensitivity to regional temperature,m SLE K⁻¹
gis_c0,7,greenland_icesheet,0.040429,0.1,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.07079046488352424,0.11122096481351476,0.17898434005306058,0.1161095335480172,Committed loss at zero regional anomaly,m SLE
gis_f,8,greenland_icesheet,0.782569,0.3,0.02,0.98,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.3557837416849121,0.5850821054902481,0.7488200710680977,0.5736914076660475,Surface-mass-balance share of the committed loss,–
gis_alpha_f,9,greenland_icesheet,0.0028487,0.02,0.0,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.0005860555752847051,0.0020153038871848997,0.004869275555605134,0.00228055502087809,"Fast (SMB) channel rate, temperature-dependent part",yr⁻¹ K⁻¹
gis_beta_f,10,greenland_icesheet,0.0073684,0.05,1e-06,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.00171887627659556,0.004736192762828649,0.010279657203248915,0.00517600128836336,"Fast (SMB) channel rate, constant part",yr⁻¹
gis_slow_ell,11,likelihood_only,-4.207448374546157,1.0,-8.207448374546157,-0.207448374546157,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,-6.448641862820156,-5.663793708383921,-4.96475216068672,-5.67990478573271,Slow (discharge) channel: log rate at the reference temperature,ln(yr⁻¹)
