name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.5492101191262628,0.9513546463117823,1.6171720939575798,0.997152226961443,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
antarctic_alpha,2,antarctic_icesheet,0.29618737,0.23016505,1.0231069e-05,0.9999879,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.1266100815202328,0.37420573078778635,0.6905039210465083,0.38900924088062766,"Partition of ocean subsurface temperature into ice flux, α_DAIS",–
antarctic_nu,3,antarctic_icesheet,0.008766364,0.0034420667,0.0030000487,0.014999919,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.00424567048967249,0.0086303339194127,0.013426188601369318,0.008714905265599749,Runoff-decrease-with-height to precipitation constant ν,m⁻¹ᐟ² yr⁻¹ᐟ²
anto_alpha,4,antarctic_ocean,0.36223876,0.26114184,7.3700244e-07,0.9999599,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.15140322775492968,0.3810227711531406,0.7005863101292421,0.3993916487913681,Antarctic ocean temperature sensitivity a_ANTO,°C °C⁻¹
anto_beta,5,antarctic_ocean,0.9759287,0.5780004,2.5803324e-06,1.9999987,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.191618531900827,0.9411157139190889,1.7141753881408048,0.9464752842908991,Antarctic ocean temperature offset b_ANTO,°C
gis_c1,6,greenland_icesheet,0.032766,0.05,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.018709900531747304,0.0452192337129031,0.07959366872167001,0.0468437081540836,Committed-loss sensitivity to regional temperature,m SLE K⁻¹
gis_c0,7,greenland_icesheet,0.040429,0.1,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.07125788592333074,0.1125185291836021,0.1792377497979136,0.11702734428125855,Committed loss at zero regional anomaly,m SLE
gis_f,8,greenland_icesheet,0.782569,0.3,0.02,0.98,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.3444756077312956,0.5808994065361922,0.744630033195507,0.5677200095168558,Surface-mass-balance share of the committed loss,–
gis_alpha_f,9,greenland_icesheet,0.0028487,0.02,0.0,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.000613507221262785,0.002040182869042,0.004856988006601892,0.0022894921027404196,"Fast (SMB) channel rate, temperature-dependent part",yr⁻¹ K⁻¹
gis_beta_f,10,greenland_icesheet,0.0073684,0.05,1e-06,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.00163562937222003,0.00479282437234435,0.011210186429856692,0.005455785900739427,"Fast (SMB) channel rate, constant part",yr⁻¹
gis_slow_ell,11,likelihood_only,-4.207448374546157,1.0,-8.207448374546157,-0.207448374546157,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,-6.460677888606909,-5.654828205238571,-4.971691065555708,-5.682430579233885,Slow (discharge) channel: log rate at the reference temperature,ln(yr⁻¹)
gis_slow_w,12,likelihood_only,0.9328151097655012,1000.0,0.0,1.0,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.04928120343408873,0.4396369892322868,0.925945215794426,0.4561793105297042,Slow (discharge) channel: temperature-dependent fraction of the rate,–
gis_amp,13,likelihood_only,1.9221976385152952,0.3181243343729514,1.5101657793813976,2.2846646737809513,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,1.574871698528214,1.9065801567465535,2.2300647911234495,1.9060798464561095,Southern-Greenland/global warming ratio,–
gis_s_high,14,greenland_icesheet,0.0,0.5,-2.0,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,-0.7836539187010642,-0.5582481306918798,-0.36694147292499796,-0.5642366098835074,log₁₀ rate scale of the high basin (NO+NE) relative to the active basin,log₁₀(–)
thermal_alpha,15,thermal_expansion,0.16,1000.0,0.05,0.3,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.14853548901498997,0.16689949213594474,0.18542751597984886,0.1669054599767609,Thermal expansion coefficient α,kg m⁻³ °C⁻¹
gic_a_R19,16,glaciers_small_icecaps,0.069,0.018,0.01,0.141,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.039041271580677335,0.0677452367775985,0.09625923543008494,0.06764519541595061,"Committed-loss scale a, RGI 19",m SLE
gic_b_R19,17,glaciers_small_icecaps,0.768973947986,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.19525805764359602,0.7177567983691782,2.4263295678283203,0.9306695742145134,"Equilibrium temperature sensitivity b, RGI 19",K⁻¹ (glacier frame)
gic_T_off_R19,18,glaciers_small_icecaps,0.162195920935,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,-3.0454402120101065,-0.12768916578044875,0.7152472953214125,-0.5051607780238212,"Equilibrium temperature offset T_off, RGI 19","K rel. 1850–1900, glacier frame"
gic_log10_kappa_R19,19,glaciers_small_icecaps,-2.7735015084073384,0.114,-3.906900780980522,-1.6567771449058029,"N(k10c(gic_amp_R19), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.774,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,-3.003937259316816,-2.782452250783421,-2.567016553059873,-2.783652937241389,"log₁₀ of the response-rate constant κ, RGI 19",log₁₀(yr⁻¹ K⁻ν)
gic_a_SLOWP,20,glaciers_small_icecaps,0.145920024267,0.0327892146787,0.0332566214715,0.2770768829818,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.08997602613708428,0.1315015774266815,0.1762813173171295,0.13224284575933198,"Committed-loss scale a, SLOWG",m SLE
gic_b_SLOWP,21,glaciers_small_icecaps,0.269493082055,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.11528172039920284,0.17375125980099684,0.2955551394166861,0.18586218576517302,"Equilibrium temperature sensitivity b, SLOWG",K⁻¹ (glacier frame)
