index,name,comp,mu,sigma,lo,hi,prior_form,note,provenance
1,ais_ocean_temperature₀,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
2,antarctic_alpha,antarctic_icesheet,0.2196839882373174,0.19520706601731894,0.005912005605752954,0.8617826863647999,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
3,antarctic_nu,antarctic_icesheet,0.009232790355554889,0.0032077828587749784,0.003297731247904031,0.014784008938199809,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
4,antarctic_temp_threshold,antarctic_icesheet,-15.606366876305943,0.4352167909848384,-16.395312161654346,-14.51943308466894,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
5,anto_alpha,antarctic_ocean,0.19420088066306393,0.18773188652763884,0.0036199491869242533,0.8445067661679276,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
6,anto_beta,antarctic_ocean,0.8985057675116559,0.5426104483140833,0.026827739718296714,1.952293434600144,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
7,gis_c1,greenland_icesheet,0.032766,0.05,0.0,4.0,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
8,gis_c0,greenland_icesheet,0.040429,0.1,0.0,4.0,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
9,gis_f,greenland_icesheet,0.782569,0.3,0.02,0.98,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
10,gis_alpha_f,greenland_icesheet,0.0028487,0.02,0.0,0.5,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
11,gis_beta_f,greenland_icesheet,0.0073684,0.05,1.0e-6,0.5,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
12,gis_slow_ell,likelihood_only,-4.207448374546157,1.0,-8.207448374546157,-0.20744837454615705,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
13,gis_slow_w,likelihood_only,0.9328151097655012,1000.0,0.0,1.0,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
14,gis_amp,likelihood_only,1.9221976385152952,0.31812433437295146,1.5101657793813976,2.2846646737809513,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
15,gis_s_high,greenland_icesheet,0.0,0.5,-2.0,2.0,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
16,thermal_alpha,thermal_expansion,0.1600092262387788,0.02892027327422819,0.10172814511234267,0.24024582780945106,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
17,gic_a_R19,glaciers_small_icecaps,0.069,0.018,0.01,0.14100000000000001,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
18,gic_b_R19,glaciers_small_icecaps,0.768973947986,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
