index,name,comp,mu,sigma,lo,hi,prior_form,note,provenance
1,ais_ocean_temperature₀,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
2,antarctic_alpha,antarctic_icesheet,0.29618737,0.23016505,1.0231069e-5,0.9999879,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
3,antarctic_nu,antarctic_icesheet,0.008766364,0.0034420667,0.0030000487,0.014999919,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
4,antarctic_temp_threshold,antarctic_icesheet,-15.61148,0.43431145,-16.94382,-13.888588,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
5,anto_alpha,antarctic_ocean,0.36223876,0.26114184,7.3700244e-7,0.9999599,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
6,anto_beta,antarctic_ocean,0.9759287,0.5780004,2.5803324e-6,1.9999987,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
7,gis_c1,greenland_icesheet,0.032766,0.05,0.0,4.0,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
8,gis_c0,greenland_icesheet,0.040429,0.1,0.0,4.0,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
9,gis_f,greenland_icesheet,0.782569,0.3,0.02,0.98,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
10,gis_alpha_f,greenland_icesheet,0.0028487,0.02,0.0,0.5,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
11,gis_beta_f,greenland_icesheet,0.0073684,0.05,1.0e-6,0.5,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
