metric,cpl_med,cpl_lo,cpl_hi,ind_med,ind_lo,ind_hi,prov_model_lineage,prov_dais_integrator,prov_forcing_basis,prov_pulse_spec,prov_units,prov_reference_period,prov_weighting,prov_code_git_commit
total@2050,0.0,0.0,0.0,0.0,0.0,0.0,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
total@2100,0.0,0.0,0.0,0.0,0.0,0.0,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
total@2130,0.0,0.0,0.0,0.0,0.0,0.0,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
total@2150,0.0,0.0,0.0,0.0,0.0,0.0,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
total@2180,0.0,0.0,0.0,0.0,0.0,0.0,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
total@2300,0.0,0.0,0.0,0.0,0.0,0.0,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
ais@2130,0.0,0.0,0.0,0.0,0.0,0.0,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
gsic@2130,0.0,0.0,0.0,0.0,0.0,0.0,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
gis@2130,0.0,0.0,0.0,0.0,0.0,0.0,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
te@2130,0.0,0.0,0.0,0.0,0.0,0.0,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
ais@2150,0.0,0.0,0.0,0.0,0.0,0.0,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
gsic@2150,0.0,0.0,0.0,0.0,0.0,0.0,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
