metric,cpl_med,cpl_lo,cpl_hi,ind_med,ind_lo,ind_hi
total@2050,0.0002445211801607172,0.00018391650494820055,0.0003807390021535184,0.00024374558648077027,0.00018282652088430495,0.00037486714487755535
total@2100,0.00036139921690647725,0.00019532095191010512,0.002343511444379942,0.0003562606704790028,0.0001927871872382525,0.002347009607277073
total@2150,0.0009480564904151834,0.00016882777485704992,0.0023846792645088044,0.0009350204731788381,0.0001659074548072681,0.0023920402649650896
total@2300,0.000989751462611821,0.0001235239189583126,0.0023590494650420624,0.000979963511611004,0.00012077183427550153,0.0023658755578708224
ais@2100,9.534346908690594e-5,3.0438943532384855e-5,0.002104112222220067,9.273188710245961e-5,2.9296872828155074e-5,0.002106985523788296
gsic@2100,2.1958354243345468e-5,1.4716540050585536e-5,3.971883079501026e-5,2.181648804366887e-5,1.4717487243132155e-5,3.644976117023191e-5
gis@2100,3.6641926914882106e-5,1.393330055776687e-5,8.045666026745835e-5,3.609611685106984e-5,1.3585109037705934e-5,8.127535613411396e-5
te@2100,0.0001486175728580008,9.819136903033154e-5,0.00021766649355470236,0.00014857440924131993,9.777185793957699e-5,0.00021754883247027124
ais@2150,0.000753383793906437,3.4743820919835855e-5,0.0021817859227155623,0.0007414157724099368,3.347275789877813e-5,0.002187435112887215
gsic@2150,1.2997371285017323e-5,8.282281502403066e-6,2.5877836264953658e-5,1.2717207239276718e-5,8.222241245192663e-6,2.3058743801485093e-5
gis@2150,4.017281458601474e-5,1.5162220368125645e-5,9.127677031983694e-5,3.961895869153409e-5,1.4785606161638043e-5,9.255972681643243e-5
te@2150,0.00012192560827273269,6.858027278333623e-5,0.0001889074346266284,0.00012186680263326366,6.840243036165816e-5,0.00018897148994767576
ais@2300,0.0008523652943495108,3.963959810349138e-5,0.0022088900349785945,0.0008424945916942761,3.823096479393939e-5,0.0022159769919767314
gsic@2300,5.030172555819945e-6,2.605356135276793e-6,1.1164065593760597e-5,4.821590875891957e-6,2.5350057715201046e-6,9.803304706679228e-6
gis@2300,4.243438853634984e-5,1.5932569485954673e-5,0.00010262585661280355,4.1981681064839904e-5,1.5500575489824087e-5,0.00010455971821698995
te@2300,7.270930858283009e-5,2.311385230768792e-5,0.000133702905529276,7.269894623362916e-5,2.3078738443871316e-5,0.00013361147196633283
