metric,cpl_med,cpl_lo,cpl_hi,ind_med,ind_lo,ind_hi
total@2050,-0.0019243057177469325,-0.0023155690664921737,-0.0015623906308910307,-0.0019187004427422493,-0.002324592464541908,-0.0015785893534282281
total@2100,-0.004233118332983565,-0.10632812180124204,-0.003238755240012381,-0.0042553245971149066,-0.11304451127786593,-0.0032045927323636645
total@2150,-0.0060086722470423124,-0.13101110589394124,-0.004224930802278948,-0.006161115006082696,-0.1312256093092273,-0.004121044772803372
total@2300,-0.010779658944528592,-0.2039872449520658,-0.006808482522836811,-0.011094239182938281,-0.204387640448698,-0.006710578746199758
ais@2100,-0.0008459043003693267,-0.10305271968553598,-0.0003765112409515048,-0.0009222826932330008,-0.10991812606953602,-0.0004031034577967496
gsic@2100,-0.00029027473054243913,-0.0005109512595556254,-0.00020384058608851062,-0.0003015726576386157,-0.0005306456779203828,-0.00020142898182688994
gis@2100,-0.0005291739604729173,-0.0011421028876146266,-0.00013793012304752494,-0.0004725563923724252,-0.0011390961686785772,-0.0001369922177119065
te@2100,-0.002500665677076697,-0.003069290956391768,-0.0017900437609606357,-0.0024746384344748406,-0.0030709884935227194,-0.0018077605907492965
ais@2150,-0.0015707847802804765,-0.1262199996003261,-0.0006190006195017972,-0.0016919667296178887,-0.1268260813382298,-0.0006588104291804342
gsic@2150,-0.000291987452136766,-0.0005522830233562814,-0.0001834573633528791,-0.000290628588575359,-0.0005741862110712148,-0.00017255368146695815
gis@2150,-0.0008481974098994982,-0.0020226884151952618,-0.00022811299741576363,-0.0007637280590344631,-0.0019520066726563812,-0.00022644479458655553
te@2150,-0.0031925853843560504,-0.0040723055192877665,-0.0021700206593639137,-0.0031966474008772393,-0.004074557795111744,-0.002191498283261595
ais@2300,-0.0038339345577583115,-0.1968919362174205,-0.0012402121524424103,-0.0042293995337871594,-0.19828368282494183,-0.00133709424259294
gsic@2300,-0.0002752853334737182,-0.0006000404416662164,-0.00016590557013760333,-0.0002746308292506328,-0.0006086233134645624,-0.0001341731678765612
gis@2300,-0.001656334698738604,-0.004486684049958001,-0.0004514759028673154,-0.0014726997849034973,-0.004023382290414901,-0.0004401937074050011
te@2300,-0.004519257999842097,-0.0058821666222172555,-0.0029968814216502437,-0.004540717737366862,-0.0058854198805036615,-0.0030065923250685244
